Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BAL,1-0,1,66.5%,1,66.5%,14,9.5%,14,9.5%,1,-60.5%,1,-60.5%,22,-3.5%,22,-3.5%
NYG,2-0,2,64.2%,2,64.2%,5,29.6%,5,29.6%,3,-28.9%,3,-28.9%,8,5.7%,8,5.7%
BUF,2-0,3,56.9%,3,56.9%,8,20.8%,8,20.8%,6,-25.9%,6,-25.9%,4,10.2%,4,10.2%
PIT,2-0,4,50.2%,4,50.2%,6,22.9%,6,22.9%,5,-26.0%,5,-26.0%,14,1.3%,14,1.3%
DAL,2-0,5,47.9%,5,47.9%,1,50.5%,1,50.5%,22,7.2%,22,7.2%,10,4.6%,10,4.6%
ARI,2-0,6,40.1%,6,40.1%,11,12.0%,11,12.0%,4,-26.8%,4,-26.8%,15,1.3%,15,1.3%
NE,2-0,7,37.5%,7,37.5%,10,13.2%,10,13.2%,7,-15.8%,7,-15.8%,5,8.6%,5,8.6%
GB,2-0,8,32.2%,8,32.2%,9,13.8%,9,13.8%,10,-10.2%,10,-10.2%,6,8.3%,6,8.3%
TEN,2-0,9,30.9%,9,30.9%,16,-3.2%,16,-3.2%,2,-50.4%,2,-50.4%,31,-16.3%,31,-16.3%
TB,1-1,10,30.1%,10,30.1%,12,11.1%,12,11.1%,8,-15.0%,8,-15.0%,11,4.0%,11,4.0%
PHI,1-1,11,29.4%,11,29.4%,4,32.3%,4,32.3%,18,2.2%,18,2.2%,17,-0.7%,17,-0.7%
SD,0-2,12,28.1%,12,28.1%,3,34.8%,3,34.8%,27,18.9%,27,18.9%,2,12.2%,2,12.2%
DEN,2-0,13,15.9%,13,15.9%,2,41.8%,2,41.8%,25,12.0%,25,12.0%,30,-13.9%,30,-13.9%
WAS,1-1,14,10.3%,14,10.3%,7,21.3%,7,21.3%,14,-6.5%,14,-6.5%,32,-17.4%,32,-17.4%
ATL,1-1,15,2.1%,15,2.1%,13,9.9%,13,9.9%,24,11.4%,24,11.4%,12,3.7%,12,3.7%
CHI,1-1,16,1.2%,16,1.2%,21,-8.0%,21,-8.0%,11,-7.5%,11,-7.5%,13,1.7%,13,1.7%
MIN,0-2,17,0.5%,17,0.5%,15,-0.7%,15,-0.7%,9,-10.4%,9,-10.4%,27,-9.1%,27,-9.1%
CAR,2-0,18,0.0%,18,0.0%,17,-4.0%,17,-4.0%,16,-5.3%,16,-5.3%,18,-1.4%,18,-1.4%
OAK,1-1,19,-8.0%,19,-8.0%,23,-13.2%,23,-13.2%,19,5.3%,19,5.3%,3,10.5%,3,10.5%
SF,1-1,20,-9.7%,20,-9.7%,24,-14.8%,24,-14.8%,12,-6.9%,12,-6.9%,19,-1.7%,19,-1.7%
IND,1-1,21,-12.9%,21,-12.9%,22,-11.2%,22,-11.2%,15,-5.9%,15,-5.9%,24,-7.6%,24,-7.6%
NYJ,1-1,22,-13.2%,22,-13.2%,19,-6.4%,19,-6.4%,13,-6.8%,13,-6.8%,29,-13.5%,29,-13.5%
JAX,0-2,23,-18.8%,23,-18.8%,26,-26.1%,26,-26.1%,17,-2.4%,17,-2.4%,9,4.8%,9,4.8%
NO,1-1,24,-20.2%,24,-20.2%,18,-5.4%,18,-5.4%,28,22.9%,28,22.9%,7,8.1%,7,8.1%
KC,0-2,25,-41.3%,25,-41.3%,29,-32.7%,29,-32.7%,21,6.4%,21,6.4%,20,-2.3%,20,-2.3%
SEA,0-2,26,-43.0%,26,-43.0%,28,-27.4%,28,-27.4%,20,5.9%,20,5.9%,28,-9.7%,28,-9.7%
CLE,0-2,27,-45.0%,27,-45.0%,27,-27.3%,27,-27.3%,30,32.1%,30,32.1%,1,14.4%,1,14.4%
MIA,0-2,28,-50.7%,28,-50.7%,25,-25.5%,25,-25.5%,26,17.5%,26,17.5%,25,-7.6%,25,-7.6%
DET,0-2,29,-52.2%,29,-52.2%,20,-7.9%,20,-7.9%,31,45.0%,31,45.0%,16,0.6%,16,0.6%
CIN,0-2,30,-73.5%,30,-73.5%,32,-58.5%,32,-58.5%,23,7.4%,23,7.4%,26,-7.6%,26,-7.6%
HOU,0-1,31,-79.0%,31,-79.0%,30,-43.2%,30,-43.2%,29,29.0%,29,29.0%,23,-6.8%,23,-6.8%
STL,0-2,32,-101.9%,32,-101.9%,31,-48.7%,31,-48.7%,32,50.4%,32,50.4%,21,-2.9%,21,-2.9%
