Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NYG,8-1,1,34.7%,1,34.5%,2,19.3%,1,18.1%,8,-10.8%,9,-11.6%,4,4.6%,3,4.8%
PHI,5-4,2,31.8%,2,33.0%,3,16.4%,3,16.7%,6,-14.9%,5,-16.1%,17,0.5%,16,0.2%
TEN,9-0,3,25.6%,3,26.9%,12,6.1%,12,8.7%,4,-20.8%,4,-18.4%,22,-1.3%,18,-0.1%
BAL,6-3,4,24.4%,4,22.1%,16,1.0%,16,1.2%,2,-25.1%,2,-22.4%,24,-1.7%,23,-1.5%
GB,4-5,5,19.5%,5,21.3%,13,5.6%,13,5.9%,9,-10.4%,8,-12.3%,7,3.5%,7,3.1%
WAS,6-3,6,16.5%,9,14.1%,6,15.8%,8,13.5%,12,-5.3%,13,-4.2%,28,-4.6%,26,-3.6%
ATL,6-3,7,16.5%,7,16.9%,7,15.3%,6,15.3%,19,1.6%,18,0.9%,9,2.7%,11,2.5%
PIT,6-3,8,15.5%,8,14.4%,26,-10.0%,26,-10.1%,1,-25.2%,1,-24.6%,18,0.2%,17,-0.1%
IND,5-4,9,14.0%,6,17.4%,8,14.0%,5,16.2%,15,-1.1%,14,-1.5%,20,-1.1%,19,-0.3%
ARI,6-3,10,12.6%,11,11.1%,5,16.1%,4,16.4%,16,-0.7%,17,0.8%,27,-4.2%,28,-4.5%
CAR,7-2,11,11.4%,10,12.6%,21,-4.3%,20,-3.5%,7,-13.5%,6,-14.0%,12,2.2%,13,2.2%
TB,6-3,12,11.3%,13,10.0%,20,-2.8%,19,-2.6%,5,-15.2%,7,-13.9%,21,-1.1%,22,-1.4%
CHI,5-4,13,9.6%,15,7.3%,15,1.2%,17,1.1%,10,-9.7%,10,-8.4%,23,-1.3%,25,-2.2%
NYJ,6-3,14,8.2%,12,10.9%,19,-1.6%,18,-0.1%,11,-7.2%,11,-7.6%,10,2.6%,6,3.4%
MIA,5-4,15,7.0%,14,8.2%,10,11.5%,10,12.4%,13,-4.8%,12,-4.9%,31,-9.3%,30,-9.1%
SD,4-5,16,6.6%,17,3.3%,1,20.0%,2,18.0%,28,15.7%,29,17.0%,11,2.3%,12,2.3%
JAX,4-5,17,5.3%,16,5.4%,11,7.6%,11,8.8%,21,5.5%,21,6.4%,8,3.2%,8,3.0%
NO,4-5,18,2.1%,18,2.6%,9,12.5%,9,12.9%,24,10.0%,23,9.4%,19,-0.4%,21,-0.9%
MIN,5-4,19,-0.8%,19,-3.2%,24,-8.1%,27,-10.2%,3,-22.3%,3,-22.2%,32,-14.9%,32,-15.3%
BUF,5-4,20,-2.2%,22,-5.9%,22,-5.5%,24,-7.5%,18,1.5%,19,3.2%,3,4.8%,4,4.8%
NE,6-3,21,-3.5%,20,-3.6%,17,0.7%,15,1.2%,22,8.0%,22,7.5%,6,3.8%,10,2.7%
DEN,5-4,22,-4.1%,21,-5.0%,4,16.3%,7,14.4%,29,17.8%,30,17.7%,25,-2.7%,24,-1.8%
CLE,3-6,23,-12.0%,23,-8.4%,25,-9.0%,22,-6.7%,25,13.0%,25,11.9%,1,10.0%,1,10.1%
SF,2-7,24,-12.1%,25,-14.0%,28,-21.2%,29,-23.0%,14,-2.0%,15,-0.7%,2,7.2%,2,8.3%
HOU,3-6,25,-13.3%,24,-11.3%,14,2.7%,14,3.9%,31,19.9%,32,19.8%,5,4.0%,5,4.7%
DAL,5-4,26,-13.7%,27,-21.3%,18,-0.5%,21,-6.2%,20,5.4%,20,5.8%,30,-7.8%,31,-9.3%
SEA,2-7,27,-19.6%,26,-16.6%,23,-8.0%,23,-7.0%,26,13.0%,26,12.2%,13,1.4%,9,2.7%
CIN,1-8,28,-35.1%,29,-35.7%,29,-21.3%,28,-21.0%,23,9.6%,24,10.6%,26,-4.1%,27,-4.2%
OAK,2-7,29,-36.2%,30,-39.1%,32,-36.2%,32,-38.1%,17,0.8%,16,0.4%,15,0.8%,20,-0.6%
KC,1-8,30,-36.2%,28,-31.8%,27,-14.2%,25,-9.8%,27,15.5%,27,15.3%,29,-6.5%,29,-6.7%
DET,0-9,31,-42.5%,31,-40.5%,30,-24.0%,30,-24.7%,30,19.4%,28,16.7%,14,0.9%,14,0.9%
STL,2-7,32,-50.9%,32,-47.4%,31,-31.0%,31,-30.1%,32,20.5%,31,17.9%,16,0.6%,15,0.7%
