Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NYG,7-1,1,37.4%,1,36.7%,1,20.5%,1,20.2%,7,-14.7%,6,-14.5%,10,2.2%,9,2.0%
PHI,5-3,2,33.8%,2,34.7%,4,15.5%,4,15.1%,5,-15.5%,5,-16.5%,6,2.9%,6,3.2%
TEN,8-0,3,23.5%,3,24.5%,14,4.5%,14,6.3%,3,-20.6%,4,-18.6%,25,-1.7%,21,-0.3%
WAS,6-3,4,19.5%,5,18.8%,3,17.4%,3,16.7%,12,-6.7%,12,-6.1%,28,-4.6%,27,-4.0%
GB,4-4,5,19.3%,4,20.2%,10,9.1%,10,9.5%,10,-8.5%,10,-9.5%,12,1.8%,16,1.1%
BAL,5-3,6,18.2%,6,16.1%,18,-1.1%,17,-1.3%,2,-22.8%,2,-21.0%,26,-3.6%,26,-3.6%
PIT,6-2,7,17.6%,7,16.1%,25,-10.0%,26,-11.0%,1,-28.3%,1,-28.2%,21,-0.7%,24,-1.1%
ARI,5-3,8,15.4%,8,14.4%,6,13.5%,6,13.8%,14,-2.7%,14,-1.3%,22,-0.9%,23,-0.8%
CHI,5-3,9,12.6%,11,12.0%,16,0.6%,16,0.8%,8,-11.6%,8,-11.2%,17,0.5%,18,0.0%
TB,6-3,10,12.1%,12,10.4%,20,-1.8%,19,-2.0%,6,-15.1%,7,-14.0%,23,-1.1%,25,-1.6%
CAR,6-2,11,11.9%,9,12.7%,15,2.7%,15,3.3%,9,-9.5%,9,-9.8%,19,-0.4%,22,-0.5%
ATL,5-3,12,9.7%,13,9.8%,8,12.0%,8,11.3%,18,3.9%,18,2.7%,13,1.5%,15,1.2%
SD,3-5,13,9.3%,16,7.2%,2,20.5%,2,19.4%,27,13.0%,27,13.8%,11,1.9%,14,1.5%
MIA,4-4,14,8.4%,10,12.4%,9,11.0%,7,13.5%,11,-7.0%,11,-8.6%,31,-9.6%,31,-9.6%
NO,4-4,15,7.0%,15,8.2%,5,14.4%,5,14.9%,20,7.7%,20,7.0%,18,0.3%,17,0.2%
IND,4-4,16,6.8%,14,8.2%,11,8.5%,11,9.2%,17,1.0%,16,1.0%,20,-0.7%,19,-0.1%
JAX,3-5,17,1.3%,17,1.1%,12,7.1%,12,8.5%,21,8.5%,23,9.7%,8,2.7%,8,2.3%
MIN,4-4,18,0.3%,18,-1.0%,22,-5.5%,23,-6.9%,4,-20.3%,3,-21.0%,32,-14.5%,32,-15.0%
BUF,5-3,19,0.1%,19,-3.9%,21,-3.0%,20,-4.2%,16,-0.8%,17,1.2%,9,2.4%,13,1.5%
NYJ,5-3,20,-3.6%,20,-3.9%,23,-5.8%,22,-6.1%,15,-1.5%,15,-0.4%,15,0.7%,11,1.8%
DEN,4-4,21,-6.8%,22,-8.2%,7,12.6%,9,10.3%,31,18.0%,31,18.3%,24,-1.3%,20,-0.2%
NE,5-3,22,-7.7%,23,-9.2%,19,-1.5%,18,-1.7%,26,12.7%,26,13.7%,2,6.6%,2,6.2%
HOU,3-5,23,-9.3%,21,-6.6%,13,5.9%,13,7.0%,32,19.1%,32,18.3%,4,3.9%,3,4.7%
SF,2-6,24,-11.9%,25,-12.6%,27,-18.9%,28,-19.5%,13,-3.6%,13,-3.2%,5,3.4%,4,3.7%
DAL,5-4,25,-12.5%,27,-18.1%,17,-0.3%,21,-4.7%,19,4.4%,19,4.7%,29,-7.8%,30,-8.7%
CLE,3-5,26,-12.5%,24,-10.0%,26,-11.8%,25,-10.7%,23,9.5%,21,7.8%,1,8.8%,1,8.6%
SEA,2-6,27,-20.0%,26,-16.9%,24,-9.1%,24,-7.4%,25,11.5%,25,11.2%,16,0.5%,10,1.8%
DET,0-8,28,-33.4%,28,-31.8%,28,-19.8%,30,-21.1%,28,16.4%,28,13.9%,7,2.9%,7,3.1%
CIN,1-8,29,-35.3%,29,-34.4%,30,-21.6%,29,-20.0%,24,9.6%,24,10.3%,27,-4.1%,28,-4.0%
OAK,2-6,30,-38.5%,31,-39.9%,32,-33.9%,32,-34.9%,22,8.9%,22,8.6%,3,4.3%,5,3.7%
STL,2-6,31,-41.4%,30,-37.5%,31,-25.3%,31,-24.3%,30,17.3%,29,14.9%,14,1.2%,12,1.7%
KC,1-7,32,-45.5%,32,-44.2%,29,-20.3%,27,-18.2%,29,17.1%,30,17.3%,30,-8.1%,29,-8.7%
