Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
BAL,2-0,1,71.5%,1,71.5%,12,8.2%,12,8.2%,1,-66.6%,1,-66.6%,23,-3.2%,23,-3.2%
NYG,3-0,2,46.9%,2,46.9%,4,30.8%,4,30.8%,9,-12.2%,9,-12.2%,9,3.9%,9,3.9%
BUF,3-0,3,40.1%,3,40.1%,8,14.8%,8,14.8%,4,-22.7%,4,-22.7%,12,2.6%,12,2.6%
PHI,2-1,4,37.1%,4,37.1%,7,15.7%,7,15.7%,5,-18.3%,5,-18.3%,10,3.2%,10,3.2%
ATL,2-1,5,36.9%,5,36.9%,6,18.9%,6,18.9%,8,-13.9%,8,-13.9%,7,4.1%,7,4.1%
TEN,3-0,6,34.5%,6,34.5%,16,2.8%,16,2.8%,2,-42.4%,2,-42.4%,31,-10.8%,31,-10.8%
SD,1-2,7,32.5%,7,32.5%,1,39.1%,1,39.1%,21,7.0%,21,7.0%,18,0.4%,18,0.4%
DAL,3-0,8,29.6%,8,29.6%,2,35.7%,2,35.7%,23,8.8%,23,8.8%,11,2.7%,11,2.7%
GB,2-1,9,23.5%,9,23.5%,10,12.0%,10,12.0%,13,-4.7%,13,-4.7%,4,6.8%,4,6.8%
SF,2-1,10,22.6%,10,22.6%,13,7.1%,13,7.1%,7,-16.9%,7,-16.9%,19,-1.4%,19,-1.4%
PIT,2-1,11,21.2%,11,21.2%,20,-6.4%,20,-6.4%,3,-25.4%,3,-25.4%,13,2.2%,13,2.2%
WAS,2-1,12,20.4%,12,20.4%,5,28.5%,5,28.5%,14,-3.6%,14,-3.6%,32,-11.7%,32,-11.7%
ARI,2-1,13,13.7%,13,13.7%,11,9.9%,11,9.9%,12,-5.9%,12,-5.9%,21,-2.1%,21,-2.1%
TB,2-1,14,13.5%,14,13.5%,15,3.8%,15,3.8%,11,-8.9%,11,-8.9%,16,0.8%,16,0.8%
CHI,1-2,15,7.8%,15,7.8%,19,-5.5%,19,-5.5%,10,-9.2%,10,-9.2%,8,4.1%,8,4.1%
MIN,1-2,16,6.9%,16,6.9%,17,-0.2%,17,-0.2%,6,-17.0%,6,-17.0%,30,-9.9%,30,-9.9%
DEN,3-0,17,1.3%,17,1.3%,3,33.7%,3,33.7%,29,23.3%,29,23.3%,28,-9.1%,28,-9.1%
MIA,1-2,18,-2.2%,18,-2.2%,14,5.0%,14,5.0%,16,-2.7%,16,-2.7%,29,-9.9%,29,-9.9%
OAK,1-2,19,-2.5%,19,-2.5%,24,-11.4%,24,-11.4%,20,1.4%,20,1.4%,2,10.3%,2,10.3%
JAX,1-2,20,-5.6%,20,-5.6%,23,-9.9%,23,-9.9%,19,0.1%,19,0.1%,6,4.3%,6,4.3%
SEA,1-2,21,-7.3%,21,-7.3%,18,-2.7%,18,-2.7%,17,-2.7%,17,-2.7%,27,-7.2%,27,-7.2%
NE,2-1,22,-9.2%,22,-9.2%,22,-8.1%,22,-8.1%,25,13.7%,25,13.7%,1,12.6%,1,12.6%
NO,1-2,23,-9.4%,23,-9.4%,9,14.6%,9,14.6%,28,22.2%,28,22.2%,20,-1.8%,20,-1.8%
CAR,2-1,24,-10.2%,24,-10.2%,26,-17.9%,26,-17.9%,15,-3.2%,15,-3.2%,5,4.5%,5,4.5%
IND,1-2,25,-12.2%,25,-12.2%,21,-7.0%,21,-7.0%,18,-0.9%,18,-0.9%,25,-6.1%,25,-6.1%
NYJ,1-2,26,-19.8%,26,-19.8%,25,-13.0%,25,-13.0%,22,7.5%,22,7.5%,17,0.6%,17,0.6%
CIN,0-3,27,-52.9%,27,-52.9%,28,-33.3%,28,-33.3%,24,13.6%,24,13.6%,24,-5.9%,24,-5.9%
HOU,0-2,28,-59.5%,28,-59.5%,30,-39.1%,30,-39.1%,27,18.3%,27,18.3%,22,-2.2%,22,-2.2%
KC,0-3,29,-59.8%,29,-59.8%,29,-38.2%,29,-38.2%,26,14.5%,26,14.5%,26,-7.2%,26,-7.2%
CLE,0-3,30,-61.0%,30,-61.0%,32,-45.3%,32,-45.3%,30,23.9%,30,23.9%,3,8.2%,3,8.2%
DET,0-3,31,-68.1%,31,-68.1%,27,-26.4%,27,-26.4%,31,42.6%,31,42.6%,15,0.9%,15,0.9%
STL,0-3,32,-86.0%,32,-86.0%,31,-43.1%,31,-43.1%,32,44.8%,32,44.8%,14,1.9%,14,1.9%
