Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,12-2,1,38.9%,1,43.3%,1,44.5%,1,48.1%,25,7.1%,23,5.0%,12,1.5%,16,0.1%
PIT,10-4,2,29.4%,2,31.0%,6,10.3%,5,14.1%,1,-18.3%,1,-16.7%,15,0.8%,14,0.2%
PHI,10-4,3,28.6%,3,29.8%,2,23.1%,2,23.8%,13,-3.8%,13,-2.6%,9,1.7%,9,3.4%
BAL,10-4,4,23.0%,4,27.7%,13,5.9%,12,7.2%,6,-10.5%,6,-12.0%,4,6.6%,1,8.5%
SD,8-6,5,20.1%,5,26.6%,4,17.2%,3,20.1%,3,-14.6%,4,-13.9%,32,-11.7%,32,-7.4%
NYG,9-5,6,19.3%,6,21.0%,9,9.0%,8,10.0%,2,-16.4%,2,-15.7%,31,-6.1%,29,-4.6%
GB,8-6,7,19.0%,8,18.6%,10,8.4%,13,5.9%,5,-12.7%,3,-14.0%,23,-2.1%,21,-1.3%
ATL,12-2,8,18.9%,7,19.1%,8,9.8%,10,8.6%,12,-4.3%,11,-3.5%,7,4.8%,4,7.0%
NO,10-4,9,14.0%,9,16.8%,7,10.1%,6,12.5%,10,-6.3%,8,-6.8%,24,-2.3%,23,-2.5%
NYJ,10-4,10,12.9%,10,9.1%,17,-1.5%,23,-4.8%,7,-7.6%,9,-6.6%,3,6.8%,3,7.3%
TEN,6-8,11,10.6%,13,4.6%,18,-2.5%,20,-4.0%,8,-7.6%,12,-2.9%,6,5.6%,7,5.8%
MIA,7-7,12,6.5%,12,5.1%,15,1.5%,17,-1.3%,9,-6.4%,7,-7.0%,20,-1.4%,18,-0.6%
KC,9-5,13,3.4%,21,-4.7%,11,6.9%,14,5.3%,21,1.5%,24,5.6%,22,-2.1%,28,-4.4%
IND,8-6,14,1.5%,15,-0.7%,5,11.2%,9,9.4%,22,3.8%,22,4.2%,30,-5.9%,31,-5.9%
HOU,5-9,15,1.0%,14,1.4%,3,19.8%,4,18.7%,30,15.2%,29,12.5%,29,-3.7%,30,-4.8%
CHI,10-4,16,0.7%,11,6.2%,30,-19.2%,27,-14.9%,4,-12.9%,5,-13.5%,2,7.0%,2,7.6%
DET,4-10,17,-2.1%,17,-1.5%,21,-3.5%,16,-1.1%,17,0.1%,16,0.3%,11,1.6%,17,-0.1%
CLE,5-9,18,-2.1%,18,-2.5%,22,-4.2%,19,-3.5%,16,-0.4%,17,0.4%,10,1.7%,12,1.5%
JAX,8-6,19,-4.7%,16,-0.7%,12,6.4%,7,10.9%,31,17.7%,31,17.5%,5,6.6%,6,5.9%
TB,8-6,20,-5.8%,19,-3.6%,14,4.2%,11,7.8%,27,9.1%,27,10.2%,18,-0.8%,20,-1.3%
DAL,5-9,21,-8.5%,22,-9.5%,20,-2.8%,21,-4.6%,24,6.9%,25,6.9%,13,1.2%,11,1.9%
OAK,7-7,22,-10.5%,20,-3.7%,24,-9.4%,22,-4.8%,18,0.3%,14,-0.9%,19,-0.9%,15,0.2%
CIN,3-11,23,-11.6%,26,-15.3%,19,-2.5%,18,-3.2%,23,6.1%,26,9.5%,26,-2.9%,24,-2.6%
SF,5-9,24,-13.1%,24,-10.6%,26,-10.5%,25,-6.1%,19,0.6%,20,2.3%,21,-1.9%,22,-2.2%
BUF,4-10,25,-14.3%,23,-10.6%,23,-6.4%,24,-5.4%,26,8.4%,21,4.2%,16,0.5%,19,-1.0%
STL,6-8,26,-15.6%,25,-13.7%,28,-18.1%,28,-16.9%,14,-1.6%,15,-0.6%,14,0.8%,10,2.6%
MIN,5-9,27,-15.6%,27,-19.7%,27,-17.7%,30,-20.0%,11,-4.7%,10,-4.1%,25,-2.6%,26,-3.8%
SEA,6-8,28,-22.8%,30,-29.4%,29,-18.3%,29,-18.0%,29,12.1%,30,17.3%,1,7.6%,5,6.0%
WAS,5-9,29,-23.9%,29,-27.7%,25,-10.1%,26,-10.9%,28,10.3%,28,12.4%,27,-3.5%,27,-4.4%
DEN,3-11,30,-23.9%,28,-22.1%,16,0.2%,15,0.5%,32,20.5%,32,19.8%,28,-3.6%,25,-2.8%
ARI,4-10,31,-33.2%,31,-33.2%,31,-34.9%,32,-35.1%,20,1.3%,18,2.0%,8,3.1%,8,3.9%
CAR,2-12,32,-36.7%,32,-35.4%,32,-37.6%,31,-34.1%,15,-0.6%,19,2.1%,17,0.3%,13,0.8%
