Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,6-3,1,34.6%,1,35.7%,2,30.0%,2,30.7%,8,-6.5%,9,-6.9%,24,-2.0%,22,-1.8%
TEN,5-4,2,26.0%,2,27.8%,14,3.7%,13,6.0%,1,-16.6%,2,-15.4%,4,5.8%,3,6.5%
GB,6-3,3,21.9%,5,20.5%,7,12.5%,10,11.2%,4,-13.5%,3,-13.5%,28,-4.0%,27,-4.2%
NE,7-2,4,21.7%,3,22.1%,1,33.5%,1,32.8%,28,14.8%,28,13.7%,9,3.0%,8,3.1%
PIT,6-3,5,20.9%,6,19.1%,12,5.1%,12,7.8%,3,-14.8%,7,-11.3%,13,1.0%,17,0.1%
NYG,6-3,6,17.9%,4,21.1%,11,10.1%,9,11.9%,2,-15.6%,1,-16.7%,31,-7.8%,31,-7.5%
ATL,7-2,7,16.2%,9,14.0%,6,13.2%,8,12.4%,12,-4.4%,15,-3.3%,21,-1.4%,20,-1.6%
BAL,6-3,8,15.9%,7,18.2%,10,10.1%,6,12.8%,14,-3.7%,16,-2.6%,11,2.1%,10,2.7%
IND,6-3,9,14.9%,8,14.6%,5,14.8%,5,14.2%,11,-4.9%,11,-5.3%,29,-4.8%,29,-4.8%
SD,4-5,10,11.7%,11,13.4%,4,17.4%,4,18.8%,5,-13.2%,4,-12.1%,32,-19.0%,32,-17.5%
NYJ,7-2,11,11.4%,14,8.0%,15,3.1%,18,1.7%,9,-5.7%,14,-4.1%,10,2.7%,11,2.1%
MIA,5-4,12,11.3%,10,13.7%,8,10.6%,7,12.6%,19,-1.3%,18,-0.7%,18,-0.7%,14,0.4%
NO,6-3,13,9.0%,13,9.5%,19,0.3%,19,-0.9%,7,-10.0%,5,-12.1%,20,-1.3%,21,-1.7%
KC,5-4,14,6.4%,17,1.8%,13,4.6%,16,4.3%,17,-3.3%,19,-0.6%,22,-1.5%,26,-3.1%
CLE,3-6,15,6.4%,12,9.5%,16,2.9%,14,5.7%,21,0.9%,21,1.9%,7,4.5%,5,5.8%
HOU,4-5,16,1.7%,16,2.7%,3,25.5%,3,26.2%,32,23.7%,32,23.6%,16,-0.1%,16,0.1%
SF,3-6,17,-2.8%,15,2.9%,22,-7.5%,21,-4.3%,13,-4.1%,10,-5.8%,14,0.5%,13,1.4%
DET,2-7,18,-4.2%,19,-3.2%,26,-12.8%,27,-12.9%,15,-3.7%,13,-4.7%,5,5.0%,7,5.1%
CIN,2-7,19,-5.1%,20,-5.4%,21,-3.9%,20,-2.4%,18,-2.5%,17,-1.3%,27,-3.8%,28,-4.4%
OAK,5-4,20,-8.4%,18,-2.1%,27,-13.0%,24,-10.1%,10,-5.6%,8,-8.1%,19,-1.1%,18,-0.1%
JAX,5-4,21,-8.6%,21,-7.1%,17,2.3%,15,4.7%,29,16.9%,29,17.3%,3,6.0%,6,5.5%
TB,6-3,22,-9.6%,22,-10.9%,18,0.7%,17,2.1%,27,10.3%,27,12.4%,15,0.0%,19,-0.6%
CHI,6-3,23,-11.9%,24,-13.6%,30,-29.8%,30,-32.6%,6,-11.8%,6,-12.0%,2,6.1%,1,7.1%
DAL,2-7,24,-14.0%,28,-17.4%,20,-2.7%,22,-5.2%,26,9.3%,25,10.0%,23,-2.0%,24,-2.3%
MIN,3-6,25,-14.2%,25,-14.3%,25,-11.5%,25,-10.1%,20,0.1%,20,1.4%,26,-2.6%,25,-2.7%
DEN,3-6,26,-14.9%,27,-14.6%,9,10.5%,11,11.1%,31,20.2%,31,20.3%,30,-5.3%,30,-5.4%
WAS,4-5,27,-15.1%,26,-14.3%,24,-10.1%,26,-10.9%,24,6.0%,24,5.2%,12,1.0%,12,1.8%
STL,4-5,28,-15.7%,23,-12.9%,28,-17.0%,28,-15.8%,16,-3.6%,12,-4.8%,25,-2.3%,23,-1.9%
SEA,5-4,29,-21.6%,30,-27.0%,29,-21.6%,29,-22.1%,25,8.6%,26,11.8%,1,8.6%,2,6.8%
BUF,1-8,30,-24.0%,29,-22.7%,23,-7.8%,23,-6.1%,30,19.2%,30,19.3%,8,3.1%,9,2.8%
ARI,3-6,31,-34.1%,31,-34.0%,31,-35.9%,31,-36.7%,23,3.0%,22,3.4%,6,4.8%,4,6.1%
CAR,1-8,32,-49.2%,32,-49.2%,32,-46.5%,32,-44.8%,22,2.5%,23,4.6%,17,-0.2%,15,0.3%
