Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,5-4,1,25.6%,1,25.0%,20,-7.5%,24,-9.2%,1,-24.2%,1,-23.7%,1,8.9%,1,10.5%
DAL,8-1,2,22.7%,2,23.8%,2,22.9%,2,23.7%,16,1.3%,17,1.2%,10,1.1%,9,1.3%
ATL,6-4,3,21.3%,3,21.7%,1,24.8%,1,25.2%,21,5.8%,21,4.9%,6,2.3%,7,1.4%
SEA,6-2-1,4,20.5%,4,20.7%,11,4.6%,11,6.3%,5,-16.2%,5,-14.9%,16,-0.2%,17,-0.5%
NE,7-2,5,17.0%,5,19.4%,4,18.8%,3,19.6%,18,3.6%,18,1.3%,8,1.7%,10,1.1%
MIA,5-4,6,10.3%,6,14.4%,15,-0.6%,13,1.5%,7,-9.8%,7,-11.5%,11,1.1%,8,1.4%
OAK,7-2,7,9.3%,7,8.7%,3,19.9%,4,19.0%,29,11.0%,27,11.0%,13,0.4%,12,0.6%
MIN,5-4,8,7.0%,15,3.5%,23,-8.2%,22,-8.3%,6,-14.7%,6,-11.9%,12,0.5%,15,-0.1%
WAS,5-3-1,9,6.6%,9,7.6%,10,9.9%,9,12.0%,20,4.7%,20,4.8%,9,1.3%,13,0.3%
BUF,4-5,10,6.4%,8,7.6%,6,15.1%,6,16.0%,25,7.7%,25,6.9%,18,-1.1%,18,-1.5%
ARI,4-4-1,11,5.6%,12,4.1%,26,-10.9%,26,-11.1%,2,-22.4%,3,-21.0%,30,-6.0%,30,-5.9%
NO,4-5,12,5.5%,10,6.5%,5,17.3%,5,17.8%,26,7.7%,26,7.3%,26,-4.1%,27,-3.9%
PIT,4-5,13,5.2%,11,4.7%,7,13.1%,8,13.8%,22,6.2%,23,6.9%,19,-1.7%,21,-2.2%
DEN,7-3,14,4.3%,14,3.8%,28,-11.6%,28,-12.6%,4,-16.2%,4,-16.6%,17,-0.3%,16,-0.2%
NYG,6-3,15,4.1%,13,4.0%,17,-2.6%,17,-2.5%,8,-8.9%,8,-8.0%,20,-2.1%,19,-1.5%
KC,7-2,16,2.6%,17,1.1%,22,-8.1%,23,-8.6%,10,-6.4%,11,-5.8%,4,4.3%,4,3.9%
BAL,5-4,17,1.3%,16,1.4%,32,-22.7%,32,-22.3%,3,-22.0%,2,-21.9%,7,2.0%,6,1.8%
CIN,3-5-1,18,-0.3%,18,-0.2%,9,10.0%,10,10.4%,23,6.3%,22,6.8%,25,-4.0%,26,-3.8%
GB,4-5,19,-0.4%,21,-1.6%,13,1.2%,14,0.8%,13,-2.3%,12,-2.0%,24,-3.9%,28,-4.4%
SD,4-6,20,-0.6%,19,-0.7%,18,-2.9%,19,-4.8%,11,-4.7%,10,-5.8%,21,-2.3%,20,-1.7%
TEN,5-5,21,-2.5%,20,-1.5%,8,12.5%,7,15.4%,28,10.5%,29,13.3%,28,-4.5%,25,-3.6%
CAR,3-6,22,-4.3%,22,-4.6%,14,-0.1%,15,0.2%,14,-1.0%,15,-0.2%,29,-5.3%,29,-5.0%
TB,4-5,23,-7.7%,23,-7.4%,19,-4.6%,18,-4.7%,15,-0.1%,14,-0.4%,23,-3.1%,22,-3.1%
LAR,4-5,24,-8.9%,24,-7.8%,30,-20.8%,30,-19.6%,9,-6.5%,9,-6.5%,3,5.4%,3,5.4%
CHI,2-7,25,-9.1%,25,-7.9%,21,-7.9%,20,-7.6%,17,1.4%,16,0.5%,14,0.1%,14,0.2%
DET,5-4,26,-9.5%,26,-9.1%,12,3.4%,12,3.2%,30,16.7%,30,15.8%,5,3.9%,5,3.5%
IND,4-5,27,-17.9%,27,-16.7%,16,-1.1%,16,-1.2%,31,23.0%,31,22.0%,2,6.1%,2,6.5%
JAX,2-7,28,-18.0%,28,-17.7%,27,-11.3%,25,-11.0%,19,4.2%,19,3.6%,22,-2.5%,23,-3.2%
SF,1-8,29,-18.5%,29,-18.9%,24,-8.2%,21,-7.7%,27,10.2%,28,12.3%,15,-0.1%,11,1.1%
HOU,6-3,30,-26.5%,30,-26.7%,31,-22.1%,31,-20.8%,12,-2.8%,13,-0.7%,31,-7.2%,31,-6.6%
NYJ,3-7,31,-31.1%,31,-31.8%,29,-15.5%,29,-15.8%,24,7.1%,24,6.9%,32,-8.5%,32,-9.1%
CLE,0-10,32,-38.4%,32,-39.7%,25,-10.4%,27,-11.6%,32,23.6%,32,24.9%,27,-4.4%,24,-3.2%
