Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,4-4,1,24.7%,3,24.5%,23,-7.2%,23,-8.2%,2,-22.2%,1,-21.5%,1,9.8%,1,11.2%
DAL,7-1,2,24.3%,1,26.2%,2,21.0%,2,22.4%,13,-3.9%,12,-4.7%,16,-0.6%,18,-0.9%
ATL,6-3,3,23.3%,2,25.5%,1,24.3%,1,25.5%,20,4.6%,19,3.0%,6,3.6%,7,3.1%
NE,7-1,4,18.8%,4,22.2%,3,18.6%,3,19.5%,18,2.1%,15,-0.6%,7,2.3%,8,2.1%
SEA,5-2-1,5,18.2%,5,18.3%,15,0.8%,14,2.1%,4,-17.7%,5,-16.5%,15,-0.2%,14,-0.3%
DEN,6-3,6,11.2%,6,11.6%,22,-5.9%,22,-6.1%,5,-17.2%,4,-17.4%,14,-0.1%,12,0.2%
MIN,5-3,7,10.4%,7,9.3%,26,-10.0%,25,-10.3%,3,-19.7%,3,-18.6%,10,0.7%,10,0.9%
OAK,7-2,8,8.6%,8,8.6%,4,18.4%,4,17.5%,27,10.2%,26,9.4%,11,0.4%,11,0.6%
GB,4-4,9,7.3%,9,7.6%,12,3.9%,11,4.2%,9,-6.6%,8,-6.8%,22,-3.2%,22,-3.4%
ARI,3-4-1,10,5.9%,13,4.1%,25,-10.0%,26,-11.1%,1,-22.4%,2,-21.2%,29,-6.5%,29,-6.1%
KC,6-2,11,5.2%,11,5.1%,21,-4.5%,21,-5.1%,12,-5.6%,9,-6.4%,4,4.1%,4,3.8%
BUF,4-5,12,4.6%,10,6.4%,6,13.9%,6,15.0%,24,8.3%,23,7.1%,17,-1.1%,19,-1.5%
SD,4-5,13,4.1%,14,4.0%,14,1.1%,16,-0.8%,7,-7.8%,7,-9.3%,26,-4.7%,25,-4.5%
NYG,5-3,14,2.9%,16,2.8%,18,-2.9%,19,-2.9%,8,-7.1%,10,-6.4%,20,-1.4%,16,-0.7%
MIA,4-4,15,2.1%,12,4.5%,19,-3.8%,18,-2.6%,14,-3.8%,13,-4.0%,8,2.2%,6,3.1%
CHI,2-6,16,1.6%,15,3.8%,13,1.7%,12,3.5%,16,0.1%,16,-0.2%,13,0.0%,13,0.1%
WAS,4-3-1,17,1.0%,17,1.8%,10,5.1%,9,6.2%,19,4.1%,20,3.8%,12,0.0%,15,-0.6%
PIT,4-4,18,0.6%,19,-2.0%,9,6.9%,10,6.1%,22,5.1%,22,6.5%,18,-1.2%,20,-1.6%
NO,4-4,19,-0.7%,18,-0.7%,5,16.8%,5,17.2%,29,13.6%,28,14.3%,23,-3.9%,23,-3.6%
CIN,3-4-1,20,-2.7%,20,-2.9%,7,12.2%,7,13.3%,23,8.2%,25,9.4%,30,-6.6%,30,-6.7%
TEN,4-5,21,-5.4%,21,-4.8%,8,9.6%,8,11.4%,26,9.1%,27,10.8%,28,-5.9%,27,-5.4%
BAL,4-4,22,-6.1%,22,-7.7%,32,-24.9%,32,-25.3%,6,-17.2%,6,-16.4%,9,1.6%,9,1.3%
CAR,3-5,23,-7.0%,24,-8.4%,17,-1.5%,17,-1.8%,15,-0.1%,18,0.9%,27,-5.7%,28,-5.8%
DET,5-4,24,-7.7%,23,-8.2%,11,4.0%,13,3.5%,30,15.6%,29,15.0%,5,3.9%,5,3.3%
LAR,3-5,25,-10.5%,25,-8.8%,30,-21.1%,30,-19.0%,10,-6.4%,11,-6.2%,3,4.3%,3,4.0%
TB,3-5,26,-13.2%,27,-14.7%,20,-4.2%,20,-4.2%,21,4.8%,21,5.8%,24,-4.3%,26,-4.8%
IND,4-5,27,-14.3%,26,-13.2%,16,0.0%,15,-0.6%,31,20.4%,31,19.1%,2,6.1%,2,6.5%
JAX,2-6,28,-15.3%,28,-15.0%,28,-12.4%,28,-12.4%,17,0.9%,17,-0.2%,21,-2.0%,21,-2.7%
HOU,5-3,29,-24.8%,29,-26.7%,31,-23.4%,31,-23.1%,11,-6.1%,14,-3.9%,31,-7.5%,31,-7.5%
SF,1-7,30,-25.6%,30,-28.2%,27,-10.9%,27,-11.3%,28,13.4%,30,16.2%,19,-1.3%,17,-0.8%
NYJ,3-6,31,-34.4%,31,-36.3%,29,-17.5%,29,-18.9%,25,8.9%,24,8.8%,32,-8.1%,32,-8.5%
CLE,0-9,32,-36.2%,32,-36.3%,24,-8.5%,24,-8.7%,32,23.3%,32,24.0%,25,-4.5%,24,-3.7%
