Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,3-1,1,35.7%,1,35.7%,5,10.1%,5,10.1%,2,-25.9%,2,-25.9%,16,-0.3%,16,-0.3%
MIN,5-0,2,35.6%,2,35.6%,11,5.2%,11,5.2%,3,-25.4%,3,-25.4%,6,5.1%,6,5.1%
SEA,3-1,3,31.3%,3,31.3%,19,-1.6%,19,-1.6%,1,-28.7%,1,-28.7%,7,4.2%,7,4.2%
ATL,4-1,4,24.1%,4,24.1%,1,26.3%,1,26.3%,26,9.2%,26,9.2%,4,6.9%,4,6.9%
PIT,4-1,5,18.7%,5,18.7%,4,18.3%,4,18.3%,20,2.7%,20,2.7%,10,3.2%,10,3.2%
DAL,4-1,6,16.9%,6,16.9%,2,25.3%,2,25.3%,22,6.9%,22,6.9%,18,-1.4%,18,-1.4%
GB,3-1,7,16.8%,7,16.8%,8,9.0%,8,9.0%,8,-9.1%,8,-9.1%,17,-1.4%,17,-1.4%
DEN,4-1,8,14.7%,8,14.7%,17,-1.1%,17,-1.1%,6,-15.3%,6,-15.3%,15,0.6%,15,0.6%
BUF,3-2,9,12.2%,9,12.2%,10,7.1%,10,7.1%,13,-3.1%,13,-3.1%,13,2.0%,13,2.0%
OAK,4-1,10,7.6%,10,7.6%,3,20.2%,3,20.2%,29,15.6%,29,15.6%,11,2.9%,11,2.9%
ARI,2-3,11,3.5%,11,3.5%,23,-9.8%,23,-9.8%,4,-17.6%,4,-17.6%,25,-4.4%,25,-4.4%
SD,1-4,12,3.5%,12,3.5%,6,9.9%,6,9.9%,16,0.4%,16,0.4%,27,-6.1%,27,-6.1%
WAS,3-2,13,3.0%,13,3.0%,15,1.7%,15,1.7%,25,7.7%,25,7.7%,1,8.9%,1,8.9%
NE,4-1,14,2.1%,14,2.1%,9,8.8%,9,8.8%,24,7.6%,24,7.6%,14,0.9%,14,0.9%
BAL,3-2,15,-0.8%,15,-0.8%,28,-13.4%,28,-13.4%,5,-15.9%,5,-15.9%,22,-3.3%,22,-3.3%
NYG,2-3,16,-1.1%,16,-1.1%,18,-1.2%,18,-1.2%,15,-2.9%,15,-2.9%,19,-2.8%,19,-2.8%
KC,2-2,17,-1.5%,17,-1.5%,26,-12.1%,26,-12.1%,10,-6.7%,10,-6.7%,8,3.9%,8,3.9%
TEN,2-3,18,-1.6%,18,-1.6%,16,1.5%,16,1.5%,7,-10.5%,7,-10.5%,32,-13.6%,32,-13.6%
CIN,2-3,19,-3.5%,19,-3.5%,14,2.5%,14,2.5%,19,2.0%,19,2.0%,23,-4.0%,23,-4.0%
CHI,1-4,20,-4.2%,20,-4.2%,13,2.7%,13,2.7%,17,0.9%,17,0.9%,26,-6.0%,26,-6.0%
NO,1-3,21,-4.3%,21,-4.3%,7,9.8%,7,9.8%,27,10.9%,27,10.9%,21,-3.2%,21,-3.2%
CAR,1-4,22,-6.8%,22,-6.8%,20,-2.9%,20,-2.9%,12,-3.2%,12,-3.2%,29,-7.1%,29,-7.1%
JAX,1-3,23,-7.0%,23,-7.0%,27,-12.1%,27,-12.1%,14,-3.1%,14,-3.1%,12,2.1%,12,2.1%
DET,2-3,24,-11.3%,24,-11.3%,12,4.6%,12,4.6%,32,23.9%,32,23.9%,2,7.9%,2,7.9%
LAR,3-2,25,-12.0%,25,-12.0%,31,-21.7%,31,-21.7%,11,-3.9%,11,-3.9%,5,5.8%,5,5.8%
SF,1-4,26,-17.8%,26,-17.8%,22,-9.8%,22,-9.8%,18,1.8%,18,1.8%,28,-6.2%,28,-6.2%
IND,2-3,27,-18.2%,27,-18.2%,21,-3.2%,21,-3.2%,31,22.6%,31,22.6%,3,7.6%,3,7.6%
MIA,1-4,28,-18.9%,28,-18.9%,30,-15.0%,30,-15.0%,23,7.3%,23,7.3%,9,3.3%,9,3.3%
TB,2-3,29,-20.8%,29,-20.8%,29,-13.7%,29,-13.7%,21,4.1%,21,4.1%,20,-3.1%,20,-3.1%
HOU,3-2,30,-26.8%,30,-26.8%,32,-26.6%,32,-26.6%,9,-9.1%,9,-9.1%,31,-9.3%,31,-9.3%
NYJ,1-4,31,-33.3%,31,-33.3%,24,-10.0%,24,-10.0%,30,19.1%,30,19.1%,24,-4.2%,24,-4.2%
CLE,0-5,32,-35.4%,32,-35.4%,25,-11.8%,25,-11.8%,28,15.3%,28,15.3%,30,-8.3%,30,-8.3%
