Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,2-0,1,34.3%,1,34.3%,9,12.2%,9,12.2%,4,-27.2%,4,-27.2%,21,-5.1%,21,-5.1%
ARI,1-1,2,31.1%,2,31.1%,8,13.6%,8,13.6%,2,-27.8%,2,-27.8%,29,-10.2%,29,-10.2%
CAR,1-1,3,25.5%,3,25.5%,11,9.8%,11,9.8%,7,-18.5%,7,-18.5%,17,-2.8%,17,-2.8%
PIT,2-0,4,20.1%,4,20.1%,6,16.4%,6,16.4%,17,-0.6%,17,-0.6%,10,3.1%,10,3.1%
BAL,2-0,5,20.1%,5,20.1%,19,-6.6%,19,-6.6%,9,-17.5%,9,-17.5%,2,9.2%,2,9.2%
DET,1-1,6,18.4%,6,18.4%,3,25.9%,3,25.9%,25,16.5%,25,16.5%,3,9.0%,3,9.0%
SD,1-1,7,13.6%,7,13.6%,2,27.0%,2,27.0%,22,6.8%,22,6.8%,24,-6.6%,24,-6.6%
SEA,1-1,8,13.5%,8,13.5%,27,-18.2%,27,-18.2%,1,-34.2%,1,-34.2%,16,-2.5%,16,-2.5%
DEN,2-0,9,12.5%,9,12.5%,15,3.8%,15,3.8%,11,-13.1%,11,-13.1%,20,-4.5%,20,-4.5%
KC,1-1,10,7.5%,10,7.5%,22,-8.5%,22,-8.5%,13,-7.1%,13,-7.1%,4,8.9%,4,8.9%
MIN,2-0,11,7.2%,11,7.2%,25,-15.5%,25,-15.5%,5,-25.8%,5,-25.8%,18,-3.0%,18,-3.0%
SF,1-1,12,6.9%,12,6.9%,23,-8.9%,23,-8.9%,6,-20.1%,6,-20.1%,19,-4.3%,19,-4.3%
CIN,1-1,13,5.7%,13,5.7%,13,7.3%,13,7.3%,14,-5.3%,14,-5.3%,25,-6.9%,25,-6.9%
DAL,1-1,14,4.1%,14,4.1%,14,5.3%,14,5.3%,19,4.6%,19,4.6%,9,3.3%,9,3.3%
GB,1-1,15,0.5%,15,0.5%,26,-16.2%,26,-16.2%,8,-18.2%,8,-18.2%,15,-1.5%,15,-1.5%
TEN,1-1,16,-2.3%,16,-2.3%,17,-2.8%,17,-2.8%,12,-12.0%,12,-12.0%,31,-11.5%,31,-11.5%
NO,0-2,17,-2.6%,17,-2.6%,7,15.3%,7,15.3%,23,10.5%,23,10.5%,27,-7.4%,27,-7.4%
ATL,1-1,18,-4.4%,18,-4.4%,4,18.4%,4,18.4%,30,32.9%,30,32.9%,1,10.1%,1,10.1%
OAK,1-1,19,-5.4%,19,-5.4%,1,37.5%,1,37.5%,32,36.5%,32,36.5%,23,-6.4%,23,-6.4%
NYG,2-0,20,-5.6%,20,-5.6%,16,-0.3%,16,-0.3%,16,-1.8%,16,-1.8%,26,-7.0%,26,-7.0%
NYJ,1-1,21,-5.9%,21,-5.9%,5,17.0%,5,17.0%,27,17.7%,27,17.7%,22,-5.2%,22,-5.2%
HOU,2-0,22,-11.8%,22,-11.8%,30,-27.9%,30,-27.9%,3,-27.3%,3,-27.3%,30,-11.2%,30,-11.2%
NE,2-0,23,-13.2%,23,-13.2%,12,7.5%,12,7.5%,29,22.9%,29,22.9%,12,2.2%,12,2.2%
TB,1-1,24,-18.5%,24,-18.5%,24,-14.2%,24,-14.2%,18,3.5%,18,3.5%,14,-0.8%,14,-0.8%
WAS,0-2,25,-19.0%,25,-19.0%,20,-7.1%,20,-7.1%,24,16.4%,24,16.4%,6,4.5%,6,4.5%
BUF,0-2,26,-19.3%,26,-19.3%,18,-6.0%,18,-6.0%,26,17.1%,26,17.1%,7,3.8%,7,3.8%
LAR,1-1,27,-20.4%,27,-20.4%,32,-43.7%,32,-43.7%,10,-16.3%,10,-16.3%,5,7.0%,5,7.0%
MIA,0-2,28,-20.7%,28,-20.7%,21,-7.7%,21,-7.7%,20,5.5%,20,5.5%,28,-7.6%,28,-7.6%
IND,0-2,29,-23.3%,29,-23.3%,10,11.5%,10,11.5%,31,36.3%,31,36.3%,13,1.5%,13,1.5%
CHI,0-2,30,-23.7%,30,-23.7%,31,-32.2%,31,-32.2%,15,-5.0%,15,-5.0%,8,3.5%,8,3.5%
JAX,0-2,31,-36.1%,31,-36.1%,28,-20.1%,28,-20.1%,28,19.1%,28,19.1%,11,3.1%,11,3.1%
CLE,0-2,32,-43.2%,32,-43.2%,29,-23.8%,29,-23.8%,21,5.5%,21,5.5%,32,-13.8%,32,-13.8%
