Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
PHI,4-3,1,25.7%,1,25.3%,22,-5.6%,22,-6.2%,1,-22.4%,1,-21.8%,1,9.0%,1,9.7%
DAL,6-1,2,24.3%,3,25.0%,2,21.9%,2,22.6%,12,-3.8%,12,-4.1%,21,-1.4%,21,-1.7%
ATL,5-3,3,22.9%,2,25.0%,1,23.6%,1,24.9%,22,4.3%,21,3.3%,3,3.7%,5,3.4%
NE,7-1,4,19.2%,4,20.5%,3,19.5%,3,20.3%,18,2.6%,17,1.6%,7,2.3%,8,1.8%
SEA,4-2-1,5,18.2%,5,17.6%,20,-3.8%,18,-3.4%,2,-22.0%,4,-21.0%,14,0.0%,13,0.0%
DEN,6-2,6,16.3%,6,17.4%,21,-4.2%,21,-4.1%,4,-20.6%,3,-21.5%,18,-0.1%,14,0.0%
MIN,5-2,7,13.8%,7,13.5%,24,-8.2%,24,-8.4%,5,-20.3%,5,-19.9%,8,1.7%,7,2.0%
GB,4-3,8,10.5%,8,10.4%,12,3.3%,13,2.9%,8,-7.3%,8,-7.6%,17,-0.1%,15,0.0%
BUF,4-4,9,7.0%,9,8.6%,8,9.7%,8,10.8%,20,3.6%,20,3.2%,10,0.9%,10,1.0%
ARI,3-4-1,10,6.9%,10,6.5%,25,-8.3%,26,-8.8%,3,-21.8%,2,-21.5%,29,-6.5%,29,-6.2%
KC,5-2,11,5.0%,11,3.7%,18,-2.5%,19,-3.7%,11,-4.9%,9,-5.2%,6,2.5%,6,2.2%
OAK,6-2,12,4.1%,12,3.7%,4,15.3%,4,14.7%,27,11.9%,26,11.7%,11,0.7%,11,0.7%
PIT,4-3,13,2.5%,15,1.8%,7,11.3%,7,11.0%,25,9.9%,25,10.5%,9,1.1%,9,1.2%
CHI,2-6,14,2.1%,13,3.5%,13,2.1%,12,3.2%,15,0.0%,15,-0.4%,15,0.0%,16,-0.1%
NYG,4-3,15,1.7%,16,1.4%,19,-3.5%,20,-3.8%,10,-5.2%,11,-4.5%,12,0.0%,12,0.7%
SD,3-5,16,1.0%,17,0.8%,16,-1.7%,17,-3.3%,7,-7.8%,7,-8.9%,27,-5.2%,26,-4.9%
WAS,4-3-1,17,0.9%,14,2.2%,10,5.1%,10,6.3%,21,4.3%,22,3.8%,13,0.0%,18,-0.3%
MIA,3-4,18,-1.0%,18,0.7%,17,-1.8%,15,-0.5%,14,-1.3%,14,-1.3%,20,-0.5%,17,-0.2%
CIN,3-4-1,19,-2.3%,19,-2.0%,6,12.6%,5,12.8%,24,8.3%,24,8.4%,30,-6.6%,30,-6.4%
NO,3-4,20,-3.1%,20,-2.6%,5,12.6%,6,12.5%,29,13.5%,29,13.3%,22,-2.2%,22,-1.7%
CAR,2-5,21,-3.3%,21,-3.9%,14,1.4%,14,1.1%,16,0.0%,16,0.9%,25,-4.6%,25,-4.2%
TEN,4-4,22,-5.1%,22,-4.9%,9,8.1%,9,8.9%,23,6.0%,23,6.6%,31,-7.2%,31,-7.2%
BAL,3-4,23,-6.4%,23,-7.7%,30,-20.4%,31,-20.4%,6,-14.1%,6,-13.0%,19,-0.1%,19,-0.4%
DET,4-4,24,-8.4%,24,-9.1%,11,5.1%,11,3.6%,30,17.1%,30,16.2%,4,3.6%,4,3.6%
LAR,3-4,25,-13.0%,25,-10.6%,31,-21.2%,30,-19.1%,13,-3.8%,13,-4.1%,2,4.5%,2,4.4%
TB,3-4,26,-13.4%,26,-15.7%,23,-6.2%,23,-7.3%,17,2.2%,19,3.1%,26,-5.1%,27,-5.4%
JAX,2-5,27,-16.2%,27,-16.2%,28,-12.9%,28,-12.9%,19,3.2%,18,2.8%,16,-0.1%,20,-0.6%
IND,3-5,28,-17.3%,28,-17.2%,15,-0.9%,16,-1.7%,31,20.0%,31,19.1%,5,3.5%,3,3.6%
HOU,5-3,29,-23.9%,29,-24.8%,32,-22.3%,32,-22.3%,9,-5.9%,10,-4.9%,32,-7.5%,32,-7.5%
SF,1-6,30,-26.1%,30,-28.3%,27,-11.9%,27,-12.0%,26,10.3%,28,12.6%,24,-3.9%,24,-3.8%
NYJ,3-5,31,-33.0%,31,-33.5%,29,-15.5%,29,-15.6%,28,12.2%,27,12.5%,28,-5.3%,27,-5.4%
CLE,0-8,32,-34.1%,32,-33.8%,26,-8.8%,25,-8.4%,32,21.6%,32,22.1%,23,-3.8%,23,-3.3%
