Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
JAX,3-2,1,-24.6%,1,-24.6%,1,-46.5%,31,5.0%
BUF,3-2,2,-19.1%,2,-19.1%,4,-17.2%,10,-22.1%
CIN,2-3,3,-16.8%,3,-16.8%,5,-11.8%,9,-24.0%
WAS,2-2,4,-16.6%,4,-16.6%,6,-11.7%,8,-25.0%
PIT,3-2,5,-15.1%,5,-15.1%,2,-21.3%,21,-8.2%
BAL,3-2,6,-14.1%,6,-14.1%,3,-20.0%,22,-7.6%
DET,3-2,7,-14.0%,7,-14.0%,7,-9.3%,11,-21.5%
HOU,3-2,8,-13.5%,8,-13.5%,10,-1.5%,5,-28.0%
DEN,3-1,9,-13.2%,9,-13.2%,14,9.3%,1,-54.9%
LAR,3-2,10,-9.0%,10,-9.0%,9,-8.3%,18,-9.7%
SEA,3-2,11,-7.9%,11,-7.9%,8,-8.4%,23,-7.2%
CAR,4-1,12,-4.6%,12,-4.6%,11,1.9%,13,-17.4%
ARI,2-3,13,-3.2%,13,-3.2%,19,14.7%,6,-26.8%
MIN,3-2,14,-0.4%,14,-0.4%,18,12.7%,12,-20.7%
KC,5-0,15,2.2%,15,2.2%,16,12.2%,14,-11.8%
PHI,4-1,16,3.7%,16,3.7%,20,15.6%,7,-25.1%
GB,4-1,17,3.9%,17,3.9%,21,16.3%,19,-9.5%
LAC,1-4,18,4.1%,18,4.1%,13,8.4%,28,-0.2%
NO,2-2,19,4.6%,19,4.6%,12,8.0%,29,0.0%
CHI,1-4,20,4.6%,20,4.6%,23,17.5%,15,-11.0%
ATL,3-1,21,5.4%,21,5.4%,15,10.3%,26,-3.8%
MIA,2-2,22,6.0%,22,6.0%,29,38.1%,2,-38.5%
TB,2-2,23,7.3%,23,7.3%,27,30.6%,3,-32.2%
NYJ,3-2,24,7.6%,24,7.6%,22,17.2%,25,-3.9%
SF,0-5,25,9.1%,25,9.1%,25,25.0%,16,-10.7%
DAL,2-3,26,9.8%,26,9.8%,17,12.4%,32,5.2%
TEN,2-3,27,10.7%,27,10.7%,26,26.1%,20,-8.9%
NYG,0-5,28,11.3%,28,11.3%,24,20.7%,27,-0.6%
CLE,0-5,29,14.8%,29,14.8%,31,45.1%,4,-30.5%
IND,2-3,30,16.4%,30,16.4%,28,33.4%,17,-10.0%
OAK,2-3,31,16.7%,31,16.7%,30,38.4%,24,-6.2%
NE,3-2,32,28.2%,32,28.2%,32,45.4%,30,1.6%
