Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,1-0,1,-95.4%,1,-95.4%,1,-139.7%,6,-36.4%
LAR,1-0,2,-66.7%,2,-66.7%,2,-94.5%,5,-39.3%
CAR,1-0,3,-43.1%,3,-43.1%,5,-42.8%,2,-44.1%
BUF,1-0,4,-42.5%,4,-42.5%,4,-51.7%,18,-17.6%
JAX,1-0,5,-40.2%,5,-40.2%,3,-54.1%,21,-12.2%
DET,1-0,6,-34.8%,6,-34.8%,6,-32.7%,4,-39.7%
DAL,1-0,7,-21.2%,7,-21.2%,7,-20.1%,13,-24.7%
GB,1-0,8,-20.9%,8,-20.9%,9,-14.3%,9,-33.9%
PHI,1-0,9,-17.9%,9,-17.9%,8,-17.5%,16,-19.0%
PIT,1-0,10,-15.5%,10,-15.5%,11,-9.5%,12,-25.1%
LAC,0-1,11,-6.3%,11,-6.3%,15,6.8%,15,-20.5%
CIN,0-1,12,-2.1%,12,-2.1%,10,-11.6%,26,1.7%
TB,0-0,13,0.0%,13,0.0%,13,0.0%,24,0.0%
MIA,0-0,13,0.0%,13,0.0%,13,0.0%,24,0.0%
HOU,0-1,15,4.3%,15,4.3%,20,32.6%,20,-14.8%
DEN,1-0,16,4.6%,16,4.6%,25,41.1%,1,-46.0%
ARI,0-1,17,7.7%,17,7.7%,21,34.7%,7,-35.4%
KC,1-0,18,8.0%,18,8.0%,16,8.9%,27,7.3%
ATL,1-0,19,8.7%,19,8.7%,12,-7.6%,31,39.8%
WAS,0-1,20,9.4%,20,9.4%,19,32.4%,8,-34.4%
MIN,1-0,21,14.3%,21,14.3%,22,38.7%,11,-28.2%
SF,0-1,22,14.7%,22,14.7%,28,57.2%,19,-15.3%
SEA,0-1,23,17.8%,23,17.8%,17,29.5%,22,-4.8%
TEN,0-1,24,22.1%,24,22.1%,23,39.5%,23,-0.1%
NYG,0-1,25,22.4%,25,22.4%,18,31.8%,29,8.3%
CLE,0-1,26,25.5%,26,25.5%,27,49.2%,3,-41.2%
NYJ,0-1,27,26.4%,27,26.4%,26,48.3%,28,7.3%
IND,0-1,28,29.2%,28,29.2%,32,97.6%,10,-31.4%
CHI,0-1,29,30.1%,29,30.1%,29,65.2%,17,-17.9%
OAK,1-0,30,31.8%,30,31.8%,24,40.5%,30,16.3%
NO,0-1,31,39.3%,31,39.3%,31,90.9%,14,-24.1%
NE,0-1,32,69.1%,32,69.1%,30,79.4%,32,50.6%
