Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,6-5,1,-24.4%,1,-25.7%,2,-26.6%,6,-22.0%
JAX,7-4,2,-22.3%,2,-22.0%,1,-33.9%,24,-6.1%
PHI,10-1,3,-16.5%,3,-20.5%,5,-8.4%,1,-33.6%
PIT,9-2,4,-12.6%,6,-12.4%,8,-6.7%,9,-20.6%
MIN,9-2,5,-12.5%,4,-13.4%,6,-7.0%,7,-21.4%
LAR,8-3,6,-12.4%,5,-12.9%,3,-13.4%,18,-11.2%
NO,8-3,7,-9.8%,7,-11.4%,4,-10.5%,21,-8.8%
ARI,5-6,8,-9.4%,8,-10.6%,9,-1.8%,10,-20.4%
CAR,8-3,9,-6.3%,10,-5.4%,11,1.4%,11,-19.3%
SEA,7-4,10,-5.5%,11,-5.2%,14,5.3%,8,-20.8%
HOU,4-7,11,-5.3%,12,-2.9%,15,6.6%,5,-22.9%
DEN,3-8,12,-4.2%,13,-2.6%,20,17.8%,2,-30.7%
LAC,5-6,13,-3.8%,9,-6.8%,7,-6.7%,32,0.0%
WAS,5-6,14,-2.9%,15,-0.6%,13,4.4%,16,-12.6%
DET,6-5,15,-2.7%,18,0.7%,10,1.3%,22,-7.9%
CHI,3-8,16,-0.8%,14,-1.2%,16,9.3%,13,-13.4%
GB,5-6,17,0.2%,16,-0.1%,22,20.3%,4,-23.5%
BUF,6-5,18,1.2%,20,5.0%,12,4.2%,28,-3.0%
CIN,5-6,19,1.6%,19,3.8%,17,13.6%,14,-13.3%
CLE,0-11,20,2.2%,17,0.0%,29,28.5%,3,-30.6%
NYJ,4-7,21,7.0%,21,5.9%,24,21.7%,17,-11.4%
ATL,7-4,22,7.4%,23,6.8%,18,15.0%,26,-4.0%
IND,3-8,23,8.9%,22,6.5%,27,26.7%,12,-14.4%
KC,6-5,24,8.9%,27,11.6%,21,19.5%,25,-4.4%
DAL,5-6,25,8.9%,24,8.4%,19,15.4%,31,-1.5%
NYG,2-9,26,10.1%,26,9.9%,23,20.9%,27,-3.3%
TEN,7-4,27,10.2%,25,9.7%,25,23.1%,19,-10.5%
TB,4-7,28,13.3%,29,13.8%,30,32.8%,15,-12.9%
SF,1-10,29,14.0%,30,15.0%,28,28.0%,30,-2.1%
NE,9-2,30,14.9%,28,11.7%,26,25.7%,29,-2.2%
MIA,4-7,31,16.5%,31,18.5%,31,38.4%,20,-9.5%
OAK,5-6,32,21.3%,32,21.0%,32,44.0%,23,-7.3%
