Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,5-5,1,-24.1%,1,-25.4%,2,-25.5%,6,-22.5%
JAX,7-3,2,-22.9%,2,-24.0%,1,-35.2%,25,-6.1%
PIT,8-2,3,-15.3%,4,-15.6%,5,-11.1%,8,-21.3%
PHI,9-1,4,-14.8%,3,-17.7%,6,-7.9%,3,-29.6%
LAR,7-3,5,-13.7%,5,-15.3%,3,-15.6%,19,-11.3%
MIN,8-2,6,-13.0%,7,-14.1%,8,-6.8%,5,-22.7%
NO,8-2,7,-12.8%,6,-14.5%,4,-15.4%,21,-9.1%
CAR,7-3,8,-10.1%,8,-10.1%,9,-4.2%,10,-19.9%
HOU,4-6,9,-6.5%,14,-4.1%,13,6.3%,4,-25.6%
DEN,3-7,10,-5.2%,13,-4.2%,20,16.1%,2,-32.9%
ARI,4-6,11,-5.0%,12,-4.9%,11,4.9%,11,-19.2%
SEA,6-4,12,-5.0%,10,-6.1%,12,6.0%,9,-20.5%
LAC,4-6,13,-4.6%,9,-7.0%,7,-7.4%,29,-1.0%
DET,6-4,14,-3.9%,17,-0.8%,10,-2.2%,24,-6.2%
CLE,0-10,15,-1.8%,11,-5.2%,26,25.7%,1,-36.0%
CIN,4-6,16,-1.4%,18,-0.5%,17,10.8%,12,-16.6%
CHI,3-7,17,-1.2%,15,-2.3%,14,7.6%,17,-11.8%
GB,5-5,18,-0.2%,16,-0.9%,22,19.9%,7,-22.2%
WAS,4-6,19,1.5%,21,4.8%,18,12.1%,16,-12.8%
ATL,6-4,20,4.7%,19,4.2%,19,12.8%,22,-7.1%
DAL,5-5,21,5.7%,20,4.7%,15,7.7%,32,2.4%
BUF,5-5,22,6.5%,26,10.6%,16,10.2%,31,1.4%
NYJ,4-6,23,7.0%,22,6.4%,23,22.6%,14,-13.3%
TB,4-6,24,9.4%,23,9.3%,28,28.6%,13,-16.6%
KC,6-4,25,10.0%,28,13.6%,21,18.8%,28,-1.6%
TEN,6-4,26,10.4%,25,9.5%,24,24.1%,18,-11.6%
IND,3-7,27,10.8%,24,9.4%,29,28.7%,15,-13.2%
NYG,2-8,28,13.1%,27,13.3%,25,25.2%,26,-2.1%
SF,1-9,29,14.3%,29,15.1%,27,28.5%,27,-1.7%
NE,8-2,30,19.2%,30,17.7%,30,31.5%,30,-0.1%
MIA,4-6,31,19.6%,31,20.5%,31,43.7%,20,-10.6%
OAK,4-6,32,24.2%,32,24.8%,32,50.2%,23,-6.3%
