Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,7-5,1,-23.1%,1,-23.2%,2,-25.1%,5,-20.9%
JAX,8-4,2,-22.2%,2,-21.2%,1,-33.5%,24,-6.1%
PHI,10-2,3,-13.3%,3,-16.4%,8,-4.5%,1,-31.6%
LAR,9-3,4,-12.1%,6,-11.9%,3,-15.8%,22,-7.2%
MIN,10-2,5,-12.1%,5,-12.1%,5,-7.2%,8,-19.9%
ARI,5-7,6,-11.7%,4,-13.6%,6,-5.5%,6,-20.6%
PIT,10-2,7,-9.7%,8,-8.5%,7,-5.4%,12,-15.7%
NO,9-3,8,-8.5%,7,-9.0%,4,-7.8%,18,-9.4%
CAR,8-4,9,-7.7%,9,-6.0%,10,-1.6%,10,-17.9%
SEA,8-4,10,-4.8%,11,-4.3%,14,6.9%,4,-21.6%
HOU,4-8,11,-4.5%,14,-1.1%,13,6.4%,7,-20.3%
DEN,3-9,12,-3.6%,12,-1.5%,20,15.4%,3,-26.3%
WAS,5-7,13,-3.0%,15,-0.9%,12,3.4%,17,-11.0%
LAC,6-6,14,-2.1%,10,-4.8%,9,-2.4%,31,-1.8%
CHI,3-9,15,-0.1%,16,0.8%,17,11.5%,13,-14.2%
CLE,0-12,16,0.4%,13,-1.3%,25,24.4%,2,-30.3%
BUF,6-6,17,0.5%,20,4.8%,11,2.4%,30,-2.0%
GB,6-6,18,0.8%,17,1.4%,21,18.2%,9,-19.7%
DET,6-6,19,1.5%,22,7.1%,15,7.1%,25,-5.7%
CIN,5-7,20,2.3%,19,4.6%,18,14.5%,14,-13.1%
DAL,6-6,21,4.6%,18,2.6%,16,10.2%,27,-4.7%
ATL,7-5,22,6.2%,21,5.0%,19,14.9%,23,-6.1%
TEN,8-4,23,8.2%,24,7.8%,23,21.1%,15,-13.0%
IND,3-9,24,9.7%,23,7.7%,31,29.5%,11,-16.3%
NYG,2-10,25,10.3%,27,10.4%,24,21.4%,29,-3.3%
NYJ,5-7,26,10.4%,26,9.7%,28,27.2%,16,-11.7%
MIA,5-7,27,11.0%,29,12.6%,29,27.5%,19,-9.3%
KC,6-6,28,11.4%,31,14.5%,26,25.2%,26,-5.1%
NE,10-2,29,12.0%,25,8.3%,22,18.7%,32,1.6%
TB,4-8,30,12.5%,28,12.6%,30,28.9%,20,-9.1%
SF,2-10,31,12.7%,30,14.0%,27,27.2%,28,-3.9%
OAK,6-6,32,18.9%,32,18.6%,32,40.4%,21,-8.7%
