Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
MIN,13-3,1,-17.2%,1,-21.9%,2,-15.8%,5,-19.4%
JAX,10-6,2,-16.0%,4,-13.6%,1,-23.9%,25,-5.5%
ARI,8-8,3,-15.4%,2,-19.4%,6,-8.6%,2,-25.5%
BAL,9-7,4,-13.4%,6,-9.0%,3,-11.4%,9,-16.1%
PHI,13-3,5,-12.2%,3,-15.6%,8,-3.8%,1,-27.7%
NO,11-5,6,-11.4%,5,-13.2%,5,-10.8%,14,-12.2%
LAR,11-5,7,-9.5%,7,-7.8%,4,-11.3%,23,-7.0%
CAR,11-5,8,-8.0%,9,-5.6%,11,-1.8%,6,-19.3%
PIT,13-3,9,-5.4%,15,-0.4%,9,-3.6%,21,-7.8%
LAC,9-7,10,-3.9%,8,-7.4%,10,-3.1%,27,-5.0%
DEN,5-11,11,-3.8%,11,-2.0%,17,12.1%,4,-24.0%
WAS,7-9,12,-3.5%,13,-1.2%,7,-5.5%,31,-1.2%
SEA,9-7,13,-2.1%,12,-1.6%,14,5.0%,16,-11.2%
CHI,5-11,14,-0.4%,16,0.4%,15,6.5%,18,-9.5%
DET,9-7,15,0.1%,21,5.1%,13,4.8%,24,-6.2%
DAL,9-7,16,1.9%,10,-3.0%,16,8.4%,20,-8.4%
ATL,10-6,17,2.3%,14,-1.1%,19,13.7%,11,-14.3%
BUF,9-7,18,2.5%,25,6.7%,12,3.9%,32,0.7%
HOU,4-12,19,3.4%,30,11.0%,20,15.9%,13,-12.9%
CLE,0-16,20,3.4%,18,2.5%,28,25.8%,3,-25.2%
CIN,7-9,21,5.0%,28,8.4%,18,13.4%,26,-5.2%
NYJ,5-11,22,5.6%,17,1.7%,24,21.5%,12,-14.0%
TEN,9-7,23,5.7%,19,3.4%,22,19.7%,7,-16.7%
GB,7-9,24,5.8%,26,7.7%,27,25.1%,8,-16.5%
NYG,3-13,25,7.6%,20,4.8%,21,16.5%,28,-3.8%
SF,6-10,26,9.2%,24,6.4%,26,23.1%,22,-7.7%
IND,4-12,27,9.3%,27,7.9%,32,30.8%,10,-15.0%
MIA,6-10,28,10.7%,29,8.6%,29,27.7%,15,-11.4%
KC,10-6,29,10.8%,32,14.2%,25,22.3%,29,-3.7%
OAK,6-10,30,12.0%,22,5.3%,31,29.3%,17,-9.8%
NE,13-3,31,12.0%,23,5.9%,23,20.6%,30,-1.6%
TB,5-11,32,12.0%,31,11.9%,30,28.4%,19,-8.7%
