Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
JAX,10-4,1,-20.0%,1,-18.5%,1,-31.1%,27,-4.5%
BAL,8-6,2,-19.0%,3,-17.7%,2,-20.0%,7,-17.7%
MIN,11-3,3,-15.2%,4,-16.5%,4,-13.8%,8,-17.4%
ARI,6-8,4,-14.4%,2,-18.0%,6,-8.2%,4,-23.5%
LAR,10-4,5,-13.9%,5,-13.7%,3,-18.0%,20,-8.2%
NO,10-4,6,-12.0%,6,-12.9%,5,-13.2%,16,-10.3%
PHI,12-2,7,-9.6%,7,-11.2%,9,-1.8%,3,-25.6%
CAR,10-4,8,-8.5%,9,-6.3%,8,-4.6%,9,-15.6%
DEN,5-9,9,-6.7%,10,-5.1%,16,9.2%,2,-26.5%
LAC,7-7,10,-4.3%,8,-6.7%,7,-5.6%,31,-2.6%
WAS,6-8,11,-3.9%,11,-1.7%,10,-1.5%,25,-6.9%
PIT,11-3,12,-3.6%,14,1.0%,11,-0.9%,23,-7.3%
SEA,8-6,13,-1.9%,12,-1.4%,15,8.1%,12,-14.7%
CHI,4-10,14,-1.5%,13,0.2%,14,7.3%,14,-13.0%
BUF,8-6,15,-1.0%,16,2.3%,12,1.5%,30,-4.1%
DET,8-6,16,0.8%,20,6.7%,13,6.3%,26,-6.4%
HOU,4-10,17,1.7%,22,7.3%,19,16.0%,6,-17.7%
DAL,8-6,18,3.2%,15,1.9%,17,9.8%,22,-7.6%
CLE,0-14,19,3.8%,17,3.8%,28,28.2%,1,-28.3%
GB,7-7,20,5.1%,21,6.9%,27,25.1%,5,-18.2%
CIN,5-9,21,5.2%,24,8.5%,20,16.1%,21,-7.7%
ATL,9-5,22,5.3%,18,3.9%,18,15.5%,17,-10.1%
NYJ,5-9,23,6.6%,19,4.8%,24,23.7%,10,-15.3%
KC,8-6,24,7.6%,27,9.3%,21,17.0%,29,-4.2%
TEN,8-6,25,9.0%,25,8.9%,23,23.4%,13,-14.3%
MIA,6-8,26,9.4%,26,9.2%,26,24.9%,15,-11.0%
IND,3-11,27,9.8%,23,8.1%,31,31.6%,11,-14.9%
NYG,2-12,28,11.4%,30,11.5%,25,24.1%,28,-4.3%
SF,4-10,29,11.4%,29,11.0%,29,28.6%,19,-8.6%
TB,4-10,30,12.4%,32,12.0%,30,29.7%,18,-9.8%
NE,11-3,31,13.6%,28,9.8%,22,21.8%,32,1.1%
OAK,6-8,32,14.9%,31,11.6%,32,32.6%,24,-7.1%
