Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
JAX,9-4,1,-19.5%,2,-18.3%,1,-30.4%,29,-4.1%
BAL,7-6,2,-19.3%,1,-19.0%,2,-19.2%,7,-19.4%
ARI,6-7,3,-14.9%,3,-18.1%,5,-9.8%,4,-22.3%
PHI,11-2,4,-12.1%,4,-15.7%,8,-5.3%,3,-26.0%
NO,9-4,5,-11.5%,5,-12.3%,4,-11.7%,14,-11.2%
MIN,10-3,6,-11.4%,7,-10.4%,6,-9.0%,11,-14.9%
LAR,9-4,7,-11.1%,6,-10.7%,3,-13.4%,20,-8.0%
CAR,9-4,8,-9.7%,8,-8.5%,9,-5.1%,9,-17.6%
DEN,4-9,9,-7.5%,10,-6.5%,15,9.0%,2,-27.3%
LAC,7-6,10,-5.1%,9,-8.3%,7,-5.9%,30,-4.0%
PIT,11-2,11,-4.7%,11,-0.8%,10,-1.0%,17,-9.8%
HOU,4-9,12,-2.4%,17,1.6%,16,10.3%,5,-20.6%
WAS,5-8,13,-2.2%,13,0.5%,11,2.5%,22,-7.9%
CHI,4-9,14,-1.3%,12,0.0%,14,8.1%,13,-13.2%
SEA,8-5,15,-1.0%,14,0.6%,18,11.3%,8,-18.0%
BUF,7-6,16,-0.1%,20,3.1%,12,3.7%,27,-5.0%
GB,7-6,17,1.2%,18,1.7%,22,18.9%,6,-19.6%
DET,7-6,18,1.9%,23,7.1%,13,7.4%,26,-5.1%
CLE,0-13,19,2.0%,15,1.4%,28,26.4%,1,-30.4%
ATL,8-5,20,3.5%,16,1.4%,19,12.3%,18,-9.6%
DAL,7-6,21,4.5%,19,2.4%,17,10.8%,24,-5.7%
CIN,5-8,22,6.1%,25,9.1%,20,17.6%,21,-8.0%
TEN,8-5,23,6.7%,22,6.4%,21,17.6%,15,-11.0%
IND,3-10,24,7.8%,21,5.4%,30,28.5%,10,-16.7%
MIA,6-7,25,8.9%,26,9.2%,25,23.8%,16,-10.9%
NYJ,5-8,26,9.3%,24,8.3%,29,27.9%,12,-14.8%
KC,7-6,27,10.3%,30,12.6%,23,21.8%,28,-4.2%
SF,3-10,28,10.6%,27,10.2%,27,25.0%,23,-6.5%
NYG,2-11,29,11.6%,29,12.4%,26,24.1%,31,-3.7%
TB,4-9,30,13.4%,31,12.8%,31,30.3%,19,-9.3%
NE,10-3,31,14.1%,28,11.3%,24,22.3%,32,1.3%
OAK,6-7,32,18.1%,32,16.7%,32,36.4%,25,-5.4%
