Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
JAX,5-3,1,-23.2%,1,-23.8%,1,-42.6%,32,3.0%
BAL,4-5,2,-17.1%,3,-14.6%,2,-18.1%,13,-16.1%
LAR,6-2,3,-14.3%,4,-14.4%,3,-16.6%,20,-11.4%
PIT,6-2,4,-13.2%,6,-13.4%,5,-11.0%,12,-16.3%
NO,6-2,5,-12.6%,2,-16.5%,4,-16.5%,23,-6.9%
MIN,6-2,6,-12.4%,5,-14.2%,8,-4.9%,5,-23.8%
CAR,6-3,7,-11.4%,8,-10.4%,7,-6.1%,7,-20.0%
DEN,3-5,8,-11.1%,7,-10.7%,18,8.5%,1,-37.2%
DET,4-4,9,-10.3%,11,-8.8%,6,-6.8%,15,-15.2%
HOU,3-5,10,-9.8%,10,-9.3%,11,2.0%,4,-26.1%
SEA,5-3,11,-8.4%,9,-9.4%,9,-4.4%,17,-14.0%
PHI,8-1,12,-6.8%,13,-6.9%,12,2.3%,3,-27.7%
WAS,4-4,13,-5.6%,14,-4.1%,14,2.8%,10,-17.3%
CHI,3-5,14,-5.5%,12,-7.4%,10,0.8%,18,-13.4%
CIN,3-5,15,-4.1%,15,-3.7%,19,9.4%,6,-20.4%
BUF,5-3,16,-3.3%,18,-1.2%,15,4.2%,16,-15.0%
ARI,4-4,17,-2.4%,16,-2.0%,16,6.9%,11,-16.5%
LAC,3-5,18,-0.5%,17,-1.7%,13,2.3%,25,-3.8%
CLE,0-8,19,1.8%,19,0.2%,28,31.9%,2,-36.9%
GB,4-4,20,2.7%,20,3.0%,23,22.6%,9,-18.0%
DAL,5-3,21,4.8%,21,4.2%,17,7.5%,31,-0.1%
TEN,5-3,22,5.6%,23,5.5%,20,19.8%,14,-15.4%
NYJ,4-5,23,6.7%,22,5.2%,22,21.6%,19,-12.6%
KC,6-3,24,11.2%,28,13.6%,21,20.5%,30,-1.3%
MIA,4-4,25,11.7%,24,10.5%,29,37.0%,8,-19.9%
ATL,4-4,26,12.0%,25,11.8%,24,22.9%,29,-2.2%
IND,3-6,27,12.4%,26,12.4%,26,28.5%,22,-10.0%
SF,0-9,28,12.6%,27,12.9%,25,27.2%,27,-3.2%
NYG,1-7,29,13.9%,29,14.4%,27,28.8%,24,-5.1%
TB,2-6,30,16.5%,30,17.1%,30,38.2%,21,-11.1%
NE,6-2,31,22.5%,31,21.3%,31,38.8%,28,-3.1%
OAK,4-5,32,25.3%,32,25.4%,32,50.7%,26,-3.2%
