Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,2-0,1,-70.7%,1,-70.7%,1,-92.8%,8,-30.8%
CAR,2-0,2,-45.2%,2,-45.2%,4,-35.1%,2,-68.2%
DET,2-0,3,-33.4%,3,-33.4%,5,-30.6%,5,-39.0%
BUF,1-1,4,-30.3%,4,-30.3%,6,-23.0%,4,-43.2%
TB,1-0,5,-22.0%,5,-22.0%,10,-0.1%,1,-73.1%
LAR,1-1,6,-19.1%,6,-19.1%,2,-36.7%,21,-4.1%
PIT,2-0,7,-18.7%,7,-18.7%,7,-20.2%,15,-16.2%
ARI,1-1,8,-16.7%,8,-16.7%,9,-3.2%,6,-36.5%
DEN,2-0,9,-11.2%,9,-11.2%,15,9.7%,3,-56.5%
HOU,1-1,10,-8.9%,10,-8.9%,12,3.6%,13,-21.5%
JAX,1-1,11,-8.7%,11,-8.7%,3,-36.2%,32,27.8%
SEA,1-1,12,-7.5%,12,-7.5%,8,-15.4%,26,5.9%
WAS,1-1,13,-5.2%,13,-5.2%,16,10.0%,9,-29.3%
CIN,0-2,14,-5.2%,14,-5.2%,20,11.3%,16,-15.0%
LAC,0-2,15,-3.9%,15,-3.9%,21,16.3%,10,-25.1%
PHI,1-1,16,3.1%,16,3.1%,11,2.5%,25,4.4%
KC,2-0,17,4.5%,17,4.5%,14,9.0%,22,-2.3%
TEN,1-1,18,5.7%,18,5.7%,17,10.1%,23,0.0%
IND,0-2,19,6.0%,19,6.0%,25,39.7%,7,-33.4%
SF,0-2,20,6.3%,20,6.3%,23,25.9%,19,-13.8%
DAL,1-1,21,6.5%,21,6.5%,13,6.4%,27,6.8%
GB,1-1,22,7.3%,22,7.3%,18,10.2%,24,3.1%
NYG,0-2,23,13.2%,23,13.2%,24,28.1%,20,-5.4%
ATL,2-0,24,13.9%,24,13.9%,19,10.3%,30,22.5%
CHI,0-2,25,14.0%,25,14.0%,26,41.1%,17,-14.5%
CLE,0-2,26,17.0%,26,17.0%,27,41.9%,11,-23.8%
OAK,2-0,27,18.3%,27,18.3%,22,24.4%,28,8.8%
MIN,1-1,28,19.2%,28,19.2%,28,46.4%,14,-18.1%
NYJ,0-2,29,38.1%,29,38.1%,30,65.2%,29,12.3%
NO,0-2,30,40.5%,30,40.5%,32,83.5%,18,-14.3%
MIA,1-0,31,44.7%,31,44.7%,31,71.1%,12,-23.1%
NE,1-1,32,45.4%,32,45.4%,29,56.6%,31,23.2%
