Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
JAX,4-3,1,-22.9%,1,-21.8%,1,-44.7%,32,7.2%
DEN,3-4,2,-17.8%,2,-18.7%,16,4.4%,1,-50.4%
BAL,4-4,3,-17.4%,3,-15.7%,2,-19.2%,14,-15.5%
LAR,5-2,4,-14.5%,4,-14.0%,3,-17.6%,19,-10.6%
DET,3-4,5,-13.5%,7,-12.8%,7,-8.9%,8,-19.7%
PIT,6-2,6,-12.6%,6,-12.8%,5,-9.6%,12,-16.9%
HOU,3-4,7,-12.5%,5,-13.0%,9,-2.9%,3,-26.4%
CAR,5-3,8,-12.0%,9,-11.5%,6,-9.2%,13,-16.6%
MIN,6-2,9,-11.6%,8,-12.5%,8,-3.9%,4,-23.5%
BUF,5-2,10,-8.0%,11,-7.0%,11,0.1%,6,-22.3%
NO,5-2,11,-7.5%,10,-9.5%,4,-10.8%,26,-2.9%
CIN,3-4,12,-5.6%,14,-5.4%,15,4.3%,10,-17.8%
SEA,5-2,13,-5.3%,12,-6.7%,10,-1.5%,18,-10.8%
WAS,3-4,14,-4.6%,15,-3.7%,17,5.5%,9,-17.9%
CHI,3-5,15,-4.6%,13,-5.5%,12,1.5%,16,-12.3%
PHI,7-1,16,-4.1%,16,-3.6%,14,3.8%,5,-23.4%
LAC,3-5,17,0.0%,17,-0.2%,13,3.2%,24,-3.6%
ARI,3-4,18,0.5%,18,0.3%,20,13.0%,11,-17.1%
GB,4-3,19,1.6%,20,2.0%,19,12.5%,20,-10.3%
CLE,0-8,20,2.5%,19,1.9%,27,32.5%,2,-36.1%
DAL,4-3,21,6.1%,21,6.6%,18,7.3%,31,3.8%
TEN,4-3,22,7.0%,22,6.6%,22,19.9%,17,-11.2%
MIA,4-3,23,9.4%,23,8.9%,28,33.2%,7,-20.7%
NYG,1-6,24,9.7%,24,9.8%,23,20.0%,23,-5.1%
KC,6-2,25,10.0%,26,11.6%,21,16.6%,30,0.8%
NYJ,3-5,26,10.6%,25,9.9%,25,27.4%,21,-10.2%
ATL,4-3,27,13.2%,27,13.2%,24,24.0%,28,-2.5%
SF,0-8,28,14.9%,28,14.7%,26,29.1%,29,-1.5%
TB,2-5,29,15.8%,29,15.8%,29,37.6%,15,-12.7%
IND,2-6,30,17.8%,30,18.0%,31,38.8%,22,-10.0%
OAK,3-5,31,20.0%,31,19.5%,32,42.1%,25,-3.2%
NE,6-2,32,22.1%,32,21.3%,30,37.9%,27,-2.7%
