Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,5-2,1,-27.6%,2,-26.6%,3,-20.9%,1,-37.3%
CHI,7-0,2,-27.3%,1,-27.7%,1,-30.6%,5,-22.8%
PIT,2-5,3,-20.8%,3,-21.4%,4,-16.3%,3,-26.4%
JAX,4-3,4,-17.1%,4,-16.5%,2,-21.5%,13,-12.2%
NYG,5-2,5,-12.5%,5,-13.2%,6,-9.3%,8,-17.2%
PHI,4-4,6,-12.0%,7,-12.3%,5,-9.9%,10,-14.3%
MIN,4-3,7,-11.6%,8,-11.7%,11,-2.0%,2,-28.5%
DAL,4-3,8,-11.5%,6,-12.5%,8,-4.9%,7,-20.3%
KC,4-3,9,-10.3%,9,-10.5%,9,-4.8%,9,-15.5%
ATL,5-2,10,-6.2%,11,-5.0%,7,-5.6%,17,-6.9%
OAK,2-5,11,-5.6%,10,-6.3%,10,-2.1%,16,-8.6%
DEN,5-2,12,-5.1%,13,-4.4%,15,1.3%,11,-13.8%
MIA,1-6,13,-4.0%,12,-4.8%,24,15.6%,4,-23.7%
TB,2-5,14,-3.1%,14,-3.5%,18,3.7%,14,-10.7%
CLE,2-5,15,-2.0%,16,-2.1%,13,-0.6%,20,-3.6%
NE,6-1,16,-1.9%,15,-3.2%,21,10.7%,6,-21.1%
SD,5-2,17,-1.6%,17,-0.9%,14,0.5%,19,-4.5%
ARI,1-7,18,0.8%,18,-0.3%,12,-0.9%,24,2.8%
NO,5-2,19,0.9%,20,2.8%,17,2.7%,22,-1.6%
CAR,4-4,20,2.8%,19,2.7%,23,15.5%,12,-12.6%
STL,4-3,21,3.3%,21,5.5%,16,2.0%,26,4.6%
SEA,4-3,22,5.5%,22,7.0%,22,13.2%,21,-3.2%
CIN,4-3,23,7.9%,23,9.7%,19,6.0%,27,10.3%
BUF,2-5,24,10.0%,24,11.0%,20,8.1%,29,12.3%
DET,1-6,25,10.5%,26,11.6%,29,27.2%,15,-10.2%
GB,3-4,26,10.8%,25,11.2%,27,17.4%,23,1.3%
IND,7-0,27,14.2%,27,13.4%,26,17.1%,28,11.6%
TEN,2-5,28,14.6%,28,14.2%,25,16.4%,30,12.9%
WAS,2-5,29,17.2%,29,17.6%,31,35.6%,18,-4.6%
NYJ,4-4,30,18.4%,30,19.3%,28,19.2%,32,17.5%
SF,2-5,31,23.2%,32,23.7%,30,29.4%,31,16.0%
HOU,2-5,32,23.8%,31,23.1%,32,43.0%,25,4.3%
