Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,12-3,1,-21.2%,2,-18.5%,3,-18.2%,2,-25.6%
CHI,13-2,2,-20.6%,1,-18.6%,1,-26.4%,7,-12.6%
JAX,8-7,3,-16.0%,6,-11.4%,2,-20.3%,8,-10.7%
MIN,6-9,4,-15.0%,3,-17.4%,8,-2.7%,1,-38.0%
MIA,6-9,5,-11.1%,5,-12.7%,11,-1.3%,3,-22.5%
PHI,9-6,6,-8.6%,9,-7.3%,6,-7.9%,10,-9.4%
CAR,7-8,7,-8.5%,4,-12.9%,13,-0.4%,4,-18.2%
NE,11-4,8,-8.1%,7,-10.2%,5,-8.8%,12,-7.0%
OAK,2-13,9,-7.9%,8,-9.3%,4,-15.5%,20,-1.6%
PIT,7-8,10,-7.4%,10,-3.4%,15,0.9%,5,-18.1%
DEN,9-6,11,-1.9%,16,1.2%,12,-0.7%,18,-3.3%
NYG,7-8,12,-1.6%,17,1.6%,19,4.1%,11,-9.2%
ATL,7-8,13,-1.4%,18,2.7%,16,1.4%,16,-4.5%
NO,10-5,14,-1.4%,12,-2.3%,14,0.1%,19,-3.3%
DAL,9-6,15,-1.0%,19,3.3%,23,9.3%,6,-13.3%
SD,13-2,16,-1.0%,15,0.9%,10,-1.8%,21,0.1%
GB,7-8,17,0.6%,11,-2.4%,9,-2.5%,27,4.2%
KC,8-7,18,0.6%,21,4.8%,21,5.5%,17,-4.4%
TEN,8-7,19,2.5%,13,-1.6%,18,3.5%,24,1.5%
BUF,7-8,20,2.6%,14,0.7%,7,-5.0%,30,11.3%
TB,4-11,21,3.7%,23,5.7%,28,16.3%,9,-10.3%
CLE,4-11,22,4.0%,26,7.3%,20,5.2%,26,2.8%
SEA,8-7,23,4.4%,24,5.8%,22,7.4%,23,1.2%
ARI,5-10,24,4.7%,20,3.9%,25,12.4%,14,-4.8%
CIN,8-7,25,7.6%,27,8.3%,29,16.5%,15,-4.6%
DET,2-13,26,7.7%,25,6.7%,26,12.7%,25,2.1%
IND,11-4,27,7.7%,22,5.1%,17,2.3%,31,12.0%
STL,7-8,28,10.8%,32,16.2%,27,13.7%,29,7.9%
SF,6-9,29,13.0%,29,12.7%,30,19.0%,28,6.5%
NYJ,9-6,30,13.1%,30,13.9%,24,11.8%,32,14.7%
HOU,5-10,31,13.4%,28,9.4%,31,24.5%,22,0.6%
WAS,5-10,32,14.3%,31,14.3%,32,32.9%,13,-5.4%
