Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,4-2,1,-26.1%,1,-25.2%,3,-20.5%,1,-33.1%
CHI,6-0,2,-24.4%,2,-24.7%,1,-24.4%,5,-24.4%
MIN,4-2,3,-15.5%,3,-15.7%,9,-9.0%,3,-26.0%
JAX,3-3,4,-15.2%,4,-14.5%,2,-21.8%,14,-8.7%
DAL,3-3,5,-13.4%,5,-13.5%,12,-3.6%,2,-26.0%
PIT,2-4,6,-13.1%,6,-13.4%,11,-4.9%,4,-24.5%
DEN,5-1,7,-12.9%,7,-13.0%,7,-10.3%,9,-16.3%
PHI,4-3,8,-12.2%,8,-12.2%,5,-11.7%,11,-12.9%
ATL,4-2,9,-10.9%,9,-10.5%,4,-13.8%,16,-6.9%
SD,4-2,10,-8.1%,12,-7.8%,6,-10.9%,19,-4.5%
KC,3-3,11,-8.1%,11,-8.1%,14,-3.2%,12,-12.5%
ARI,1-6,12,-7.6%,10,-8.3%,10,-8.4%,17,-6.6%
NYG,4-2,13,-5.7%,13,-5.9%,16,0.6%,10,-13.7%
MIA,1-6,14,-4.1%,14,-4.4%,24,14.6%,6,-22.8%
SEA,4-2,15,-2.1%,15,-1.6%,17,2.2%,15,-7.8%
NO,5-1,16,-1.1%,16,-0.7%,13,-3.5%,24,2.6%
STL,4-2,17,-0.3%,17,0.2%,15,-0.8%,23,0.2%
CAR,4-3,18,0.4%,18,0.4%,23,14.0%,7,-16.4%
CIN,4-2,19,1.0%,19,1.3%,8,-9.4%,30,14.1%
OAK,1-5,20,2.9%,20,2.7%,19,7.3%,22,-0.5%
TB,2-4,21,2.9%,21,2.9%,21,10.0%,18,-5.3%
NE,5-1,22,4.6%,22,4.3%,26,19.9%,8,-16.4%
CLE,1-5,23,6.0%,23,5.9%,20,7.9%,25,3.7%
IND,6-0,24,9.2%,24,8.6%,22,11.7%,26,6.8%
BUF,2-5,25,9.5%,25,9.9%,18,7.0%,28,12.5%
GB,2-4,26,11.0%,27,11.4%,25,18.4%,21,-0.5%
DET,1-6,27,11.0%,26,11.1%,29,27.1%,13,-9.0%
TEN,1-5,28,17.1%,28,16.9%,28,22.1%,29,12.9%
WAS,2-5,29,17.6%,29,17.7%,31,36.3%,20,-4.4%
NYJ,4-3,30,19.6%,30,20.1%,27,20.3%,32,19.0%
SF,2-4,31,22.8%,31,23.5%,30,28.9%,31,15.6%
HOU,2-4,32,26.0%,32,25.7%,32,41.1%,27,10.0%
