Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,10-2,1,-27.9%,1,-28.9%,1,-40.8%,11,-12.6%
BAL,9-3,2,-20.3%,2,-17.6%,3,-15.8%,2,-26.4%
JAX,7-5,3,-17.3%,3,-14.5%,2,-21.2%,10,-12.8%
MIN,5-7,4,-11.2%,5,-12.1%,14,1.8%,1,-34.4%
PIT,5-7,5,-10.7%,10,-7.6%,7,-3.8%,4,-19.1%
DAL,8-4,6,-10.0%,9,-9.3%,8,-2.3%,3,-19.2%
NE,9-3,7,-9.9%,4,-12.1%,6,-7.7%,9,-13.0%
OAK,2-10,8,-8.3%,6,-10.5%,4,-15.7%,21,-1.9%
PHI,6-6,9,-8.2%,11,-6.2%,5,-11.1%,16,-5.1%
MIA,5-7,10,-8.2%,8,-9.4%,11,-0.6%,5,-17.3%
CAR,6-6,11,-7.4%,7,-9.5%,10,-0.6%,6,-16.1%
DEN,7-5,12,-2.1%,14,0.6%,15,2.5%,13,-7.6%
NYG,6-6,13,-1.4%,13,0.0%,23,9.7%,7,-16.0%
CLE,4-8,14,-1.2%,12,-0.9%,12,-0.2%,20,-2.4%
ATL,6-6,15,-0.7%,17,2.9%,9,-0.7%,22,-0.6%
SD,10-2,16,1.7%,18,4.3%,17,6.4%,17,-4.6%
NO,8-4,17,1.8%,15,2.3%,20,8.4%,14,-6.6%
KC,7-5,18,2.2%,20,5.2%,28,14.9%,12,-11.6%
TEN,5-7,19,4.4%,16,2.5%,21,8.8%,24,-0.1%
SEA,8-4,20,4.5%,22,5.6%,16,6.3%,25,2.4%
ARI,3-9,21,4.5%,21,5.6%,24,10.1%,19,-2.5%
TB,3-9,22,4.6%,23,6.6%,29,22.5%,8,-15.2%
IND,10-2,23,6.4%,19,4.4%,18,7.4%,27,5.5%
BUF,5-7,24,8.6%,24,8.3%,13,0.9%,32,17.5%
GB,4-8,25,8.8%,25,8.3%,22,9.2%,28,8.3%
STL,5-7,26,9.3%,29,12.8%,19,7.9%,29,10.7%
CIN,7-5,27,10.1%,28,12.1%,26,14.3%,26,4.4%
DET,2-10,28,12.3%,30,13.0%,30,23.0%,23,-0.2%
SF,5-7,29,13.1%,27,11.6%,27,14.5%,30,11.6%
NYJ,7-5,30,13.3%,31,13.5%,25,10.3%,31,16.7%
HOU,4-8,31,13.5%,26,10.0%,31,27.9%,18,-3.0%
WAS,4-8,32,15.0%,32,16.1%,32,34.7%,15,-5.3%
