Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,13-3,1,-22.4%,1,-21.4%,3,-19.5%,2,-26.8%
CHI,13-3,2,-19.9%,2,-17.7%,1,-24.5%,6,-13.6%
JAX,8-8,3,-14.7%,8,-8.2%,2,-19.7%,11,-8.8%
MIN,6-10,4,-12.2%,4,-13.4%,11,-0.5%,1,-32.9%
CAR,8-8,5,-9.9%,3,-15.0%,7,-4.5%,5,-16.7%
MIA,6-10,6,-9.3%,6,-9.4%,12,1.6%,3,-22.0%
NE,12-4,7,-8.5%,5,-12.3%,6,-9.1%,12,-7.7%
PHI,10-6,8,-6.7%,10,-4.2%,8,-4.1%,9,-9.6%
PIT,8-8,9,-6.4%,11,-2.0%,13,2.3%,4,-17.9%
OAK,2-14,10,-6.4%,9,-7.4%,4,-13.1%,20,-0.8%
GB,8-8,11,-3.7%,7,-9.4%,5,-11.5%,28,5.5%
DEN,9-7,12,-2.6%,13,0.4%,10,-2.0%,17,-3.3%
ATL,7-9,13,-0.4%,17,4.1%,18,4.9%,13,-6.5%
NYG,8-8,14,-0.3%,16,2.9%,20,7.1%,8,-10.0%
DAL,9-7,15,0.6%,21,6.4%,25,11.8%,7,-13.1%
NO,10-6,16,0.7%,14,1.2%,17,4.4%,15,-4.0%
KC,9-7,17,2.1%,23,6.9%,21,8.1%,14,-4.3%
SD,14-2,18,2.2%,19,4.9%,14,2.8%,24,1.5%
BUF,7-9,19,2.6%,12,-0.4%,9,-4.0%,30,10.0%
CLE,4-12,20,4.2%,27,7.8%,16,4.4%,25,3.9%
TEN,8-8,21,4.6%,15,1.7%,19,4.9%,26,4.2%
ARI,5-11,22,5.1%,18,4.6%,27,12.7%,16,-3.9%
SEA,9-7,23,5.2%,26,7.6%,22,8.9%,22,1.1%
TB,4-12,24,5.4%,25,7.5%,29,19.2%,10,-9.3%
DET,3-13,25,7.2%,20,5.8%,26,12.3%,23,1.3%
IND,12-4,26,7.8%,22,6.7%,15,3.4%,31,11.4%
STL,8-8,27,8.4%,31,12.4%,23,9.3%,29,7.5%
CIN,8-8,28,9.6%,30,11.5%,30,19.6%,18,-3.1%
SF,7-9,29,11.3%,28,10.9%,28,17.4%,27,4.5%
NYJ,10-6,30,11.5%,29,11.4%,24,9.5%,32,13.8%
HOU,6-10,31,12.3%,24,7.5%,31,23.3%,21,-0.6%
WAS,5-11,32,15.9%,32,16.8%,32,32.3%,19,-1.2%
