Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,8-1,1,-25.3%,1,-26.2%,1,-35.3%,14,-13.0%
JAX,5-4,2,-22.2%,2,-20.1%,2,-30.0%,12,-14.0%
BAL,7-2,3,-19.5%,3,-17.7%,4,-13.1%,2,-28.0%
PHI,5-4,4,-15.4%,4,-16.0%,3,-16.5%,11,-14.3%
MIN,4-5,5,-13.9%,5,-14.1%,11,0.0%,1,-36.5%
MIA,3-6,6,-11.8%,6,-13.5%,8,-3.5%,5,-20.9%
PIT,3-6,7,-10.8%,8,-10.5%,9,-2.0%,3,-22.3%
NYG,6-3,8,-10.6%,7,-11.7%,6,-5.1%,6,-17.9%
DAL,5-4,9,-9.2%,9,-9.1%,12,1.7%,4,-22.3%
KC,5-4,10,-6.4%,11,-5.2%,13,1.8%,8,-14.9%
ATL,5-4,11,-6.4%,12,-5.1%,7,-4.8%,16,-8.5%
OAK,2-7,12,-5.1%,10,-6.1%,10,-1.7%,17,-8.1%
CLE,3-6,13,-4.2%,13,-4.9%,5,-8.3%,21,1.1%
DEN,7-2,14,-4.1%,15,-2.8%,14,3.1%,10,-14.5%
NE,6-3,15,-2.1%,14,-4.2%,18,6.7%,7,-15.5%
TB,2-7,16,0.0%,16,-0.3%,24,13.2%,9,-14.8%
CAR,5-4,17,1.4%,17,1.0%,25,13.4%,13,-13.6%
SD,7-2,18,3.1%,18,4.6%,20,9.2%,18,-6.0%
ARI,1-8,19,5.5%,19,4.7%,22,10.4%,20,0.0%
STL,4-5,20,5.8%,22,8.6%,15,4.0%,28,7.8%
SEA,6-3,21,6.4%,21,8.4%,21,9.7%,22,2.2%
NO,6-3,22,6.7%,25,10.2%,19,8.5%,25,4.3%
IND,9-0,23,6.9%,20,5.6%,17,6.6%,27,7.1%
GB,4-5,24,8.4%,23,9.2%,23,12.6%,24,2.8%
DET,2-7,25,9.1%,24,9.4%,30,21.5%,19,-4.8%
BUF,3-6,26,10.4%,26,10.9%,16,6.3%,31,15.4%
TEN,2-7,27,12.2%,27,12.1%,27,18.5%,26,5.6%
CIN,4-5,28,15.6%,32,19.3%,28,18.7%,29,11.9%
HOU,3-6,29,16.4%,28,13.9%,31,29.0%,23,2.7%
SF,4-5,30,16.5%,29,17.4%,29,18.9%,30,13.5%
WAS,3-6,31,17.4%,30,18.1%,32,40.5%,15,-9.0%
NYJ,5-4,32,17.9%,31,18.5%,26,17.2%,32,18.6%
