Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,2-0,1,-68.5%,1,-68.5%,1,-85.9%,2,-36.7%
JAX,2-0,2,-35.1%,2,-35.1%,2,-39.8%,5,-27.1%
SD,2-0,3,-32.0%,3,-32.0%,4,-34.9%,4,-27.6%
ATL,2-0,4,-27.8%,4,-27.8%,5,-32.9%,12,-14.1%
SEA,2-0,5,-23.2%,5,-23.2%,7,-19.4%,3,-29.8%
CHI,2-0,6,-16.7%,6,-16.7%,10,-11.5%,6,-24.0%
STL,1-1,7,-15.7%,7,-15.7%,3,-38.4%,24,4.0%
NO,2-0,8,-12.0%,8,-12.0%,9,-11.5%,13,-12.8%
PIT,1-1,9,-10.7%,9,-10.7%,14,-3.6%,7,-23.1%
MIN,2-0,10,-8.9%,10,-8.9%,12,-7.5%,15,-10.7%
CIN,2-0,11,-8.8%,11,-8.8%,8,-15.5%,23,3.7%
DEN,1-1,12,-5.4%,12,-5.4%,13,-5.9%,21,-5.0%
DAL,1-1,13,-5.4%,13,-5.4%,15,-3.6%,18,-8.1%
BUF,1-1,14,-4.9%,14,-4.9%,6,-29.4%,29,15.5%
KC,0-2,15,-3.6%,15,-3.6%,17,1.0%,19,-6.5%
CAR,0-2,16,-1.1%,16,-1.1%,19,4.6%,20,-5.6%
SF,1-1,17,0.6%,17,0.6%,22,9.5%,14,-10.9%
TB,0-2,18,1.4%,18,1.4%,16,-0.5%,22,2.9%
PHI,1-1,19,2.0%,19,2.0%,21,8.9%,17,-8.3%
GB,0-2,20,2.3%,20,2.3%,24,17.3%,11,-17.5%
NYJ,1-1,21,3.9%,21,3.9%,11,-8.7%,30,15.9%
DET,0-2,22,8.4%,22,8.4%,29,52.5%,1,-41.1%
MIA,0-2,23,9.7%,23,9.7%,30,54.0%,9,-21.5%
NE,2-0,24,9.8%,24,9.8%,26,35.1%,8,-21.6%
OAK,0-2,25,10.7%,25,10.7%,23,9.9%,26,11.1%
CLE,0-2,26,10.8%,26,10.8%,20,8.1%,27,13.6%
WAS,0-2,27,12.1%,27,12.1%,25,34.8%,16,-9.3%
ARI,1-1,28,15.9%,28,15.9%,18,2.4%,32,31.0%
NYG,1-1,29,21.5%,29,21.5%,28,48.0%,10,-19.7%
TEN,0-2,30,31.7%,30,31.7%,31,57.0%,25,8.3%
IND,2-0,31,36.0%,31,36.0%,27,43.3%,31,26.6%
HOU,0-2,32,51.9%,32,51.9%,32,81.7%,28,15.1%
