Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,4-0,1,-34.6%,1,-34.6%,1,-40.6%,4,-26.4%
SD,2-1,2,-25.5%,2,-25.5%,6,-22.5%,2,-29.9%
ATL,3-1,3,-24.8%,3,-24.8%,3,-32.2%,13,-13.4%
KC,1-2,4,-23.1%,4,-23.1%,2,-33.5%,11,-14.8%
CHI,4-0,5,-22.5%,5,-22.5%,4,-25.3%,9,-18.3%
PIT,1-2,6,-16.8%,6,-16.8%,12,-9.3%,3,-29.2%
DAL,2-1,7,-15.9%,7,-15.9%,8,-12.2%,7,-20.8%
JAX,2-2,8,-11.9%,8,-11.9%,10,-10.7%,14,-13.2%
MIN,2-2,9,-10.6%,9,-10.6%,14,-2.3%,6,-21.1%
STL,3-1,10,-9.9%,10,-9.9%,5,-23.2%,24,5.5%
NO,3-1,11,-8.3%,11,-8.3%,9,-11.7%,21,-2.8%
MIA,1-3,12,-6.9%,12,-6.9%,23,13.9%,5,-26.0%
PHI,3-1,13,-6.5%,13,-6.5%,13,-4.9%,18,-8.7%
SEA,3-1,14,-4.1%,14,-4.1%,15,-0.7%,17,-8.8%
DEN,2-1,15,-3.8%,15,-3.8%,16,4.5%,12,-14.0%
BUF,2-2,16,-0.6%,16,-0.6%,11,-9.3%,26,9.9%
CIN,3-1,17,1.8%,17,1.8%,7,-14.9%,31,19.7%
TB,0-3,18,2.3%,18,2.3%,20,8.9%,19,-4.0%
CAR,2-2,19,3.9%,19,3.9%,25,20.5%,15,-12.6%
CLE,1-3,20,5.4%,20,5.4%,17,6.3%,22,4.3%
OAK,0-3,21,6.1%,21,6.1%,18,7.6%,23,5.0%
WAS,2-2,22,6.7%,22,6.7%,26,22.5%,10,-15.2%
NE,3-1,23,8.8%,23,8.8%,27,23.8%,16,-11.7%
NYG,1-2,24,9.8%,24,9.8%,30,35.6%,8,-20.6%
GB,1-3,25,10.0%,25,10.0%,24,18.8%,20,-3.0%
ARI,1-3,26,11.2%,26,11.2%,21,12.2%,27,10.2%
IND,4-0,27,13.5%,27,13.5%,22,13.7%,28,13.3%
DET,0-4,28,13.5%,28,13.5%,32,51.0%,1,-35.9%
NYJ,2-2,29,14.3%,29,14.3%,19,8.1%,32,20.0%
SF,1-3,30,18.7%,30,18.7%,28,26.3%,25,9.4%
TEN,0-4,31,22.1%,31,22.1%,29,31.7%,29,14.2%
HOU,1-3,32,35.3%,32,35.3%,31,50.5%,30,17.5%
