Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
CHI,9-1,1,-26.1%,1,-27.6%,1,-36.1%,9,-14.2%
JAX,6-4,2,-22.7%,2,-22.2%,2,-27.8%,6,-17.0%
BAL,8-2,3,-18.9%,3,-16.7%,5,-12.2%,2,-27.4%
PHI,5-5,4,-14.5%,4,-15.1%,3,-16.5%,13,-12.3%
DAL,6-4,5,-13.4%,5,-13.3%,6,-7.1%,4,-21.3%
MIN,4-6,6,-11.1%,6,-11.6%,17,3.9%,1,-37.0%
PIT,4-6,7,-10.7%,9,-9.2%,9,-2.1%,3,-21.5%
MIA,4-6,8,-9.5%,7,-10.5%,12,0.1%,5,-20.3%
NE,7-3,9,-7.7%,8,-10.4%,8,-2.6%,8,-15.6%
CLE,3-7,10,-6.8%,11,-8.2%,4,-12.5%,23,0.6%
CAR,6-4,11,-6.3%,10,-8.3%,11,-1.1%,11,-13.4%
NYG,6-4,12,-4.3%,12,-5.3%,15,2.7%,12,-13.3%
OAK,2-8,13,-3.9%,13,-5.0%,7,-5.0%,17,-3.1%
DEN,7-3,14,-3.2%,14,-2.2%,14,2.4%,14,-11.0%
KC,6-4,15,-2.3%,15,-0.2%,21,8.6%,10,-13.4%
ATL,5-5,16,-2.2%,17,0.8%,10,-1.5%,18,-3.1%
TB,3-7,17,0.4%,16,0.5%,25,14.6%,7,-15.8%
SD,8-2,18,2.6%,19,4.8%,19,7.1%,16,-3.5%
ARI,2-8,19,3.0%,18,2.6%,18,6.2%,21,-0.7%
STL,4-6,20,4.0%,22,6.4%,13,1.4%,28,6.7%
NO,6-4,21,6.4%,23,9.3%,23,12.3%,19,-1.3%
IND,9-1,22,6.7%,21,5.8%,20,7.8%,27,5.9%
TEN,3-7,23,6.9%,20,5.3%,22,9.8%,24,3.7%
SEA,6-4,24,9.4%,25,11.4%,24,13.1%,26,5.0%
GB,4-6,25,10.6%,24,10.8%,26,15.1%,25,4.7%
BUF,4-6,26,10.9%,26,11.5%,16,3.8%,32,19.8%
DET,2-8,27,13.2%,27,13.7%,30,25.6%,20,-1.0%
CIN,5-5,28,13.8%,30,16.6%,28,16.9%,29,9.9%
SF,5-5,29,14.6%,29,14.0%,29,18.3%,30,10.2%
NYJ,5-5,30,16.8%,31,17.2%,27,15.6%,31,17.9%
HOU,3-7,31,17.1%,28,13.9%,31,31.8%,22,0.4%
WAS,3-7,32,18.3%,32,19.5%,32,42.1%,15,-7.2%
