Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NE,10-3,1,40.7%,1,45.1%,1,36.1%,1,37.2%,14,1.3%,15,-0.1%,3,6.0%,2,7.7%
SEA,8-5,2,37.8%,2,42.2%,4,15.6%,2,22.0%,5,-16.1%,6,-13.1%,2,6.1%,3,7.1%
SF,9-3-1,3,34.4%,4,34.4%,2,20.0%,3,20.1%,4,-16.2%,3,-15.9%,22,-1.7%,21,-1.5%
DEN,10-3,4,34.4%,3,36.4%,3,18.9%,4,18.9%,6,-13.7%,4,-15.0%,10,1.9%,9,2.6%
CHI,8-5,5,20.0%,5,18.9%,26,-12.2%,25,-11.5%,1,-26.9%,1,-25.5%,5,5.3%,5,4.9%
GB,9-4,6,19.4%,8,14.0%,5,15.5%,7,12.3%,9,-3.4%,13,-1.6%,12,0.4%,13,0.1%
NYG,8-5,7,18.2%,7,16.2%,6,13.5%,8,10.8%,13,-1.6%,12,-1.8%,8,3.1%,6,3.7%
HOU,11-2,8,18.2%,6,16.4%,12,5.0%,15,2.8%,2,-19.7%,2,-18.4%,31,-6.5%,29,-4.8%
BAL,9-4,9,10.7%,10,10.4%,14,3.8%,16,2.2%,20,2.8%,20,2.5%,1,9.7%,1,10.8%
ATL,11-2,10,7.1%,13,2.8%,13,4.6%,14,2.9%,10,-2.5%,14,-0.7%,15,0.0%,17,-0.8%
WAS,7-6,11,4.6%,11,7.7%,7,12.8%,6,12.6%,23,3.7%,19,2.5%,27,-4.4%,23,-2.4%
DET,4-9,12,4.3%,12,6.1%,8,12.7%,5,12.8%,22,3.0%,18,2.5%,28,-5.4%,28,-4.2%
CIN,7-6,13,2.2%,9,10.4%,16,3.6%,12,5.2%,24,4.5%,10,-2.4%,9,3.0%,8,2.8%
MIN,7-6,14,-0.1%,19,-3.9%,17,-1.9%,17,-2.2%,15,1.3%,23,3.5%,7,3.1%,10,1.8%
TB,6-7,15,-0.2%,14,0.8%,10,7.7%,9,10.7%,18,2.4%,25,5.0%,29,-5.5%,30,-5.0%
DAL,7-6,16,-0.2%,16,-1.3%,15,3.6%,13,3.5%,16,1.9%,24,4.2%,24,-2.0%,16,-0.7%
STL,6-6-1,17,-2.1%,18,-2.8%,21,-8.2%,22,-7.9%,7,-9.8%,7,-9.1%,26,-3.7%,27,-4.1%
PIT,7-6,18,-2.2%,15,-1.0%,20,-4.2%,20,-7.1%,12,-1.9%,9,-5.7%,14,0.0%,12,0.4%
CAR,4-9,19,-3.7%,17,-2.7%,11,5.6%,10,8.0%,19,2.4%,21,2.9%,32,-6.9%,32,-7.8%
NO,5-8,20,-5.6%,21,-5.4%,9,7.8%,11,6.8%,28,12.5%,27,10.6%,17,-0.9%,22,-1.5%
BUF,5-8,21,-7.1%,20,-4.0%,18,-2.9%,18,-3.9%,25,7.7%,22,3.0%,6,3.4%,7,2.9%
MIA,5-8,22,-7.8%,24,-11.4%,25,-10.7%,26,-12.9%,11,-2.3%,11,-2.0%,11,0.5%,15,-0.5%
SD,5-8,23,-10.2%,23,-8.0%,22,-8.8%,21,-7.8%,17,1.9%,17,0.3%,13,0.4%,14,0.1%
NYJ,6-7,24,-10.3%,25,-11.7%,27,-15.3%,28,-16.4%,8,-5.3%,8,-7.5%,16,-0.3%,24,-2.8%
CLE,5-8,25,-12.7%,22,-8.0%,28,-15.6%,27,-14.7%,21,3.0%,16,0.2%,4,5.9%,4,7.0%
ARI,4-9,26,-16.4%,27,-22.0%,32,-31.5%,32,-34.4%,3,-16.5%,5,-13.8%,20,-1.4%,20,-1.4%
PHI,4-9,27,-20.2%,28,-22.8%,24,-9.7%,23,-9.0%,26,9.2%,31,14.5%,18,-1.3%,11,0.7%
IND,9-4,28,-20.2%,26,-18.1%,19,-3.4%,19,-4.7%,30,15.3%,28,12.3%,21,-1.5%,18,-1.1%
TEN,4-9,29,-30.1%,29,-27.7%,29,-18.2%,29,-18.0%,27,10.0%,26,6.8%,23,-1.9%,25,-3.0%
OAK,3-10,30,-34.9%,31,-36.6%,23,-9.0%,24,-10.8%,32,19.7%,32,20.5%,30,-6.2%,31,-5.3%
JAX,2-11,31,-36.6%,30,-34.9%,30,-21.2%,30,-20.7%,29,14.0%,29,12.9%,19,-1.4%,19,-1.4%
KC,2-11,32,-42.7%,32,-40.0%,31,-23.9%,31,-22.6%,31,15.3%,30,14.0%,25,-3.5%,26,-3.4%
