Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SF,4-1,1,46.5%,1,46.5%,2,30.1%,2,30.1%,4,-19.7%,4,-19.7%,24,-3.3%,24,-3.3%
CHI,4-1,2,33.4%,2,33.4%,18,-5.0%,18,-5.0%,1,-32.5%,1,-32.5%,5,5.9%,5,5.9%
HOU,5-0,3,32.2%,3,32.2%,4,18.2%,4,18.2%,2,-26.7%,2,-26.7%,30,-12.8%,30,-12.8%
ATL,5-0,4,29.6%,4,29.6%,7,15.5%,7,15.5%,10,-11.0%,10,-11.0%,9,3.2%,9,3.2%
MIN,4-1,5,28.6%,5,28.6%,11,6.5%,11,6.5%,8,-15.0%,8,-15.0%,3,7.1%,3,7.1%
NE,3-2,6,27.1%,6,27.1%,1,32.5%,1,32.5%,17,3.2%,17,3.2%,22,-2.3%,22,-2.3%
GB,2-3,7,24.6%,7,24.6%,5,18.1%,5,18.1%,13,-4.6%,13,-4.6%,11,1.9%,11,1.9%
DEN,2-3,8,23.0%,8,23.0%,8,15.4%,8,15.4%,11,-7.6%,11,-7.6%,15,0.1%,15,0.1%
SEA,3-2,9,21.7%,9,21.7%,22,-11.0%,22,-11.0%,3,-25.0%,3,-25.0%,2,7.8%,2,7.8%
NYG,3-2,10,19.5%,10,19.5%,3,29.1%,3,29.1%,22,10.7%,22,10.7%,13,1.0%,13,1.0%
BAL,4-1,11,13.8%,11,13.8%,10,11.2%,10,11.2%,15,-1.7%,15,-1.7%,14,0.9%,14,0.9%
MIA,2-3,12,11.7%,12,11.7%,20,-7.1%,20,-7.1%,5,-19.3%,5,-19.3%,18,-0.6%,18,-0.6%
STL,3-2,13,2.1%,13,2.1%,28,-19.1%,28,-19.1%,6,-18.1%,6,-18.1%,10,3.1%,10,3.1%
ARI,4-1,14,1.4%,14,1.4%,26,-17.9%,26,-17.9%,7,-18.0%,7,-18.0%,12,1.3%,12,1.3%
DET,1-3,15,-4.1%,15,-4.1%,6,16.3%,6,16.3%,18,5.6%,18,5.6%,32,-14.8%,32,-14.8%
SD,3-2,16,-6.1%,16,-6.1%,19,-6.2%,19,-6.2%,16,-0.3%,16,-0.3%,17,-0.2%,17,-0.2%
PHI,3-2,17,-9.8%,17,-9.8%,24,-15.0%,24,-15.0%,9,-14.9%,9,-14.9%,28,-9.7%,28,-9.7%
WAS,2-3,18,-9.9%,18,-9.9%,9,14.2%,9,14.2%,21,10.1%,21,10.1%,31,-14.0%,31,-14.0%
DAL,2-2,19,-10.2%,19,-10.2%,23,-12.4%,23,-12.4%,12,-7.0%,12,-7.0%,27,-4.7%,27,-4.7%
NO,1-4,20,-13.0%,20,-13.0%,12,5.9%,12,5.9%,28,18.9%,28,18.9%,16,0.0%,16,0.0%
CAR,1-4,21,-14.4%,21,-14.4%,17,-4.7%,17,-4.7%,20,6.1%,20,6.1%,25,-3.7%,25,-3.7%
IND,2-2,22,-14.5%,22,-14.5%,13,3.1%,13,3.1%,25,12.9%,25,12.9%,26,-4.7%,26,-4.7%
TB,1-3,23,-16.0%,23,-16.0%,27,-18.0%,27,-18.0%,14,-3.8%,14,-3.8%,21,-1.8%,21,-1.8%
PIT,2-2,24,-16.2%,24,-16.2%,14,1.7%,14,1.7%,27,17.1%,27,17.1%,19,-0.8%,19,-0.8%
CIN,3-2,25,-20.1%,25,-20.1%,16,-1.3%,16,-1.3%,30,23.1%,30,23.1%,7,4.3%,7,4.3%
NYJ,2-3,26,-21.4%,26,-21.4%,30,-24.8%,30,-24.8%,19,5.8%,19,5.8%,1,9.2%,1,9.2%
CLE,0-5,27,-26.4%,27,-26.4%,25,-17.5%,25,-17.5%,24,12.7%,24,12.7%,8,3.8%,8,3.8%
BUF,2-3,28,-30.4%,28,-30.4%,21,-8.1%,21,-8.1%,32,27.8%,32,27.8%,6,5.4%,6,5.4%
OAK,1-3,29,-35.0%,29,-35.0%,15,-0.1%,15,-0.1%,31,24.3%,31,24.3%,29,-10.6%,29,-10.6%
JAX,1-4,30,-39.0%,30,-39.0%,29,-20.9%,29,-20.9%,26,16.7%,26,16.7%,20,-1.4%,20,-1.4%
KC,1-4,31,-39.4%,31,-39.4%,31,-25.5%,31,-25.5%,23,11.4%,23,11.4%,23,-2.5%,23,-2.5%
TEN,1-4,32,-40.7%,32,-40.7%,32,-28.0%,32,-28.0%,29,19.2%,29,19.2%,4,6.6%,4,6.6%
