Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
ATL,3-0,1,45.7%,1,45.7%,2,23.1%,2,23.1%,6,-17.5%,6,-17.5%,8,5.1%,8,5.1%
BAL,2-1,2,37.2%,2,37.2%,1,30.7%,1,30.7%,18,0.6%,18,0.6%,5,7.2%,5,7.2%
HOU,3-0,3,35.2%,3,35.2%,6,17.9%,6,17.9%,2,-32.5%,2,-32.5%,32,-15.1%,32,-15.1%
MIN,2-1,4,23.7%,4,23.7%,9,11.4%,9,11.4%,11,-10.8%,11,-10.8%,16,1.5%,16,1.5%
SF,2-1,5,21.8%,5,21.8%,5,18.1%,5,18.1%,16,-1.8%,16,-1.8%,13,2.0%,13,2.0%
CHI,2-1,6,18.4%,6,18.4%,27,-19.0%,27,-19.0%,3,-28.0%,3,-28.0%,3,9.3%,3,9.3%
DEN,1-2,7,16.0%,7,16.0%,13,5.9%,13,5.9%,13,-8.5%,13,-8.5%,15,1.7%,15,1.7%
BUF,2-1,8,16.0%,8,16.0%,12,7.9%,12,7.9%,14,-5.4%,14,-5.4%,11,2.6%,11,2.6%
GB,1-2,9,14.6%,9,14.6%,17,-1.1%,17,-1.1%,12,-9.8%,12,-9.8%,6,5.9%,6,5.9%
SEA,2-1,10,14.4%,10,14.4%,24,-15.4%,24,-15.4%,5,-19.6%,5,-19.6%,1,10.2%,1,10.2%
NE,1-2,11,14.1%,11,14.1%,3,23.0%,3,23.0%,19,6.8%,19,6.8%,20,-2.2%,20,-2.2%
NYG,2-1,12,11.8%,12,11.8%,8,16.4%,8,16.4%,21,8.6%,21,8.6%,9,4.0%,9,4.0%
MIA,1-2,13,5.7%,13,5.7%,20,-7.8%,20,-7.8%,9,-11.7%,9,-11.7%,14,1.8%,14,1.8%
DET,1-2,14,3.3%,14,3.3%,4,20.8%,4,20.8%,23,10.0%,23,10.0%,27,-7.5%,27,-7.5%
NYJ,2-1,15,2.7%,15,2.7%,19,-7.8%,19,-7.8%,15,-1.8%,15,-1.8%,4,8.7%,4,8.7%
ARI,3-0,16,1.6%,16,1.6%,28,-19.8%,28,-19.8%,4,-20.4%,4,-20.4%,17,1.0%,17,1.0%
PHI,2-1,17,-0.9%,17,-0.9%,31,-23.7%,31,-23.7%,1,-34.6%,1,-34.6%,29,-11.8%,29,-11.8%
NO,0-3,18,-3.6%,18,-3.6%,14,5.4%,14,5.4%,24,11.1%,24,11.1%,12,2.2%,12,2.2%
WAS,1-2,19,-4.5%,19,-4.5%,7,16.8%,7,16.8%,22,9.4%,22,9.4%,30,-11.8%,30,-11.8%
DAL,2-1,20,-6.2%,20,-6.2%,25,-15.8%,25,-15.8%,7,-16.2%,7,-16.2%,26,-6.6%,26,-6.6%
STL,1-2,21,-15.0%,21,-15.0%,32,-27.2%,32,-27.2%,10,-11.4%,10,-11.4%,18,0.8%,18,0.8%
CAR,1-2,22,-15.2%,22,-15.2%,15,3.6%,15,3.6%,26,14.9%,26,14.9%,22,-3.9%,22,-3.9%
TB,1-2,23,-15.2%,23,-15.2%,29,-22.0%,29,-22.0%,8,-11.9%,8,-11.9%,25,-5.1%,25,-5.1%
SD,2-1,24,-16.2%,24,-16.2%,21,-11.0%,21,-11.0%,20,7.9%,20,7.9%,10,2.7%,10,2.7%
IND,1-2,25,-16.3%,25,-16.3%,16,0.5%,16,0.5%,25,12.7%,25,12.7%,23,-4.1%,23,-4.1%
OAK,1-2,26,-20.6%,26,-20.6%,11,9.3%,11,9.3%,28,17.8%,28,17.8%,31,-12.1%,31,-12.1%
PIT,1-2,27,-25.1%,27,-25.1%,18,-1.2%,18,-1.2%,30,22.2%,30,22.2%,19,-1.6%,19,-1.6%
CIN,2-1,28,-25.6%,28,-25.6%,10,10.9%,10,10.9%,32,41.6%,32,41.6%,7,5.1%,7,5.1%
CLE,0-3,29,-27.3%,29,-27.3%,30,-23.4%,30,-23.4%,17,-1.1%,17,-1.1%,24,-5.1%,24,-5.1%
TEN,1-2,30,-32.8%,30,-32.8%,23,-13.8%,23,-13.8%,31,29.0%,31,29.0%,2,10.0%,2,10.0%
JAX,1-2,31,-33.8%,31,-33.8%,22,-13.0%,22,-13.0%,27,17.0%,27,17.0%,21,-3.9%,21,-3.9%
KC,1-2,32,-49.4%,32,-49.4%,26,-16.7%,26,-16.7%,29,22.1%,29,22.1%,28,-10.6%,28,-10.6%
