Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
DEN,4-3,1,34.8%,2,34.2%,2,22.3%,3,22.2%,6,-14.2%,6,-13.8%,20,-1.7%,21,-1.7%
SF,6-2,2,34.6%,1,34.4%,5,19.2%,5,18.5%,4,-16.4%,4,-17.1%,18,-1.1%,18,-1.2%
NE,5-3,3,31.7%,3,32.5%,1,31.5%,1,31.8%,18,2.1%,18,1.9%,11,2.3%,9,2.6%
NYG,6-2,4,28.9%,4,31.3%,3,21.9%,2,22.6%,14,-3.5%,11,-5.0%,7,3.5%,7,3.7%
GB,5-3,5,27.9%,6,27.6%,4,20.4%,4,20.6%,8,-7.3%,8,-7.5%,15,0.2%,17,-0.5%
CHI,6-1,6,27.8%,5,28.1%,25,-12.3%,25,-12.4%,1,-33.2%,1,-33.9%,3,6.9%,4,6.7%
HOU,6-1,7,27.2%,7,25.7%,8,11.2%,9,10.3%,2,-26.7%,2,-25.3%,32,-10.7%,31,-9.8%
SEA,4-4,8,22.0%,8,22.9%,16,-0.5%,13,0.7%,3,-21.1%,3,-21.3%,14,1.3%,14,0.9%
ATL,7-0,9,21.2%,9,20.1%,7,12.1%,8,10.9%,9,-6.7%,9,-7.2%,10,2.4%,11,2.0%
MIA,4-3,10,10.9%,10,11.8%,20,-4.6%,18,-3.4%,7,-10.1%,7,-10.4%,5,5.4%,5,4.8%
MIN,5-3,11,7.3%,11,6.6%,21,-5.7%,22,-6.6%,10,-5.9%,10,-6.3%,2,7.0%,3,7.0%
BAL,5-2,12,2.9%,13,-0.1%,12,3.7%,12,1.7%,24,7.9%,24,9.0%,1,7.1%,2,7.2%
PIT,4-3,13,1.7%,12,3.8%,11,8.8%,10,9.6%,20,5.4%,20,4.2%,19,-1.6%,20,-1.6%
DAL,3-4,14,0.7%,14,-0.8%,14,0.4%,15,-0.1%,11,-5.6%,12,-4.7%,27,-5.4%,27,-5.4%
DET,3-4,15,-2.5%,15,-3.5%,6,13.6%,6,13.7%,21,6.3%,22,6.8%,31,-9.9%,32,-10.5%
TB,3-4,16,-6.0%,17,-6.6%,15,-0.3%,14,0.3%,15,-2.6%,16,-1.7%,29,-8.3%,30,-8.7%
WAS,3-5,17,-6.1%,16,-5.6%,10,9.2%,11,9.2%,23,6.8%,23,7.0%,30,-8.5%,29,-7.8%
ARI,4-4,18,-7.6%,19,-8.6%,30,-22.1%,30,-22.5%,5,-16.3%,5,-15.5%,21,-1.8%,19,-1.6%
STL,3-5,19,-7.6%,18,-7.6%,23,-9.6%,23,-8.7%,13,-5.0%,13,-4.4%,22,-3.1%,23,-3.3%
NYJ,3-5,20,-9.4%,20,-10.4%,27,-14.7%,27,-15.2%,16,-2.5%,15,-2.6%,9,2.9%,10,2.1%
NO,2-5,21,-10.8%,22,-11.1%,9,10.6%,7,11.3%,31,22.9%,31,23.6%,13,1.4%,12,1.2%
PHI,3-4,22,-11.2%,23,-11.2%,24,-11.2%,24,-9.6%,12,-5.4%,14,-3.1%,26,-5.3%,25,-4.7%
CAR,1-6,23,-11.6%,21,-10.6%,22,-6.4%,21,-6.2%,17,0.0%,17,-0.9%,25,-5.1%,26,-5.3%
SD,3-4,24,-15.8%,25,-15.8%,26,-14.6%,26,-14.7%,19,2.9%,19,2.2%,12,1.6%,13,1.1%
OAK,3-4,25,-16.3%,24,-15.1%,18,-3.0%,20,-3.9%,22,6.3%,21,5.3%,28,-7.0%,28,-5.9%
BUF,3-4,26,-17.7%,27,-16.8%,17,-2.1%,17,-1.7%,30,22.2%,30,22.6%,4,6.6%,1,7.6%
CIN,3-4,27,-19.3%,26,-16.7%,19,-4.2%,19,-3.8%,29,19.0%,28,16.9%,6,3.9%,6,4.0%
CLE,2-6,28,-27.7%,28,-27.0%,29,-20.0%,28,-18.1%,25,10.8%,26,12.0%,8,3.1%,8,3.2%
IND,4-3,29,-29.1%,29,-29.5%,13,0.5%,16,-0.4%,32,26.0%,32,25.9%,23,-3.6%,22,-3.3%
TEN,3-5,30,-37.6%,30,-37.5%,28,-19.0%,29,-18.9%,28,18.6%,29,18.2%,16,-0.1%,16,-0.4%
JAX,1-6,31,-38.4%,31,-39.1%,31,-23.3%,31,-24.9%,26,11.1%,25,10.6%,24,-3.9%,24,-3.6%
KC,1-6,32,-45.9%,32,-44.9%,32,-30.5%,32,-31.6%,27,14.9%,27,13.9%,17,-0.5%,15,0.5%
