Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SEA,11-5,1,38.4%,1,46.2%,4,18.6%,2,29.5%,5,-14.1%,8,-10.3%,3,5.7%,4,6.4%
DEN,13-3,2,35.9%,2,38.5%,2,22.7%,3,24.1%,6,-12.6%,3,-14.2%,13,0.6%,15,0.2%
NE,12-4,3,33.7%,3,37.0%,1,31.1%,1,29.6%,17,2.9%,16,0.3%,4,5.5%,3,7.7%
SF,11-4-1,4,30.2%,4,27.5%,5,17.4%,6,14.4%,4,-14.3%,2,-14.5%,20,-1.5%,21,-1.4%
GB,11-5,5,25.9%,5,23.0%,3,19.6%,4,19.0%,8,-6.5%,12,-5.6%,18,-0.2%,22,-1.6%
CHI,10-6,6,20.1%,6,17.4%,25,-10.7%,22,-8.8%,1,-26.1%,1,-22.7%,6,4.7%,8,3.5%
ATL,13-3,7,12.4%,11,9.8%,11,6.6%,12,4.5%,9,-5.7%,11,-6.0%,16,0.1%,17,-0.7%
NYG,9-7,8,11.9%,9,11.2%,7,12.9%,8,12.4%,18,3.0%,23,4.1%,10,2.0%,11,2.9%
HOU,12-4,9,9.7%,16,1.6%,16,0.3%,19,-6.0%,2,-17.1%,5,-13.3%,32,-7.7%,32,-5.7%
BAL,10-6,10,9.0%,13,6.3%,13,3.1%,15,-0.5%,19,3.1%,20,2.9%,1,9.0%,1,9.6%
WAS,10-6,11,9.0%,7,16.5%,6,16.0%,5,17.8%,16,2.8%,15,0.2%,27,-4.3%,18,-1.1%
MIN,10-6,12,6.6%,14,5.8%,14,1.1%,13,2.3%,14,-0.8%,17,0.6%,5,4.7%,7,4.1%
CIN,10-6,13,4.2%,8,13.5%,17,-2.1%,17,-4.7%,11,-2.2%,4,-13.6%,7,4.1%,5,4.6%
CAR,7-9,14,4.2%,10,10.1%,10,7.6%,7,12.5%,13,-1.4%,13,-1.6%,29,-4.8%,29,-4.0%
STL,7-8-1,15,4.2%,12,7.4%,19,-4.1%,16,-1.3%,7,-11.6%,6,-12.5%,26,-3.4%,28,-3.9%
DET,4-12,16,3.1%,15,3.6%,8,12.1%,10,10.5%,22,3.9%,21,3.0%,30,-5.1%,27,-3.9%
DAL,8-8,17,1.8%,17,0.9%,12,6.2%,11,7.9%,23,4.5%,27,9.5%,15,0.2%,12,2.5%
NO,7-9,18,-1.2%,18,-0.2%,9,12.0%,9,11.9%,27,10.8%,25,7.7%,24,-2.3%,30,-4.3%
PIT,8-8,19,-2.4%,19,-1.4%,20,-4.3%,21,-8.7%,12,-2.0%,9,-7.6%,17,-0.1%,16,-0.2%
TB,7-9,20,-7.2%,24,-11.6%,15,0.7%,14,-0.3%,21,3.6%,26,7.9%,27,-4.3%,25,-3.4%
MIA,7-9,21,-8.1%,23,-9.7%,22,-8.6%,23,-9.5%,15,-0.1%,14,-1.0%,14,0.4%,20,-1.2%
SD,7-9,22,-10.8%,20,-9.1%,24,-10.4%,25,-11.7%,20,3.4%,18,1.7%,8,3.0%,6,4.3%
BUF,6-10,23,-12.4%,22,-9.4%,21,-4.7%,20,-7.0%,26,10.5%,24,4.3%,9,2.7%,13,2.0%
ARI,5-11,24,-13.7%,26,-21.6%,32,-31.1%,32,-36.7%,3,-16.2%,7,-12.1%,11,1.1%,10,3.0%
CLE,5-11,25,-15.2%,21,-9.2%,27,-15.2%,27,-13.7%,24,6.1%,22,3.7%,2,6.1%,2,8.2%
IND,11-5,26,-16.2%,25,-12.8%,18,-2.6%,18,-5.4%,31,14.6%,29,10.5%,12,0.9%,9,3.1%
NYJ,6-10,27,-19.1%,27,-22.0%,29,-20.5%,29,-23.3%,10,-2.9%,10,-6.1%,21,-1.5%,31,-4.8%
PHI,4-12,28,-24.9%,30,-29.8%,26,-11.2%,24,-9.9%,28,11.5%,32,20.3%,23,-2.2%,14,0.5%
OAK,4-12,29,-30.2%,28,-27.3%,23,-10.1%,26,-12.6%,30,14.3%,30,11.2%,31,-5.8%,26,-3.5%
TEN,6-10,30,-30.9%,29,-28.5%,30,-21.1%,30,-23.7%,25,8.4%,19,2.2%,19,-1.4%,23,-2.6%
JAX,2-14,31,-34.6%,31,-31.7%,28,-18.6%,28,-18.4%,29,13.0%,28,10.1%,25,-3.0%,24,-3.2%
KC,2-14,32,-43.5%,32,-41.6%,31,-26.0%,31,-26.2%,32,15.4%,31,14.3%,22,-2.0%,19,-1.1%
