Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
CHI,4-1,1,33.0%,1,32.7%,22,-7.0%,23,-7.5%,1,-34.1%,1,-34.4%,3,5.9%,3,5.8%
GB,3-3,2,31.9%,2,32.0%,3,24.4%,3,24.5%,13,-8.2%,13,-8.6%,16,-0.7%,17,-1.1%
NYG,4-2,3,30.8%,3,32.0%,1,30.0%,1,30.5%,15,0.2%,14,-0.5%,13,1.0%,13,1.0%
SF,4-2,4,30.7%,4,30.5%,4,19.6%,4,19.2%,5,-17.1%,3,-17.3%,25,-5.9%,25,-6.1%
DEN,3-3,5,26.7%,5,26.3%,6,17.6%,6,17.4%,10,-10.4%,11,-10.1%,18,-1.3%,19,-1.2%
SEA,4-2,6,22.6%,6,23.1%,21,-6.6%,21,-6.1%,2,-24.9%,2,-25.0%,7,4.3%,7,4.3%
NE,3-3,7,22.3%,7,22.0%,2,28.6%,2,28.5%,19,5.6%,20,5.8%,17,-0.8%,16,-0.8%
ATL,6-0,8,20.1%,8,19.9%,10,7.5%,10,7.0%,11,-9.7%,10,-10.2%,10,2.9%,10,2.8%
MIN,4-2,9,17.2%,9,17.1%,14,0.5%,14,0.4%,12,-8.9%,12,-9.2%,2,7.8%,2,7.6%
HOU,5-1,10,14.9%,10,14.3%,9,7.7%,9,7.5%,3,-17.9%,4,-17.1%,30,-10.6%,30,-10.2%
BAL,5-1,11,12.7%,11,11.9%,8,12.3%,8,11.8%,17,4.5%,17,4.8%,6,4.9%,5,4.9%
MIA,3-3,12,9.6%,12,10.3%,19,-4.4%,19,-3.5%,8,-11.1%,8,-11.3%,11,2.9%,11,2.4%
STL,3-3,13,4.3%,13,4.4%,24,-8.1%,24,-7.9%,6,-16.2%,6,-16.2%,23,-3.8%,23,-3.8%
WAS,3-3,14,0.6%,14,0.9%,5,18.4%,5,18.5%,22,6.1%,21,6.2%,31,-11.7%,31,-11.4%
TB,2-3,15,-1.8%,15,-2.2%,23,-7.2%,22,-7.5%,7,-12.6%,7,-12.5%,26,-7.1%,26,-7.3%
DET,2-3,16,-3.1%,17,-3.7%,7,14.7%,7,14.9%,21,6.0%,22,6.4%,32,-11.8%,32,-12.2%
ARI,4-2,17,-3.5%,16,-3.4%,29,-22.1%,29,-22.1%,4,-17.1%,5,-17.0%,12,1.5%,12,1.8%
DAL,2-3,18,-5.1%,18,-6.0%,13,2.2%,13,1.7%,14,-0.5%,15,-0.1%,28,-7.7%,29,-7.8%
NYJ,3-3,19,-6.0%,19,-6.6%,27,-15.2%,27,-15.5%,16,0.6%,16,0.7%,1,9.8%,1,9.6%
PHI,3-3,20,-11.5%,20,-11.7%,26,-15.0%,26,-14.6%,9,-11.0%,9,-10.2%,27,-7.5%,27,-7.3%
CAR,1-4,21,-12.2%,21,-11.8%,18,-2.9%,18,-2.6%,20,5.6%,19,5.5%,22,-3.7%,22,-3.7%
NO,1-4,22,-12.5%,22,-12.7%,11,6.6%,11,6.7%,29,19.0%,29,19.2%,15,0.0%,15,-0.2%
PIT,2-3,23,-13.8%,23,-12.9%,12,2.5%,12,3.0%,23,11.9%,23,11.6%,24,-4.4%,24,-4.4%
CIN,3-3,24,-16.2%,24,-15.1%,17,-2.4%,16,-2.0%,26,17.3%,26,16.8%,8,3.6%,9,3.7%
SD,3-3,25,-16.5%,25,-16.6%,25,-12.2%,25,-12.2%,18,5.0%,18,4.9%,14,0.8%,14,0.5%
BUF,3-3,26,-22.0%,26,-21.2%,20,-5.3%,20,-5.0%,31,20.1%,31,20.0%,9,3.5%,8,3.8%
OAK,1-4,27,-22.5%,27,-22.2%,15,-0.7%,15,-0.8%,25,13.4%,25,13.6%,29,-8.3%,28,-7.8%
IND,2-3,28,-25.0%,28,-24.8%,16,-2.2%,17,-2.4%,32,20.3%,32,20.1%,21,-2.4%,21,-2.2%
CLE,1-5,29,-26.0%,29,-25.9%,28,-18.8%,28,-17.9%,24,12.1%,24,12.8%,5,5.0%,6,4.9%
TEN,2-4,30,-40.8%,30,-40.7%,32,-28.6%,32,-28.7%,28,17.4%,28,17.3%,4,5.2%,4,5.3%
JAX,1-4,31,-43.6%,31,-44.1%,30,-23.0%,30,-23.7%,30,19.2%,30,19.3%,19,-1.4%,18,-1.1%
KC,1-5,32,-46.8%,32,-46.5%,31,-27.5%,31,-28.0%,27,17.4%,27,16.9%,20,-1.9%,20,-1.7%
