Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
SF,6-2,1,35.8%,1,34.4%,4,18.5%,6,16.8%,4,-18.3%,4,-18.5%,18,-1.1%,18,-0.9%
NE,5-3,2,33.0%,2,34.4%,1,31.8%,1,32.3%,18,1.0%,19,1.2%,8,2.3%,7,3.3%
DEN,5-3,3,30.7%,5,30.3%,3,18.9%,3,19.6%,6,-11.0%,6,-9.9%,14,0.7%,13,0.8%
GB,6-3,4,30.5%,6,29.1%,2,20.9%,2,20.7%,7,-7.9%,7,-7.5%,10,1.7%,12,1.0%
CHI,7-1,5,29.5%,3,31.2%,24,-13.5%,24,-12.8%,1,-35.8%,1,-37.1%,1,7.2%,1,6.9%
SEA,5-4,6,29.4%,4,30.9%,13,5.8%,10,7.9%,3,-21.9%,3,-22.2%,11,1.7%,14,0.8%
NYG,6-3,7,24.1%,7,26.6%,6,17.9%,5,18.6%,10,-5.5%,8,-7.4%,15,0.7%,15,0.6%
HOU,7-1,8,23.3%,8,21.2%,9,9.4%,9,8.2%,2,-24.3%,2,-22.7%,32,-10.5%,31,-9.7%
ATL,8-0,9,14.6%,9,12.5%,8,10.9%,8,10.0%,15,-3.7%,15,-3.6%,17,-0.1%,19,-1.0%
DAL,3-5,10,7.3%,11,7.1%,12,6.2%,14,5.7%,9,-6.0%,10,-5.7%,25,-4.8%,24,-4.3%
PIT,5-3,11,6.0%,10,8.5%,10,6.9%,11,7.4%,19,2.4%,18,0.5%,13,1.5%,9,1.6%
MIN,5-4,12,4.9%,12,3.7%,20,-5.0%,20,-5.8%,16,-3.3%,16,-3.5%,2,6.6%,2,6.0%
BAL,6-2,13,4.3%,13,1.9%,16,3.7%,16,2.3%,21,5.4%,21,6.2%,3,6.0%,4,5.9%
MIA,4-4,14,2.0%,15,1.5%,22,-7.4%,22,-7.1%,11,-5.3%,12,-5.2%,5,4.1%,6,3.3%
TB,4-4,15,1.9%,14,1.8%,14,5.0%,13,5.9%,12,-5.0%,13,-4.9%,30,-8.1%,30,-9.0%
DET,4-4,16,0.8%,16,0.1%,5,18.1%,4,19.0%,22,8.0%,22,8.8%,31,-9.3%,32,-10.1%
CAR,2-6,17,-1.4%,17,-1.3%,18,-1.3%,19,-2.2%,13,-4.7%,9,-6.0%,26,-4.8%,27,-5.1%
NO,3-5,18,-5.1%,18,-4.4%,7,12.5%,7,12.9%,28,17.7%,29,16.9%,16,0.1%,17,-0.4%
STL,3-5,19,-6.7%,19,-7.4%,23,-10.3%,23,-9.2%,8,-6.7%,11,-5.4%,21,-3.1%,21,-3.6%
WAS,3-6,20,-9.5%,20,-9.3%,11,6.7%,12,6.4%,23,8.3%,23,9.2%,29,-7.8%,29,-6.5%
ARI,4-5,21,-9.6%,22,-11.8%,29,-21.4%,30,-21.8%,5,-16.0%,5,-14.5%,24,-4.2%,25,-4.4%
NYJ,3-5,22,-9.7%,21,-10.3%,27,-16.5%,27,-17.1%,14,-3.9%,14,-4.6%,7,2.9%,8,2.2%
SD,4-4,23,-15.7%,25,-16.2%,25,-13.8%,25,-14.3%,20,3.6%,20,3.2%,9,1.8%,10,1.3%
BUF,3-5,24,-16.1%,23,-14.7%,17,-0.4%,17,0.3%,31,20.9%,31,20.9%,4,5.2%,3,5.9%
PHI,3-5,25,-17.6%,26,-19.0%,26,-15.7%,26,-14.8%,17,-3.0%,17,0.5%,27,-4.8%,22,-3.7%
CIN,3-5,26,-18.6%,24,-15.1%,19,-2.6%,18,-1.9%,28,17.7%,27,14.3%,12,1.6%,11,1.0%
IND,5-3,27,-24.4%,28,-24.8%,15,4.7%,15,4.0%,32,25.1%,32,24.9%,23,-4.0%,23,-3.9%
OAK,3-5,28,-25.8%,27,-23.5%,21,-5.9%,21,-6.8%,25,13.0%,25,11.3%,28,-6.9%,28,-5.4%
CLE,2-7,29,-28.6%,29,-28.3%,30,-22.4%,29,-21.4%,24,10.0%,24,11.1%,6,3.7%,5,4.1%
TEN,3-6,30,-40.7%,30,-41.0%,28,-19.3%,28,-18.9%,30,17.8%,30,17.5%,22,-3.7%,26,-4.5%
JAX,1-7,31,-41.2%,31,-41.8%,31,-25.2%,31,-26.6%,26,13.6%,26,13.3%,20,-2.4%,20,-1.9%
KC,1-7,32,-49.3%,32,-46.8%,32,-31.2%,32,-32.0%,27,16.7%,28,14.9%,19,-1.4%,16,0.1%
