Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
HOU,2-0,1,64.2%,1,64.2%,3,21.3%,3,21.3%,1,-62.0%,1,-62.0%,30,-19.1%,30,-19.1%
NE,1-1,2,37.4%,2,37.4%,2,23.1%,2,23.1%,4,-21.8%,4,-21.8%,26,-7.5%,26,-7.5%
MIN,1-1,3,36.5%,3,36.5%,5,18.0%,5,18.0%,13,-7.3%,13,-7.3%,3,11.2%,3,11.2%
ATL,2-0,4,35.8%,4,35.8%,6,16.9%,6,16.9%,10,-10.4%,10,-10.4%,9,8.5%,9,8.5%
SF,2-0,5,34.8%,5,34.8%,1,38.1%,1,38.1%,18,0.4%,18,0.4%,22,-3.0%,22,-3.0%
BAL,1-1,6,32.9%,6,32.9%,8,12.6%,8,12.6%,11,-9.1%,11,-9.1%,2,11.3%,2,11.3%
GB,1-1,7,29.3%,7,29.3%,15,2.8%,15,2.8%,6,-16.8%,6,-16.8%,5,9.7%,5,9.7%
DEN,1-1,8,25.3%,8,25.3%,13,5.7%,13,5.7%,5,-18.7%,5,-18.7%,16,0.8%,16,0.8%
NYJ,1-1,9,23.1%,9,23.1%,7,13.6%,7,13.6%,16,-0.9%,16,-0.9%,8,8.6%,8,8.6%
SD,2-0,10,18.7%,10,18.7%,11,8.2%,11,8.2%,14,-5.0%,14,-5.0%,12,5.6%,12,5.6%
SEA,1-1,11,13.9%,11,13.9%,28,-19.8%,28,-19.8%,3,-22.7%,3,-22.7%,4,11.0%,4,11.0%
PHI,2-0,12,13.3%,12,13.3%,29,-21.2%,29,-21.2%,2,-49.2%,2,-49.2%,28,-14.7%,28,-14.7%
CAR,1-1,13,10.9%,13,10.9%,4,20.4%,4,20.4%,23,8.2%,23,8.2%,20,-1.3%,20,-1.3%
CHI,1-1,14,4.9%,14,4.9%,26,-17.9%,26,-17.9%,8,-13.9%,8,-13.9%,6,9.0%,6,9.0%
MIA,1-1,15,2.5%,15,2.5%,24,-12.1%,24,-12.1%,17,0.3%,17,0.3%,1,14.9%,1,14.9%
DET,1-1,16,-0.5%,16,-0.5%,18,-0.9%,18,-0.9%,22,7.1%,22,7.1%,10,7.5%,10,7.5%
TB,1-1,17,-2.2%,17,-2.2%,17,1.1%,17,1.1%,19,3.0%,19,3.0%,18,-0.3%,18,-0.3%
STL,1-1,18,-3.6%,18,-3.6%,23,-11.7%,23,-11.7%,12,-7.7%,12,-7.7%,17,0.4%,17,0.4%
BUF,1-1,19,-6.6%,19,-6.6%,19,-1.8%,19,-1.8%,21,5.6%,21,5.6%,15,0.8%,15,0.8%
CLE,0-2,20,-8.2%,20,-8.2%,27,-18.1%,27,-18.1%,9,-12.1%,9,-12.1%,21,-2.1%,21,-2.1%
DAL,1-1,21,-11.1%,21,-11.1%,10,8.3%,10,8.3%,20,4.7%,20,4.7%,27,-14.7%,27,-14.7%
NO,0-2,22,-12.1%,22,-12.1%,9,11.9%,9,11.9%,30,30.2%,30,30.2%,11,6.2%,11,6.2%
WAS,1-1,23,-13.0%,23,-13.0%,12,6.1%,12,6.1%,15,-1.5%,15,-1.5%,31,-20.7%,31,-20.7%
ARI,2-0,24,-14.4%,24,-14.4%,32,-27.2%,32,-27.2%,7,-16.7%,7,-16.7%,23,-3.8%,23,-3.8%
NYG,1-1,25,-15.3%,25,-15.3%,14,5.2%,14,5.2%,26,19.8%,26,19.8%,19,-0.7%,19,-0.7%
IND,1-1,26,-28.9%,26,-28.9%,21,-10.4%,21,-10.4%,24,14.4%,24,14.4%,24,-4.1%,24,-4.1%
PIT,1-1,27,-29.9%,27,-29.9%,22,-11.4%,22,-11.4%,28,21.6%,28,21.6%,14,3.1%,14,3.1%
OAK,0-2,28,-38.1%,28,-38.1%,16,2.5%,16,2.5%,25,18.2%,25,18.2%,32,-22.4%,32,-22.4%
CIN,1-1,29,-44.4%,29,-44.4%,20,-3.0%,20,-3.0%,32,50.1%,32,50.1%,7,8.7%,7,8.7%
TEN,0-2,30,-45.0%,30,-45.0%,31,-25.8%,31,-25.8%,29,22.5%,29,22.5%,13,3.2%,13,3.2%
JAX,0-2,31,-50.3%,31,-50.3%,30,-24.1%,30,-24.1%,27,19.8%,27,19.8%,25,-6.4%,25,-6.4%
KC,0-2,32,-76.5%,32,-76.5%,25,-16.6%,25,-16.6%,31,42.0%,31,42.0%,29,-17.9%,29,-17.9%
