Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
HOU,4-0,1,35.1%,1,35.1%,3,19.1%,3,19.1%,1,-26.4%,1,-26.4%,28,-10.5%,28,-10.5%
SF,3-1,2,33.9%,2,33.9%,5,18.1%,5,18.1%,6,-17.5%,6,-17.5%,20,-1.7%,20,-1.7%
ATL,4-0,3,30.4%,3,30.4%,7,16.8%,7,16.8%,11,-9.1%,11,-9.1%,9,4.5%,9,4.5%
NE,2-2,4,30.1%,4,30.1%,1,33.8%,1,33.8%,18,-0.1%,18,-0.1%,24,-3.8%,24,-3.8%
DEN,2-2,5,28.6%,5,28.6%,10,13.4%,10,13.4%,9,-14.7%,9,-14.7%,16,0.5%,16,0.5%
MIN,3-1,6,26.9%,6,26.9%,13,5.8%,13,5.8%,10,-10.4%,10,-10.4%,1,10.7%,1,10.7%
BAL,3-1,7,25.5%,7,25.5%,2,21.3%,2,21.3%,15,-2.0%,15,-2.0%,12,2.2%,12,2.2%
CHI,3-1,8,23.1%,8,23.1%,20,-10.7%,20,-10.7%,2,-25.2%,2,-25.2%,3,8.6%,3,8.6%
GB,2-2,9,22.7%,9,22.7%,8,15.9%,8,15.9%,14,-2.0%,14,-2.0%,7,4.7%,7,4.7%
SEA,2-2,10,15.0%,10,15.0%,22,-12.1%,22,-12.1%,5,-17.9%,5,-17.9%,2,9.2%,2,9.2%
NYG,2-2,11,12.8%,11,12.8%,6,17.6%,6,17.6%,21,9.9%,21,9.9%,6,5.1%,6,5.1%
MIA,1-3,12,8.6%,12,8.6%,19,-9.0%,19,-9.0%,7,-16.4%,7,-16.4%,15,1.2%,15,1.2%
ARI,4-0,13,2.3%,13,2.3%,29,-20.2%,29,-20.2%,4,-20.6%,4,-20.6%,13,2.0%,13,2.0%
PHI,3-1,14,-2.1%,14,-2.1%,23,-12.2%,23,-12.2%,3,-22.3%,3,-22.3%,30,-12.2%,30,-12.2%
STL,2-2,15,-6.8%,15,-6.8%,32,-24.4%,32,-24.4%,8,-15.1%,8,-15.1%,11,2.5%,11,2.5%
DET,1-3,16,-7.8%,16,-7.8%,9,13.4%,9,13.4%,19,6.3%,19,6.3%,31,-14.8%,31,-14.8%
CAR,1-3,17,-8.2%,17,-8.2%,14,5.4%,14,5.4%,23,10.4%,23,10.4%,22,-3.2%,22,-3.2%
SD,3-1,18,-8.3%,18,-8.3%,21,-10.8%,21,-10.8%,17,-1.0%,17,-1.0%,14,1.6%,14,1.6%
WAS,2-2,19,-8.7%,19,-8.7%,4,18.8%,4,18.8%,24,10.9%,24,10.9%,32,-16.5%,32,-16.5%
NO,0-4,20,-11.2%,20,-11.2%,11,6.9%,11,6.9%,28,18.5%,28,18.5%,17,0.4%,17,0.4%
CIN,3-1,21,-13.1%,21,-13.1%,12,6.2%,12,6.2%,32,25.5%,32,25.5%,5,6.2%,5,6.2%
DAL,2-2,22,-14.4%,22,-14.4%,25,-15.8%,25,-15.8%,12,-6.2%,12,-6.2%,26,-4.7%,26,-4.7%
BUF,2-2,23,-15.2%,23,-15.2%,18,-3.3%,18,-3.3%,25,14.7%,25,14.7%,10,2.9%,10,2.9%
IND,1-2,24,-15.8%,24,-15.8%,15,4.1%,15,4.1%,26,15.9%,26,15.9%,25,-4.1%,25,-4.1%
CLE,0-4,25,-17.2%,25,-17.2%,27,-18.0%,27,-18.0%,16,-1.4%,16,-1.4%,18,-0.7%,18,-0.7%
TB,1-3,26,-17.5%,26,-17.5%,28,-18.9%,28,-18.9%,13,-3.2%,13,-3.2%,21,-1.8%,21,-1.8%
NYJ,2-2,27,-25.0%,27,-25.0%,30,-22.5%,30,-22.5%,20,7.0%,20,7.0%,8,4.5%,8,4.5%
PIT,1-2,28,-26.9%,28,-26.9%,17,-2.0%,17,-2.0%,30,23.2%,30,23.2%,19,-1.6%,19,-1.6%
JAX,1-3,29,-28.5%,29,-28.5%,24,-14.7%,24,-14.7%,22,10.3%,22,10.3%,23,-3.5%,23,-3.5%
TEN,1-3,30,-31.6%,30,-31.6%,26,-15.9%,26,-15.9%,29,22.0%,29,22.0%,4,6.3%,4,6.3%
OAK,1-3,31,-35.6%,31,-35.6%,16,-1.0%,16,-1.0%,31,24.0%,31,24.0%,29,-10.6%,29,-10.6%
KC,1-3,32,-48.2%,32,-48.2%,31,-23.9%,31,-23.9%,27,18.2%,27,18.2%,27,-6.1%,27,-6.1%
