Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,11-3,1,33.0%,2,32.6%,2,59.2%,3,10.2%
NO,11-3,2,31.2%,1,34.5%,3,49.3%,2,14.3%
GB,13-1,3,30.3%,3,27.4%,1,61.7%,10,0.7%
CAR,5-9,4,17.3%,4,18.4%,10,20.5%,1,24.7%
SD,7-7,5,12.9%,5,17.5%,6,28.2%,8,3.5%
PIT,10-4,6,12.4%,6,15.3%,8,26.6%,7,4.8%
HOU,10-4,7,11.6%,8,9.1%,9,25.1%,6,6.4%
NYG,7-7,8,9.8%,10,7.6%,5,29.0%,15,-5.0%
DAL,8-6,9,9.1%,7,10.5%,4,33.6%,21,-7.6%
PHI,6-8,10,7.0%,12,5.3%,11,15.9%,4,9.9%
ATL,9-5,11,6.9%,9,7.9%,7,27.6%,27,-11.6%
DET,9-5,12,4.2%,11,5.4%,13,15.2%,13,-4.3%
BAL,10-4,13,2.9%,13,4.1%,16,13.2%,9,2.6%
OAK,7-7,14,1.8%,14,0.2%,19,5.7%,5,7.9%
BUF,5-9,15,1.0%,21,-7.0%,17,6.7%,12,0.3%
TEN,7-7,16,-1.8%,20,-5.7%,15,14.2%,30,-17.1%
CIN,8-6,17,-3.4%,16,-3.3%,14,14.9%,24,-9.8%
NYJ,8-6,18,-4.7%,17,-5.1%,18,6.1%,16,-5.9%
DEN,8-6,19,-5.6%,15,-1.6%,23,-0.3%,14,-4.5%
SF,11-3,20,-5.6%,18,-5.2%,12,15.9%,25,-11.1%
MIA,5-9,21,-6.9%,22,-7.4%,21,4.2%,28,-13.0%
TB,4-10,22,-8.6%,26,-14.1%,25,-4.3%,17,-6.2%
SEA,7-7,23,-8.8%,19,-5.5%,20,5.1%,20,-7.1%
MIN,2-12,24,-9.7%,25,-12.7%,26,-10.3%,11,0.4%
WAS,5-9,25,-11.1%,24,-10.0%,24,-3.9%,26,-11.5%
CLE,4-10,26,-11.5%,23,-10.0%,22,0.2%,32,-18.9%
ARI,7-7,27,-16.2%,27,-18.2%,29,-15.1%,22,-7.8%
CHI,7-7,28,-17.0%,28,-18.8%,27,-13.1%,19,-6.8%
IND,1-13,29,-18.5%,30,-19.4%,30,-18.9%,18,-6.4%
KC,6-8,30,-20.2%,29,-19.0%,28,-13.6%,31,-17.2%
JAX,4-10,31,-27.8%,31,-26.4%,32,-41.8%,23,-9.8%
STL,2-12,32,-28.4%,32,-29.4%,31,-25.8%,29,-15.9%
