Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,9-0,1,34.5%,1,34.8%,1,72.3%,14,-2.4%
NE,6-3,2,29.0%,2,27.0%,2,54.1%,3,10.1%
HOU,7-3,3,20.2%,3,21.9%,4,35.1%,1,13.7%
NO,7-3,4,20.1%,4,19.2%,3,36.7%,8,4.9%
PIT,7-3,5,14.2%,5,16.8%,8,28.8%,9,4.8%
NYG,6-3,6,12.7%,6,13.2%,5,34.7%,15,-3.2%
CAR,2-7,7,10.7%,7,10.9%,10,20.9%,5,9.9%
BUF,5-4,8,10.5%,10,6.3%,11,19.9%,7,6.4%
PHI,3-6,9,9.5%,8,9.7%,12,19.7%,2,11.4%
DAL,5-4,10,8.5%,9,8.8%,6,30.9%,27,-11.6%
TEN,5-4,11,6.1%,11,3.3%,7,29.4%,31,-20.7%
OAK,5-4,12,3.5%,16,-0.8%,15,10.6%,6,9.0%
ATL,5-4,13,1.5%,12,1.5%,13,15.9%,22,-10.0%
NYJ,5-4,14,0.3%,14,0.0%,17,10.0%,11,0.6%
SD,4-5,15,-0.2%,15,-0.3%,20,5.9%,10,3.7%
MIN,2-7,16,-0.9%,17,-1.1%,25,-3.1%,4,9.9%
CIN,6-3,17,-1.4%,18,-1.1%,16,10.2%,16,-4.0%
MIA,2-7,18,-1.5%,19,-2.7%,14,11.2%,28,-12.4%
SF,8-1,19,-1.5%,13,0.6%,9,24.3%,20,-7.8%
TB,4-5,20,-2.1%,21,-4.5%,22,2.6%,12,0.6%
BAL,6-3,21,-3.1%,20,-2.9%,18,8.7%,19,-7.8%
DET,6-3,22,-4.0%,22,-4.6%,19,6.1%,24,-10.4%
CHI,6-3,23,-8.5%,23,-6.4%,21,3.0%,17,-4.3%
DEN,4-5,24,-8.8%,24,-7.0%,26,-12.7%,13,-0.6%
SEA,3-6,25,-13.4%,25,-11.8%,23,-1.3%,23,-10.3%
ARI,3-6,26,-15.3%,27,-16.3%,27,-13.3%,21,-9.9%
CLE,3-6,27,-17.4%,26,-15.9%,24,-2.3%,32,-30.4%
KC,4-5,28,-19.2%,28,-17.2%,28,-16.4%,26,-11.3%
WAS,3-6,29,-21.3%,31,-25.1%,29,-19.4%,29,-14.9%
IND,0-10,30,-21.6%,29,-22.9%,31,-22.7%,18,-7.5%
STL,2-7,31,-23.4%,30,-23.9%,30,-19.6%,25,-10.5%
JAX,3-6,32,-32.5%,32,-31.7%,32,-49.0%,30,-15.3%
