Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,5-1,1,31.1%,1,31.0%,2,55.0%,2,14.9%
GB,6-0,2,30.3%,2,29.9%,1,68.9%,16,-5.8%
BUF,4-2,3,23.5%,3,23.6%,4,36.7%,1,15.2%
NO,4-2,4,15.4%,5,15.2%,5,35.3%,13,-2.6%
OAK,4-2,5,15.3%,4,15.8%,8,28.3%,3,12.2%
NYG,4-2,6,11.9%,6,12.1%,6,34.7%,10,-0.5%
TEN,3-2,7,11.4%,7,11.4%,3,36.8%,29,-21.6%
TB,4-2,8,7.0%,8,7.0%,17,11.1%,5,7.0%
CAR,1-5,9,6.9%,9,6.9%,11,16.8%,6,5.7%
PHI,2-4,10,6.3%,10,6.1%,9,21.1%,9,-0.3%
ATL,3-3,11,4.8%,12,5.0%,13,15.4%,18,-6.6%
PIT,4-2,12,4.5%,11,5.4%,14,15.1%,8,1.0%
HOU,3-3,13,3.1%,13,3.1%,10,19.5%,19,-6.6%
SD,4-1,14,0.7%,14,0.6%,16,11.7%,11,-1.4%
DAL,2-3,15,-0.9%,15,-1.2%,7,31.3%,32,-35.9%
DET,5-1,16,-2.9%,16,-3.2%,12,16.7%,27,-19.8%
CIN,4-2,17,-3.5%,17,-3.4%,19,8.3%,15,-5.4%
SF,5-1,18,-3.9%,18,-3.5%,15,13.9%,12,-2.0%
MIN,1-5,19,-4.9%,19,-4.5%,28,-7.8%,4,9.5%
BAL,4-1,20,-7.0%,20,-7.8%,18,11.1%,25,-16.0%
IND,0-6,21,-8.4%,21,-8.0%,25,-4.0%,14,-5.3%
NYJ,3-3,22,-9.2%,22,-9.4%,20,5.7%,22,-14.7%
MIA,0-5,23,-9.8%,23,-10.1%,23,3.4%,28,-21.4%
DEN,1-4,24,-11.3%,24,-10.7%,26,-5.1%,24,-15.9%
CHI,3-3,25,-11.8%,25,-11.8%,22,3.8%,17,-6.2%
CLE,2-3,26,-12.5%,26,-12.2%,21,4.7%,31,-28.2%
WAS,3-2,27,-12.7%,27,-13.3%,27,-7.6%,20,-7.7%
KC,2-3,28,-14.3%,28,-13.8%,29,-9.8%,21,-12.6%
ARI,1-4,29,-15.5%,30,-15.8%,31,-21.3%,7,1.4%
SEA,2-3,30,-15.8%,29,-15.8%,24,2.6%,30,-25.8%
STL,0-5,31,-23.2%,31,-23.3%,30,-15.0%,26,-18.2%
JAX,1-5,32,-33.1%,32,-33.8%,32,-48.6%,23,-15.7%
