Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,15-1,1,34.2%,2,33.3%,1,67.8%,12,-1.5%
NO,13-3,2,33.5%,1,40.4%,3,50.6%,2,18.1%
NE,13-3,3,32.6%,3,32.1%,2,55.1%,3,12.9%
CAR,6-10,4,18.5%,4,22.8%,12,18.0%,1,29.8%
SD,8-8,5,13.2%,5,19.6%,6,29.3%,10,0.9%
PIT,12-4,6,11.6%,6,13.6%,7,24.6%,5,6.2%
NYG,9-7,7,10.3%,9,8.7%,4,29.9%,17,-5.8%
PHI,8-8,8,10.1%,8,10.5%,11,20.5%,4,9.5%
HOU,10-6,9,9.0%,13,4.4%,9,21.0%,6,4.7%
DET,10-6,10,7.2%,7,11.3%,10,20.7%,16,-5.1%
ATL,10-6,11,6.3%,10,7.2%,8,23.8%,21,-8.7%
DAL,8-8,12,5.9%,11,6.1%,5,29.5%,26,-11.5%
BAL,12-4,13,3.1%,12,4.8%,16,14.2%,8,4.1%
OAK,8-8,14,2.9%,14,-1.1%,17,10.5%,7,4.4%
TEN,9-7,15,0.5%,17,-3.8%,14,16.9%,31,-17.3%
BUF,6-10,16,0.3%,23,-10.1%,19,3.7%,9,2.5%
CIN,9-7,17,-1.4%,15,-1.7%,13,17.5%,23,-10.1%
SF,13-3,18,-3.7%,16,-2.1%,15,16.2%,22,-9.1%
WAS,5-11,19,-7.0%,18,-4.4%,23,-0.7%,18,-6.5%
MIA,6-10,20,-7.2%,22,-10.0%,18,5.1%,28,-14.3%
NYJ,8-8,21,-8.3%,24,-10.3%,21,0.2%,14,-4.7%
SEA,7-9,22,-8.9%,19,-4.6%,20,1.3%,13,-3.4%
DEN,8-8,23,-10.3%,20,-8.2%,25,-10.6%,15,-5.0%
MIN,3-13,24,-10.6%,25,-14.7%,26,-11.7%,11,0.7%
CLE,4-12,25,-11.6%,21,-8.7%,22,-0.7%,32,-18.1%
TB,4-12,26,-11.7%,28,-20.7%,24,-7.1%,24,-10.1%
IND,2-14,27,-17.9%,27,-18.0%,28,-14.6%,27,-11.5%
ARI,8-8,28,-18.7%,29,-20.9%,30,-19.1%,20,-7.8%
KC,7-9,29,-19.5%,26,-17.2%,27,-12.1%,30,-15.6%
CHI,8-8,30,-20.8%,31,-25.6%,29,-16.7%,25,-11.3%
JAX,5-11,31,-27.1%,30,-24.1%,32,-42.7%,19,-7.5%
STL,2-14,32,-27.6%,32,-28.9%,31,-26.1%,29,-14.5%
