Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,7-0,1,33.1%,1,32.8%,1,73.8%,17,-5.4%
NE,5-1,2,33.0%,2,32.2%,2,57.3%,2,16.3%
BUF,4-2,3,25.6%,3,24.9%,4,39.6%,1,16.3%
NO,5-2,4,24.4%,4,24.5%,3,43.2%,6,7.8%
CAR,2-5,5,13.0%,5,13.3%,9,27.7%,5,8.2%
HOU,4-3,6,12.2%,6,12.4%,5,33.7%,13,-1.6%
NYG,4-2,7,10.9%,7,11.2%,6,33.5%,12,-1.5%
PIT,5-2,8,7.3%,8,7.4%,10,23.9%,15,-2.2%
PHI,2-4,9,6.2%,9,6.0%,11,21.0%,9,-0.4%
TEN,3-3,10,5.5%,10,4.6%,8,30.9%,32,-26.8%
DAL,3-3,11,4.4%,11,4.1%,7,31.2%,26,-19.5%
ATL,4-3,12,2.2%,12,2.2%,14,13.4%,18,-6.0%
OAK,4-3,13,2.1%,14,1.5%,18,4.1%,4,11.1%
SD,4-2,14,1.5%,13,1.6%,15,12.0%,8,-0.4%
TB,4-3,15,0.0%,15,-0.4%,20,2.1%,7,5.9%
DET,5-2,16,-0.4%,16,-0.7%,13,16.9%,23,-14.7%
MIN,1-6,17,-1.3%,17,-1.3%,24,-5.1%,3,13.6%
CIN,4-2,18,-1.8%,19,-2.2%,17,10.5%,16,-4.4%
SF,5-1,19,-1.9%,18,-1.5%,12,17.8%,14,-1.7%
NYJ,4-3,20,-2.8%,20,-3.0%,16,11.5%,20,-7.0%
MIA,0-6,21,-10.0%,23,-10.5%,21,0.8%,25,-19.1%
IND,0-7,22,-10.1%,21,-9.8%,26,-6.4%,19,-6.5%
CHI,4-3,23,-10.7%,22,-10.2%,22,-0.5%,11,-1.3%
ARI,1-5,24,-11.9%,24,-12.3%,30,-14.5%,10,-0.6%
WAS,3-3,25,-12.8%,27,-13.5%,27,-7.7%,21,-8.9%
BAL,4-2,26,-12.9%,26,-12.8%,19,2.9%,28,-20.7%
KC,3-3,27,-13.8%,25,-12.6%,28,-10.9%,22,-9.6%
DEN,2-4,28,-14.6%,28,-14.6%,25,-5.9%,29,-22.4%
CLE,3-3,29,-15.5%,29,-15.0%,23,-1.3%,31,-26.6%
SEA,2-4,30,-24.2%,30,-24.0%,29,-12.3%,30,-23.8%
STL,0-6,31,-26.3%,31,-26.5%,31,-18.8%,27,-20.3%
JAX,2-5,32,-32.4%,32,-32.2%,32,-47.5%,24,-16.9%
