Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,14-1,1,32.6%,3,30.1%,1,65.5%,12,-1.2%
NE,12-3,2,32.5%,2,31.9%,2,56.0%,3,12.4%
NO,12-3,3,32.2%,1,37.7%,3,48.9%,2,17.3%
CAR,6-9,4,19.8%,4,22.6%,9,22.3%,1,28.2%
PIT,11-4,5,13.3%,5,16.7%,5,27.0%,5,7.7%
SD,7-8,6,10.1%,6,13.9%,7,24.1%,10,0.8%
HOU,10-5,7,8.8%,12,4.5%,10,21.8%,7,3.8%
NYG,8-7,8,8.4%,9,6.5%,6,26.0%,14,-4.0%
PHI,7-8,9,8.2%,10,6.0%,12,18.0%,4,9.1%
DAL,8-7,10,6.4%,8,6.7%,4,30.7%,24,-10.3%
DET,10-5,11,5.7%,7,7.2%,11,18.5%,15,-5.4%
ATL,9-6,12,5.3%,11,5.4%,8,24.1%,27,-12.0%
BAL,11-4,13,2.1%,13,3.4%,16,13.4%,8,1.6%
BUF,6-9,14,1.1%,21,-7.6%,18,6.3%,11,0.8%
OAK,8-7,15,0.8%,15,-1.9%,17,6.6%,6,5.0%
TEN,8-7,16,-0.7%,18,-5.2%,14,15.2%,32,-17.0%
CIN,9-6,17,-3.3%,16,-4.2%,13,16.1%,26,-11.4%
SF,12-3,18,-5.2%,17,-4.9%,15,14.8%,22,-9.4%
MIA,5-10,19,-6.6%,24,-8.8%,19,5.4%,28,-13.4%
SEA,7-8,20,-6.6%,14,-1.7%,20,5.4%,13,-3.6%
NYJ,8-7,21,-7.3%,23,-7.7%,21,1.7%,17,-6.3%
MIN,3-12,22,-8.3%,25,-10.4%,25,-8.6%,9,1.3%
WAS,5-10,23,-8.4%,19,-6.6%,23,-2.0%,18,-7.6%
TB,4-11,24,-9.9%,27,-18.0%,24,-5.0%,20,-8.8%
DEN,8-7,25,-9.9%,20,-6.7%,26,-8.7%,16,-5.9%
CLE,4-11,26,-10.9%,22,-7.6%,22,0.0%,31,-16.7%
CHI,7-8,27,-17.3%,29,-20.6%,27,-11.0%,23,-9.5%
IND,2-13,28,-18.6%,28,-19.5%,29,-16.0%,25,-10.5%
ARI,7-8,29,-19.5%,30,-22.0%,30,-20.2%,19,-8.3%
KC,6-9,30,-20.0%,26,-18.0%,28,-13.0%,30,-16.5%
JAX,4-11,31,-27.8%,31,-26.2%,32,-41.5%,21,-9.2%
STL,2-13,32,-28.9%,32,-30.2%,31,-26.7%,29,-16.1%
