Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,10-3,1,31.7%,2,30.8%,2,58.3%,4,7.6%
GB,13-0,2,31.4%,3,29.7%,1,63.8%,11,0.4%
NO,10-3,3,30.0%,1,31.9%,3,47.5%,2,14.3%
CAR,4-9,4,15.7%,5,15.7%,12,18.3%,1,22.2%
PIT,10-3,5,15.3%,4,17.5%,5,32.3%,8,4.1%
HOU,10-3,6,14.7%,6,14.5%,4,33.2%,7,5.8%
SD,6-7,7,10.9%,7,13.3%,9,22.8%,6,5.8%
NYG,7-6,8,10.8%,8,10.3%,6,30.9%,18,-5.5%
DAL,7-6,9,7.2%,9,7.6%,7,30.1%,22,-8.4%
ATL,8-5,10,5.9%,11,6.1%,8,24.3%,24,-10.7%
BAL,10-3,11,5.5%,10,7.4%,11,19.3%,10,1.2%
TEN,7-6,12,3.9%,16,1.2%,10,22.3%,28,-13.8%
PHI,5-8,13,3.5%,15,1.7%,17,10.7%,3,9.3%
DET,8-5,14,2.3%,12,2.7%,16,11.2%,12,-1.3%
NYJ,8-5,15,1.4%,13,2.0%,15,12.2%,13,-1.5%
CIN,7-6,16,0.9%,14,1.8%,13,18.0%,17,-5.4%
BUF,5-8,17,0.5%,20,-7.2%,18,6.7%,14,-2.0%
OAK,7-6,18,-2.1%,18,-5.7%,22,0.1%,5,6.2%
MIN,2-11,19,-6.5%,23,-8.7%,26,-6.3%,9,2.5%
SF,10-3,20,-7.0%,19,-7.2%,14,13.8%,26,-11.7%
DEN,8-5,21,-7.2%,17,-5.6%,23,0.0%,20,-7.3%
MIA,4-9,22,-7.5%,22,-8.4%,19,3.9%,29,-14.3%
TB,4-9,23,-7.9%,25,-12.9%,24,-4.7%,15,-4.2%
SEA,6-7,24,-10.3%,21,-7.6%,20,2.5%,19,-6.3%
CLE,4-9,25,-11.8%,24,-10.1%,21,0.7%,32,-21.3%
CHI,7-6,26,-13.0%,26,-13.4%,25,-6.1%,16,-4.8%
WAS,4-9,27,-13.1%,27,-13.6%,27,-6.6%,27,-12.7%
ARI,6-7,28,-17.9%,28,-19.4%,29,-17.5%,21,-7.7%
IND,0-13,29,-19.0%,29,-21.3%,28,-16.8%,23,-9.4%
KC,5-8,30,-24.1%,31,-24.5%,30,-21.2%,31,-17.1%
JAX,4-9,31,-26.1%,30,-24.3%,32,-37.5%,25,-10.9%
STL,2-11,32,-30.3%,32,-31.6%,31,-28.2%,30,-16.2%
