Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
GB,1-0,1,58.9%,1,58.9%,2,78.5%,1,53.2%
NE,1-0,2,53.2%,2,53.2%,3,74.1%,2,45.5%
BAL,1-0,3,38.4%,3,38.4%,6,58.5%,6,18.0%
NO,0-1,4,28.4%,4,28.4%,8,49.1%,17,-13.4%
BUF,1-0,5,26.0%,5,26.0%,1,95.0%,9,3.7%
PHI,1-0,6,25.8%,6,25.8%,11,28.9%,3,43.8%
DET,1-0,7,18.3%,7,18.3%,4,73.6%,20,-20.4%
WAS,1-0,8,17.8%,8,17.8%,5,59.6%,24,-26.3%
HOU,1-0,9,15.7%,9,15.7%,15,21.3%,4,19.8%
TEN,0-1,10,13.9%,10,13.9%,12,28.6%,21,-24.8%
CAR,0-1,11,13.5%,11,13.5%,7,51.0%,19,-15.5%
ARI,1-0,12,13.1%,12,13.1%,9,38.6%,15,-9.4%
MIA,0-1,13,12.1%,13,12.1%,13,27.4%,25,-26.8%
SD,1-0,14,0.3%,14,0.3%,16,14.2%,14,-7.3%
DAL,0-1,15,-0.2%,15,-0.2%,10,32.5%,23,-25.8%
TB,0-1,16,-1.6%,16,-1.6%,14,23.8%,32,-92.6%
CIN,1-0,17,-3.7%,17,-3.7%,24,-10.7%,7,9.0%
NYJ,1-0,18,-4.2%,18,-4.2%,18,6.3%,29,-37.9%
JAX,1-0,19,-5.1%,19,-5.1%,22,-7.2%,13,-4.1%
CHI,1-0,20,-9.4%,20,-9.4%,19,4.4%,22,-25.3%
NYG,0-1,21,-10.2%,21,-10.2%,21,-7.0%,8,6.1%
ATL,0-1,22,-10.2%,22,-10.2%,20,-1.5%,16,-9.7%
OAK,1-0,23,-13.9%,23,-13.9%,23,-9.9%,5,18.3%
STL,0-1,24,-16.4%,24,-16.4%,25,-15.4%,11,2.5%
SEA,0-1,25,-26.3%,25,-26.3%,27,-20.5%,26,-28.5%
CLE,0-1,26,-32.1%,26,-32.1%,28,-28.5%,18,-13.4%
MIN,0-1,27,-32.2%,27,-32.2%,31,-63.8%,10,2.9%
SF,1-0,28,-34.6%,28,-34.6%,17,6.6%,30,-55.0%
DEN,0-1,29,-37.4%,29,-37.4%,26,-18.1%,31,-91.1%
KC,0-1,30,-44.0%,30,-44.0%,29,-50.5%,27,-32.4%
IND,0-1,31,-44.8%,31,-44.8%,30,-56.9%,12,-2.6%
PIT,0-1,32,-72.3%,32,-72.3%,32,-80.7%,28,-33.5%
