Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,3-1,1,39.1%,1,39.1%,2,66.8%,2,16.1%
GB,4-0,2,33.5%,2,33.5%,1,69.1%,6,8.3%
BUF,3-1,3,32.3%,3,32.3%,4,52.8%,3,15.3%
OAK,2-2,4,26.6%,4,26.6%,6,38.3%,1,27.9%
HOU,3-1,5,21.0%,5,21.0%,5,40.2%,4,8.9%
TEN,3-1,6,18.9%,6,18.9%,3,56.4%,30,-30.5%
NO,3-1,7,18.4%,7,18.4%,8,32.6%,9,7.4%
NYG,3-1,8,14.5%,8,14.5%,7,35.0%,11,0.7%
TB,3-1,9,12.6%,9,12.6%,14,19.6%,5,8.8%
CAR,1-3,10,10.2%,10,10.2%,10,26.0%,12,-0.7%
PHI,1-3,11,6.0%,11,6.0%,11,24.6%,14,-4.5%
SD,3-1,12,4.4%,12,4.4%,13,21.8%,15,-4.8%
MIA,0-4,13,1.2%,13,1.2%,15,17.9%,21,-16.0%
ATL,2-2,14,0.2%,14,0.2%,16,15.3%,23,-20.3%
DET,4-0,15,-1.9%,15,-1.9%,12,23.9%,28,-29.8%
DAL,2-2,16,-2.8%,16,-2.8%,9,27.1%,31,-34.4%
MIN,0-4,17,-3.2%,17,-3.2%,25,-3.4%,7,8.0%
ARI,1-3,18,-3.2%,18,-3.2%,26,-6.4%,8,7.9%
CIN,2-2,19,-5.8%,19,-5.8%,24,-3.2%,10,2.5%
PIT,2-2,20,-6.4%,20,-6.4%,19,4.7%,18,-11.6%
WAS,3-1,21,-7.1%,21,-7.1%,21,-1.3%,13,-4.2%
BAL,3-1,22,-8.7%,22,-8.7%,18,4.8%,20,-15.3%
SF,3-1,23,-9.8%,23,-9.8%,17,10.6%,19,-14.3%
CLE,2-2,24,-12.0%,24,-12.0%,20,4.6%,24,-22.8%
DEN,1-3,25,-14.4%,25,-14.4%,22,-1.3%,27,-28.5%
SEA,1-3,26,-18.3%,26,-18.3%,23,-2.8%,26,-27.3%
CHI,2-2,27,-19.8%,27,-19.8%,28,-15.5%,16,-7.0%
IND,0-4,28,-21.0%,28,-21.0%,30,-21.5%,17,-7.6%
NYJ,2-2,29,-23.3%,29,-23.3%,27,-6.7%,32,-36.7%
STL,0-4,30,-28.6%,30,-28.6%,29,-19.1%,29,-30.3%
KC,1-3,31,-31.7%,31,-31.7%,31,-32.0%,25,-23.3%
JAX,1-3,32,-38.3%,32,-38.3%,32,-60.9%,22,-16.1%
