Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,5-3,1,31.5%,1,31.8%,1,55.7%,3,13.1%
DEN,4-3,2,22.3%,3,22.2%,2,51.9%,15,-5.5%
NYG,6-2,3,21.9%,2,22.6%,5,35.6%,4,11.5%
GB,5-3,4,20.4%,4,20.6%,3,42.0%,22,-15.5%
SF,6-2,5,19.2%,5,18.5%,8,26.9%,1,25.9%
DET,3-4,6,13.6%,6,13.7%,7,27.6%,10,-2.3%
ATL,7-0,7,12.1%,8,10.9%,4,35.8%,29,-23.5%
HOU,6-1,8,11.2%,9,10.3%,9,26.6%,6,5.4%
NO,2-5,9,10.6%,7,11.3%,10,24.4%,12,-4.8%
WAS,3-5,10,9.2%,11,9.2%,11,24.4%,5,6.3%
PIT,4-3,11,8.8%,10,9.6%,6,33.6%,24,-15.8%
BAL,5-2,12,3.7%,12,1.7%,19,7.0%,2,18.5%
IND,4-3,13,0.5%,16,-0.4%,14,12.4%,17,-8.3%
DAL,3-4,14,0.4%,15,-0.1%,12,19.0%,18,-8.8%
TB,3-4,15,-0.3%,14,0.3%,15,11.0%,9,-1.7%
SEA,4-4,16,-0.5%,13,0.7%,17,10.2%,7,4.6%
BUF,3-4,17,-2.1%,17,-1.7%,22,1.8%,8,2.9%
OAK,3-4,18,-3.0%,20,-3.9%,13,18.3%,30,-25.0%
CIN,3-4,19,-4.2%,19,-3.8%,18,10.0%,21,-15.2%
MIA,4-3,20,-4.6%,18,-3.4%,16,10.3%,20,-13.5%
MIN,5-3,21,-5.7%,22,-6.6%,25,-2.1%,11,-3.7%
CAR,1-6,22,-6.4%,21,-6.2%,21,3.5%,16,-7.8%
STL,3-5,23,-9.6%,23,-8.7%,24,-1.2%,13,-4.8%
PHI,3-4,24,-11.2%,24,-9.6%,20,5.4%,32,-29.4%
CHI,6-1,25,-12.3%,25,-12.4%,23,-1.1%,14,-5.1%
SD,3-4,26,-14.6%,26,-14.7%,26,-4.6%,25,-17.1%
NYJ,3-5,27,-14.7%,27,-15.2%,27,-7.1%,19,-11.9%
TEN,3-5,28,-19.0%,29,-18.9%,28,-8.4%,28,-21.7%
CLE,2-6,29,-20.0%,28,-18.1%,30,-13.8%,26,-18.4%
ARI,4-4,30,-22.1%,30,-22.5%,29,-12.8%,31,-25.8%
JAX,1-6,31,-23.3%,31,-24.9%,31,-22.7%,23,-15.6%
KC,1-6,32,-30.5%,32,-31.6%,32,-31.5%,27,-20.6%
