Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,6-3,1,31.4%,1,31.7%,1,57.2%,3,11.3%
GB,6-3,2,21.7%,2,21.8%,3,45.2%,21,-14.5%
SF,6-2-1,3,19.3%,5,18.0%,9,25.2%,1,26.3%
DEN,6-3,4,19.1%,3,20.1%,2,52.8%,24,-16.8%
DET,4-5,5,18.1%,4,18.6%,4,32.3%,10,2.0%
NO,4-5,6,14.8%,6,16.2%,7,29.3%,11,1.2%
BAL,7-2,7,8.2%,10,6.6%,16,15.1%,2,14.5%
NYG,6-4,8,8.0%,12,6.2%,17,13.8%,4,9.0%
HOU,8-1,9,8.0%,13,6.0%,10,24.8%,12,0.9%
ATL,8-1,10,8.0%,14,5.9%,6,30.5%,31,-27.2%
TB,5-4,11,7.9%,7,11.1%,15,18.8%,7,8.4%
DAL,4-5,12,7.8%,9,8.8%,5,30.8%,15,-10.1%
SEA,6-4,13,7.3%,8,9.5%,12,21.4%,6,8.6%
WAS,3-6,14,7.0%,11,6.6%,11,22.4%,8,3.7%
IND,6-3,15,5.2%,15,4.4%,13,20.1%,14,-9.7%
PIT,6-3,16,3.8%,16,3.5%,8,25.4%,25,-17.3%
BUF,3-6,17,2.5%,17,3.3%,18,8.5%,5,8.8%
CIN,4-5,18,1.5%,18,2.1%,14,18.9%,20,-14.4%
STL,3-5-1,19,-4.8%,19,-2.6%,20,6.6%,13,-2.5%
MIN,6-4,20,-5.3%,20,-6.2%,25,-5.9%,9,3.5%
CAR,2-7,21,-6.1%,22,-6.9%,21,6.5%,18,-11.8%
SD,4-5,22,-7.4%,21,-6.5%,22,5.1%,17,-10.9%
OAK,3-6,23,-9.4%,23,-11.0%,19,8.3%,32,-27.7%
PHI,3-6,24,-14.0%,24,-13.1%,23,-2.6%,30,-24.8%
MIA,4-5,25,-14.7%,27,-16.8%,27,-7.2%,22,-15.0%
CHI,7-2,26,-15.4%,26,-14.3%,24,-4.6%,16,-10.5%
TEN,4-6,27,-15.5%,25,-14.0%,26,-6.5%,23,-16.1%
NYJ,3-6,28,-20.1%,28,-20.6%,30,-15.8%,19,-12.1%
CLE,2-7,29,-21.6%,29,-20.7%,29,-15.1%,28,-20.0%
ARI,4-5,30,-22.5%,30,-23.4%,28,-14.3%,29,-24.6%
JAX,1-8,31,-25.4%,31,-27.0%,31,-23.0%,27,-19.1%
KC,1-8,32,-31.3%,32,-31.5%,32,-35.2%,26,-18.3%
