Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
BAL,1-0,1,58.0%,1,58.0%,7,74.3%,2,43.2%
NE,1-0,2,51.2%,2,51.2%,5,81.5%,4,26.6%
ATL,1-0,3,49.9%,3,49.9%,2,104.3%,23,-32.7%
DEN,1-0,4,44.9%,4,44.9%,3,85.2%,9,12.5%
CHI,1-0,5,37.5%,5,37.5%,8,53.3%,5,24.3%
SF,1-0,6,35.9%,6,35.9%,12,38.1%,1,52.4%
DAL,1-0,7,28.0%,7,28.0%,4,82.2%,3,42.0%
WAS,1-0,8,25.7%,8,25.7%,6,78.0%,16,-9.4%
MIN,1-0,9,23.2%,9,23.2%,15,30.2%,7,15.8%
NYJ,1-0,10,17.6%,10,17.6%,1,124.6%,21,-28.8%
OAK,0-1,11,11.8%,11,11.8%,10,45.9%,26,-45.9%
HOU,1-0,12,11.7%,12,11.7%,9,46.9%,18,-19.9%
TB,1-0,13,10.7%,13,10.7%,13,36.0%,13,1.3%
GB,0-1,14,8.8%,14,8.8%,14,32.1%,27,-53.3%
NO,0-1,15,3.7%,15,3.7%,18,16.0%,14,-5.6%
DET,1-0,16,-0.4%,16,-0.4%,22,-8.6%,6,18.7%
NYG,0-1,17,-0.9%,17,-0.9%,16,25.8%,19,-26.1%
KC,0-1,18,-1.2%,18,-1.2%,26,-19.7%,8,14.8%
SD,1-0,19,-5.3%,19,-5.3%,11,44.4%,30,-75.1%
JAX,0-1,20,-7.7%,20,-7.7%,21,5.1%,17,-11.9%
IND,0-1,21,-12.2%,21,-12.2%,25,-13.3%,15,-8.1%
TEN,0-1,22,-12.3%,22,-12.3%,17,19.4%,32,-102.9%
STL,0-1,23,-15.4%,23,-15.4%,20,7.8%,22,-29.6%
CIN,0-1,24,-18.4%,24,-18.4%,28,-37.4%,11,3.0%
CAR,0-1,25,-19.6%,25,-19.6%,19,15.5%,31,-83.1%
BUF,0-1,26,-25.6%,26,-25.6%,29,-39.3%,10,11.6%
PIT,0-1,27,-29.5%,27,-29.5%,23,-11.5%,20,-26.3%
PHI,1-0,28,-30.8%,28,-30.8%,30,-45.2%,12,2.4%
ARI,1-0,29,-33.7%,29,-33.7%,24,-12.6%,28,-54.7%
SEA,0-1,30,-40.3%,30,-40.3%,27,-23.3%,25,-41.0%
MIA,0-1,31,-77.7%,31,-77.7%,31,-86.8%,29,-57.1%
CLE,0-1,32,-80.0%,32,-80.0%,32,-107.4%,24,-33.9%
