Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NYG,4-2,1,30.0%,1,30.5%,1,49.3%,4,13.1%
NE,3-3,2,28.6%,2,28.5%,2,46.1%,2,17.8%
GB,3-3,3,24.4%,3,24.5%,4,42.5%,15,-6.7%
SF,4-2,4,19.6%,4,19.2%,12,22.9%,1,30.9%
WAS,3-3,5,18.4%,5,18.5%,6,36.4%,5,11.5%
DEN,3-3,6,17.6%,6,17.4%,3,43.5%,13,-6.2%
DET,2-3,7,14.7%,7,14.9%,7,28.9%,7,2.2%
BAL,5-1,8,12.3%,8,11.8%,10,25.7%,3,15.9%
HOU,5-1,9,7.7%,9,7.5%,9,26.0%,8,1.0%
ATL,6-0,10,7.5%,10,7.0%,8,26.1%,26,-23.3%
NO,1-4,11,6.6%,11,6.7%,13,19.4%,12,-6.2%
PIT,2-3,12,2.5%,12,3.0%,5,37.2%,31,-32.4%
DAL,2-3,13,2.2%,13,1.7%,14,18.3%,6,7.3%
MIN,4-2,14,0.5%,14,0.4%,18,13.7%,22,-13.7%
OAK,1-4,15,-0.7%,15,-0.8%,11,24.2%,30,-30.8%
IND,2-3,16,-2.2%,17,-2.4%,16,15.4%,27,-26.1%
CIN,3-3,17,-2.4%,16,-2.0%,15,17.7%,25,-20.7%
CAR,1-4,18,-2.9%,18,-2.6%,19,8.7%,14,-6.5%
MIA,3-3,19,-4.4%,19,-3.5%,20,8.2%,19,-11.4%
BUF,3-3,20,-5.3%,20,-5.0%,23,0.0%,11,-3.1%
SEA,4-2,21,-6.6%,21,-6.1%,21,6.2%,10,-1.2%
CHI,4-1,22,-7.0%,23,-7.5%,17,14.8%,18,-9.2%
TB,2-3,23,-7.2%,22,-7.5%,25,-2.1%,9,0.5%
STL,3-3,24,-8.1%,24,-7.9%,22,6.0%,20,-12.7%
SD,3-3,25,-12.2%,25,-12.2%,27,-3.3%,21,-13.2%
PHI,3-3,26,-15.0%,26,-14.6%,24,-0.2%,28,-29.6%
NYJ,3-3,27,-15.2%,27,-15.5%,26,-2.7%,23,-15.3%
CLE,1-5,28,-18.8%,28,-17.9%,30,-18.3%,17,-8.9%
ARI,4-2,29,-22.1%,29,-22.1%,28,-10.8%,29,-30.7%
JAX,1-4,30,-23.0%,30,-23.7%,31,-26.3%,16,-7.0%
KC,1-5,31,-27.5%,31,-28.0%,32,-27.1%,24,-18.4%
TEN,2-4,32,-28.6%,32,-28.7%,29,-15.2%,32,-38.5%
