Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,10-3,1,36.1%,1,37.2%,1,62.4%,2,13.4%
SF,9-3-1,2,20.0%,3,20.1%,6,31.9%,1,18.8%
DEN,10-3,3,18.9%,4,18.9%,2,43.4%,17,-7.3%
SEA,8-5,4,15.6%,2,22.0%,3,37.1%,5,10.0%
GB,9-4,5,15.5%,7,12.3%,4,36.8%,20,-10.0%
NYG,8-5,6,13.5%,8,10.8%,10,21.9%,3,12.9%
WAS,7-6,7,12.8%,6,12.6%,5,36.8%,10,2.7%
DET,4-9,8,12.7%,5,12.8%,9,22.5%,9,3.8%
NO,5-8,9,7.8%,11,6.8%,14,16.3%,7,5.5%
TB,6-7,10,7.7%,9,10.7%,12,19.9%,8,3.9%
CAR,4-9,11,5.6%,10,8.0%,8,23.9%,14,-4.1%
HOU,11-2,12,5.0%,15,2.8%,13,16.5%,12,0.5%
ATL,11-2,13,4.6%,14,2.9%,11,21.0%,28,-19.0%
BAL,9-4,14,3.8%,16,2.2%,17,9.6%,4,10.3%
DAL,7-6,15,3.6%,13,3.5%,7,24.2%,22,-12.7%
CIN,7-6,16,3.6%,12,5.2%,16,13.5%,13,-0.5%
MIN,7-6,17,-1.9%,17,-2.2%,24,-2.0%,6,6.4%
BUF,5-8,18,-2.9%,18,-3.9%,22,1.4%,11,2.5%
IND,9-4,19,-3.4%,19,-4.7%,20,4.4%,19,-8.6%
PIT,7-6,20,-4.2%,20,-7.1%,15,14.7%,32,-22.2%
STL,6-6-1,21,-8.2%,22,-7.9%,23,0.9%,15,-6.5%
SD,5-8,22,-8.8%,21,-7.8%,18,6.7%,24,-15.1%
OAK,3-10,23,-9.0%,24,-10.8%,19,5.9%,30,-21.2%
PHI,4-9,24,-9.7%,23,-9.0%,21,1.5%,27,-18.8%
MIA,5-8,25,-10.7%,26,-12.9%,26,-3.8%,21,-10.7%
CHI,8-5,26,-12.2%,25,-11.5%,25,-2.9%,18,-8.0%
NYJ,6-7,27,-15.3%,28,-16.4%,29,-14.7%,16,-6.7%
CLE,5-8,28,-15.6%,27,-14.7%,27,-6.8%,26,-18.3%
TEN,4-9,29,-18.2%,29,-18.0%,28,-8.7%,29,-19.7%
JAX,2-11,30,-21.2%,30,-20.7%,30,-18.0%,25,-16.9%
KC,2-11,31,-23.9%,31,-22.6%,31,-24.4%,23,-13.5%
ARI,4-9,32,-31.5%,32,-34.4%,32,-31.5%,31,-21.7%
