Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
SF,2-0,1,38.1%,1,38.1%,6,40.3%,1,45.0%
NE,1-1,2,23.1%,2,23.1%,5,44.3%,10,5.5%
HOU,2-0,3,21.3%,3,21.3%,7,38.6%,5,15.9%
CAR,1-1,4,20.4%,4,20.4%,4,44.4%,12,3.9%
MIN,1-1,5,18.0%,5,18.0%,11,26.2%,7,7.5%
ATL,2-0,6,16.9%,6,16.9%,2,63.2%,31,-55.5%
NYJ,1-1,7,13.6%,7,13.6%,1,83.9%,24,-24.7%
BAL,1-1,8,12.6%,8,12.6%,17,12.8%,3,23.3%
NO,0-2,9,11.9%,9,11.9%,19,9.6%,2,32.9%
DAL,1-1,10,8.3%,10,8.3%,8,31.5%,4,21.3%
SD,2-0,11,8.2%,11,8.2%,3,48.6%,26,-28.1%
WAS,1-1,12,6.1%,12,6.1%,12,22.2%,8,7.0%
DEN,1-1,13,5.7%,13,5.7%,14,16.1%,6,10.7%
NYG,1-1,14,5.2%,14,5.2%,9,29.3%,22,-13.7%
GB,1-1,15,2.8%,15,2.8%,16,14.4%,17,-5.3%
OAK,0-2,16,2.5%,16,2.5%,10,27.3%,30,-54.8%
TB,1-1,17,1.1%,17,1.1%,15,14.8%,14,-0.6%
DET,1-1,18,-0.9%,18,-0.9%,23,3.9%,16,-5.2%
BUF,1-1,19,-1.8%,19,-1.8%,22,5.5%,9,5.6%
CIN,1-1,20,-3.0%,20,-3.0%,21,8.7%,18,-9.4%
IND,1-1,21,-10.4%,21,-10.4%,20,8.9%,29,-39.8%
PIT,1-1,22,-11.4%,22,-11.4%,13,20.0%,27,-32.1%
STL,1-1,23,-11.7%,23,-11.7%,18,10.2%,25,-25.6%
MIA,1-1,24,-12.1%,24,-12.1%,32,-26.9%,11,5.0%
KC,0-2,25,-16.6%,25,-16.6%,28,-18.0%,20,-11.4%
CHI,1-1,26,-17.9%,26,-17.9%,30,-21.9%,13,2.9%
CLE,0-2,27,-18.1%,27,-18.1%,31,-22.2%,15,-1.0%
SEA,1-1,28,-19.8%,28,-19.8%,25,-3.0%,19,-10.2%
PHI,2-0,29,-21.2%,29,-21.2%,27,-15.3%,23,-22.8%
JAX,0-2,30,-24.1%,30,-24.1%,29,-18.6%,21,-11.6%
TEN,0-2,31,-25.8%,31,-25.8%,24,1.8%,32,-90.2%
ARI,2-0,32,-27.2%,32,-27.2%,26,-13.6%,28,-33.3%
