Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,4-3,1,27.5%,1,27.5%,2,48.1%,4,12.9%
GB,4-3,2,26.7%,3,26.8%,1,50.0%,20,-13.1%
NYG,5-2,3,26.1%,2,26.8%,4,41.6%,3,13.6%
DEN,3-3,4,19.8%,4,20.3%,3,47.0%,14,-5.5%
SF,5-2,5,17.6%,5,16.9%,12,20.0%,1,29.0%
WAS,3-4,6,14.5%,6,14.8%,5,30.2%,5,9.3%
NO,2-4,7,14.3%,7,14.4%,6,29.4%,9,-2.1%
DET,2-4,8,10.8%,8,10.8%,10,24.9%,11,-3.7%
HOU,6-1,9,10.1%,9,9.7%,9,25.2%,6,4.7%
ATL,6-0,10,7.8%,10,7.5%,8,26.0%,28,-21.9%
PIT,3-3,11,3.9%,11,4.0%,7,29.4%,27,-20.6%
BAL,5-2,12,3.0%,12,2.7%,18,6.5%,2,17.5%
DAL,3-3,13,1.0%,13,0.4%,11,21.1%,10,-3.3%
MIN,5-2,14,-1.2%,14,-1.4%,20,6.3%,16,-5.9%
IND,3-3,15,-1.7%,15,-2.0%,14,13.9%,24,-17.4%
BUF,3-4,16,-3.0%,16,-2.9%,24,1.5%,8,1.3%
MIA,3-3,17,-3.0%,17,-3.0%,15,10.5%,19,-11.0%
STL,3-4,18,-4.2%,18,-4.0%,17,9.2%,17,-6.0%
TB,2-4,19,-4.8%,20,-5.0%,19,6.3%,12,-5.0%
OAK,2-4,20,-4.9%,21,-5.2%,13,16.6%,31,-27.7%
CIN,3-4,21,-5.0%,19,-4.8%,16,9.5%,23,-16.2%
CAR,1-5,22,-5.3%,23,-5.9%,21,5.5%,15,-5.6%
SEA,4-3,23,-5.5%,22,-5.4%,23,3.2%,7,2.6%
CHI,5-1,24,-10.0%,24,-9.6%,22,5.2%,13,-5.2%
SD,3-3,25,-12.8%,25,-13.3%,27,-4.3%,21,-13.2%
NYJ,3-4,26,-14.4%,27,-14.7%,26,-2.2%,22,-14.4%
PHI,3-3,27,-14.7%,26,-14.3%,25,1.3%,32,-30.9%
CLE,1-6,28,-17.4%,28,-17.3%,28,-9.6%,25,-18.5%
TEN,3-4,29,-20.8%,29,-20.6%,29,-11.8%,29,-22.0%
ARI,4-3,30,-21.6%,30,-21.8%,30,-13.9%,30,-22.1%
JAX,1-5,31,-24.9%,31,-25.4%,31,-30.1%,18,-8.6%
KC,1-5,32,-29.3%,32,-29.6%,32,-30.1%,26,-19.0%
