Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
BAL,2-1,1,30.7%,1,30.7%,4,44.0%,1,23.3%
ATL,3-0,2,23.1%,2,23.1%,1,56.5%,26,-28.8%
NE,1-2,3,23.0%,3,23.0%,2,51.2%,12,-2.2%
DET,1-2,4,20.8%,4,20.8%,10,34.9%,9,1.1%
SF,2-1,5,18.1%,5,18.1%,15,21.4%,2,23.1%
HOU,3-0,6,17.9%,6,17.9%,3,44.2%,6,8.3%
WAS,1-2,7,16.8%,7,16.8%,12,28.9%,4,17.3%
NYG,2-1,8,16.4%,8,16.4%,8,35.9%,8,1.5%
MIN,2-1,9,11.4%,9,11.4%,9,35.6%,23,-18.6%
CIN,2-1,10,10.9%,10,10.9%,5,40.2%,21,-14.0%
OAK,1-2,11,9.3%,11,9.3%,7,36.3%,28,-33.5%
BUF,2-1,12,7.9%,12,7.9%,16,19.0%,5,9.1%
DEN,1-2,13,5.9%,13,5.9%,14,25.0%,16,-5.8%
NO,0-3,14,5.4%,14,5.4%,23,5.9%,3,17.5%
CAR,1-2,15,3.6%,15,3.6%,18,16.8%,13,-3.4%
IND,1-2,16,0.5%,16,0.5%,13,25.5%,30,-35.2%
GB,1-2,17,-1.1%,17,-1.1%,21,7.0%,18,-8.0%
PIT,1-2,18,-1.2%,18,-1.2%,6,37.8%,29,-35.0%
NYJ,2-1,19,-7.8%,19,-7.8%,11,33.0%,27,-32.7%
MIA,1-2,20,-7.8%,20,-7.8%,27,-15.9%,7,4.2%
SD,2-1,21,-11.0%,21,-11.0%,22,7.0%,24,-23.3%
JAX,1-2,22,-13.0%,22,-13.0%,26,-13.7%,10,-0.2%
TEN,1-2,23,-13.8%,23,-13.8%,17,17.4%,32,-81.5%
SEA,2-1,24,-15.4%,24,-15.4%,19,9.1%,20,-12.6%
DAL,2-1,25,-15.8%,25,-15.8%,24,5.8%,14,-3.9%
KC,1-2,26,-16.7%,26,-16.7%,30,-20.7%,15,-4.6%
CHI,2-1,27,-19.0%,27,-19.0%,25,-13.5%,17,-7.9%
ARI,3-0,28,-19.8%,28,-19.8%,20,8.5%,31,-41.0%
TB,1-2,29,-22.0%,29,-22.0%,28,-17.2%,19,-12.3%
CLE,0-3,30,-23.4%,30,-23.4%,32,-28.2%,11,-0.8%
PHI,2-1,31,-23.7%,31,-23.7%,31,-23.1%,22,-18.1%
STL,1-2,32,-27.2%,32,-27.2%,29,-18.0%,25,-25.9%
