Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,2-2,1,33.8%,1,33.8%,1,54.3%,2,17.5%
BAL,3-1,2,21.3%,2,21.3%,5,37.9%,3,13.4%
HOU,4-0,3,19.1%,3,19.1%,2,44.9%,5,7.0%
WAS,2-2,4,18.8%,4,18.8%,3,43.3%,4,8.0%
SF,3-1,5,18.1%,5,18.1%,16,20.5%,1,25.1%
NYG,2-2,6,17.6%,6,17.6%,4,40.3%,15,-7.0%
ATL,4-0,7,16.8%,7,16.8%,7,37.6%,22,-16.6%
GB,2-2,8,15.9%,8,15.9%,11,29.0%,13,-4.3%
DET,1-3,9,13.4%,9,13.4%,12,26.1%,14,-5.3%
DEN,2-2,10,13.4%,10,13.4%,9,35.1%,7,-0.7%
NO,0-4,11,6.9%,11,6.9%,17,15.4%,8,-1.4%
CIN,3-1,12,6.2%,12,6.2%,6,37.8%,25,-20.7%
MIN,3-1,13,5.8%,13,5.8%,13,23.1%,19,-12.8%
CAR,1-3,14,5.4%,14,5.4%,15,20.9%,9,-1.6%
IND,1-2,15,4.1%,15,4.1%,10,30.6%,29,-33.9%
OAK,1-3,16,-1.0%,16,-1.0%,14,21.8%,28,-32.0%
PIT,1-2,17,-2.0%,17,-2.0%,8,36.7%,30,-35.5%
BUF,2-2,18,-3.3%,18,-3.3%,18,14.1%,16,-10.0%
MIA,1-3,19,-9.0%,19,-9.0%,27,-8.3%,11,-4.1%
CHI,3-1,20,-10.7%,20,-10.7%,19,8.2%,18,-12.7%
SD,3-1,21,-10.8%,21,-10.8%,21,2.8%,23,-18.9%
SEA,2-2,22,-12.1%,22,-12.1%,24,-3.2%,6,1.2%
PHI,3-1,23,-12.2%,23,-12.2%,25,-3.3%,24,-19.0%
JAX,1-3,24,-14.7%,24,-14.7%,30,-16.9%,10,-2.3%
DAL,2-2,25,-15.8%,25,-15.8%,22,0.8%,20,-12.9%
TEN,1-3,26,-15.9%,26,-15.9%,20,4.5%,32,-44.0%
CLE,0-4,27,-18.0%,27,-18.0%,31,-19.2%,12,-4.2%
TB,1-3,28,-18.9%,28,-18.9%,29,-14.8%,17,-10.0%
ARI,4-0,29,-20.2%,29,-20.2%,23,0.2%,31,-37.5%
NYJ,2-2,30,-22.5%,30,-22.5%,26,-5.0%,26,-30.2%
KC,1-3,31,-23.9%,31,-23.9%,32,-22.6%,21,-14.7%
STL,2-2,32,-24.4%,32,-24.4%,28,-9.7%,27,-30.6%
