Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,5-3,1,31.8%,1,32.3%,1,56.2%,3,13.0%
GB,6-3,2,20.9%,2,20.7%,3,44.0%,23,-14.4%
DEN,5-3,3,18.9%,3,19.6%,2,51.2%,21,-12.5%
SF,6-2,4,18.5%,6,16.8%,9,26.3%,1,25.2%
DET,4-4,5,18.1%,4,19.0%,5,31.2%,7,4.1%
NYG,6-3,6,17.9%,5,18.6%,6,31.0%,4,10.8%
NO,3-5,7,12.5%,7,12.9%,11,24.8%,12,1.1%
ATL,8-0,8,10.9%,8,10.0%,4,34.0%,29,-23.2%
HOU,7-1,9,9.4%,9,8.2%,8,28.4%,11,1.1%
PIT,5-3,10,6.9%,11,7.4%,10,26.2%,16,-10.4%
WAS,3-6,11,6.7%,12,6.4%,12,21.4%,8,3.9%
DAL,3-5,12,6.2%,14,5.7%,7,28.9%,20,-12.4%
SEA,5-4,13,5.8%,10,7.9%,14,18.5%,5,9.1%
TB,4-4,14,5.0%,13,5.9%,15,14.1%,6,8.8%
IND,5-3,15,4.7%,15,4.0%,13,19.8%,17,-10.7%
BAL,6-2,16,3.7%,16,2.3%,19,6.6%,2,17.4%
BUF,3-5,17,-0.4%,17,0.3%,21,5.7%,10,3.0%
CAR,2-6,18,-1.3%,19,-2.2%,16,12.4%,14,-6.4%
CIN,3-5,19,-2.6%,18,-1.9%,18,11.6%,22,-13.9%
MIN,5-4,20,-5.0%,20,-5.8%,26,-6.2%,9,3.2%
OAK,3-5,21,-5.9%,21,-6.8%,17,11.9%,31,-25.3%
MIA,4-4,22,-7.4%,22,-7.1%,20,5.8%,19,-12.3%
STL,3-5,23,-10.3%,23,-9.2%,24,-2.2%,13,-5.2%
CHI,7-1,24,-13.5%,24,-12.8%,22,-1.8%,15,-8.3%
SD,4-4,25,-13.8%,25,-14.3%,23,-2.1%,24,-15.0%
PHI,3-5,26,-15.7%,26,-14.8%,25,-4.7%,32,-25.9%
NYJ,3-5,27,-16.5%,27,-17.1%,28,-10.8%,18,-11.6%
TEN,3-6,28,-19.3%,28,-18.9%,27,-10.1%,28,-20.4%
ARI,4-5,29,-21.4%,30,-21.8%,29,-13.1%,30,-23.7%
CLE,2-7,30,-22.4%,29,-21.4%,30,-16.7%,26,-19.4%
JAX,1-7,31,-25.2%,31,-26.6%,31,-25.0%,25,-17.0%
KC,1-7,32,-31.2%,32,-32.0%,32,-32.6%,27,-20.3%
