Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,7-3,1,34.3%,1,34.6%,1,61.9%,3,11.3%
SF,7-2-1,2,24.9%,2,25.6%,4,35.6%,1,25.6%
GB,7-3,3,18.8%,5,17.5%,3,41.3%,21,-12.8%
DEN,7-3,4,17.8%,4,18.1%,2,46.7%,20,-12.4%
NO,5-5,5,17.1%,3,18.3%,5,32.6%,10,2.1%
DET,4-6,6,14.2%,6,14.2%,10,24.8%,8,5.1%
HOU,9-1,7,10.1%,9,8.7%,7,28.4%,12,-0.6%
NYG,6-4,8,9.8%,10,7.3%,16,15.0%,2,11.6%
SEA,6-4,9,9.6%,7,12.5%,8,25.4%,4,9.3%
TB,6-4,10,8.1%,8,11.5%,14,19.7%,7,6.5%
WAS,4-6,11,8.0%,12,6.4%,6,29.5%,11,1.3%
DAL,5-5,12,5.4%,11,6.5%,9,24.9%,16,-9.6%
CIN,5-5,13,5.3%,13,6.1%,12,22.7%,15,-8.6%
IND,6-4,14,4.4%,14,4.1%,15,17.4%,14,-8.5%
BAL,8-2,15,4.0%,17,1.2%,18,12.0%,5,8.0%
PIT,6-4,16,3.8%,15,3.6%,11,23.2%,24,-14.1%
ATL,9-1,17,3.7%,18,1.1%,13,21.8%,30,-23.5%
BUF,4-6,18,2.3%,16,3.4%,19,8.8%,6,7.3%
MIN,6-4,19,-3.4%,19,-4.2%,23,-3.4%,9,4.7%
CAR,2-8,20,-3.8%,21,-4.6%,17,12.2%,19,-11.5%
STL,3-6-1,21,-5.7%,20,-4.3%,22,3.4%,13,-1.9%
SD,4-6,22,-9.4%,22,-8.4%,20,4.4%,22,-13.8%
OAK,3-7,23,-11.4%,24,-13.8%,21,3.6%,31,-25.9%
TEN,4-6,24,-13.9%,23,-12.8%,24,-5.2%,23,-14.0%
NYJ,4-6,25,-16.9%,25,-16.7%,27,-11.0%,18,-11.1%
MIA,4-6,26,-17.6%,29,-21.2%,26,-10.5%,25,-18.2%
PHI,3-7,27,-18.8%,28,-20.3%,25,-7.5%,32,-27.6%
CHI,7-3,28,-19.1%,27,-19.5%,29,-12.9%,17,-10.7%
CLE,2-8,29,-19.3%,26,-18.5%,28,-11.4%,27,-21.0%
JAX,1-9,30,-20.8%,30,-21.4%,30,-13.0%,28,-22.2%
ARI,4-6,31,-22.9%,31,-23.3%,31,-16.7%,29,-22.5%
KC,1-9,32,-30.9%,32,-31.4%,32,-33.1%,26,-20.1%
