Team,W-L,OffenseDVOA Rank,OffenseDVOA,Offense WeightedDVOA Rank,Offense WeightedDVOA,PassOffense Rank,PassOffense,RushOffense Rank,RushOffense
NE,12-4,1,31.1%,1,29.6%,1,54.2%,2,11.7%
DEN,13-3,2,22.7%,3,24.1%,2,49.3%,13,-1.9%
GB,11-5,3,19.6%,4,19.0%,3,42.3%,17,-6.8%
SEA,11-5,4,18.6%,2,29.5%,4,40.3%,1,11.9%
SF,11-4-1,5,17.4%,6,14.4%,5,35.5%,5,9.5%
WAS,10-6,6,16.0%,5,17.8%,6,34.7%,3,11.7%
NYG,9-7,7,12.9%,8,12.4%,11,22.4%,4,9.7%
DET,4-12,8,12.1%,10,10.5%,9,24.7%,12,-1.1%
NO,7-9,9,12.0%,9,11.9%,10,24.4%,10,2.2%
CAR,7-9,10,7.6%,7,12.5%,12,20.4%,9,2.8%
ATL,13-3,11,6.6%,12,4.5%,8,25.3%,29,-21.1%
DAL,8-8,12,6.2%,11,7.9%,7,26.1%,22,-11.0%
BAL,10-6,13,3.1%,15,-0.5%,14,11.5%,7,5.3%
MIN,10-6,14,1.1%,13,2.3%,22,4.3%,6,5.4%
TB,7-9,15,0.7%,14,-0.3%,16,8.6%,11,0.0%
HOU,12-4,16,0.3%,19,-6.0%,15,10.4%,14,-2.7%
CIN,10-6,17,-2.1%,17,-4.7%,20,6.4%,15,-4.1%
IND,11-5,18,-2.6%,18,-5.4%,19,6.4%,19,-10.3%
STL,7-8-1,19,-4.1%,16,-1.3%,17,8.4%,16,-6.1%
PIT,8-8,20,-4.3%,21,-8.7%,13,14.1%,31,-22.4%
BUF,6-10,21,-4.7%,20,-7.0%,25,-0.8%,8,3.2%
MIA,7-9,22,-8.6%,23,-9.5%,24,-0.6%,20,-10.4%
OAK,4-12,23,-10.1%,26,-12.6%,21,4.8%,28,-20.0%
SD,7-9,24,-10.4%,25,-11.7%,18,6.8%,26,-17.1%
CHI,10-6,25,-10.7%,22,-8.8%,23,0.6%,21,-10.5%
PHI,4-12,26,-11.2%,24,-9.9%,26,-1.2%,27,-18.3%
CLE,5-11,27,-15.2%,27,-13.7%,27,-7.8%,24,-12.6%
JAX,2-14,28,-18.6%,28,-18.4%,29,-14.1%,25,-16.1%
NYJ,6-10,29,-20.5%,29,-23.3%,30,-23.9%,18,-8.6%
TEN,6-10,30,-21.1%,30,-23.7%,28,-12.8%,30,-22.1%
KC,2-14,31,-26.0%,31,-26.2%,32,-30.6%,23,-11.8%
ARI,5-11,32,-31.1%,32,-36.7%,31,-29.8%,32,-23.1%
