Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,4-2,1,-33.9%,1,-34.3%,1,-33.6%,2,-34.2%
DET,5-2,2,-18.3%,2,-18.0%,3,-18.8%,6,-17.4%
DAL,3-3,3,-16.8%,3,-16.9%,4,-13.0%,4,-23.6%
NYJ,4-3,4,-16.5%,4,-16.1%,2,-25.5%,19,-7.2%
SF,5-1,5,-15.4%,5,-15.6%,6,-5.9%,1,-35.3%
JAX,2-5,6,-10.3%,6,-10.4%,9,-2.0%,5,-21.0%
WAS,3-3,7,-7.4%,7,-7.6%,5,-7.4%,18,-7.4%
CIN,4-2,8,-6.7%,8,-6.9%,8,-2.1%,11,-11.9%
ATL,4-3,9,-6.3%,9,-6.3%,12,0.5%,7,-16.6%
HOU,4-3,10,-5.6%,10,-5.8%,7,-4.7%,20,-6.9%
CHI,4-3,11,-4.3%,11,-4.2%,11,-1.3%,12,-9.9%
CLE,3-3,12,-3.0%,12,-3.1%,13,1.7%,17,-7.9%
NYG,4-2,13,-1.9%,13,-2.3%,15,3.4%,14,-8.8%
PIT,5-2,14,-1.2%,14,-1.5%,10,-1.7%,27,-0.6%
KC,3-3,15,-1.0%,15,-1.4%,17,6.1%,15,-8.6%
SEA,2-4,16,-0.4%,16,-0.6%,25,19.9%,3,-25.0%
DEN,2-4,17,2.5%,17,2.4%,24,17.7%,8,-16.4%
MIN,1-6,18,2.7%,18,2.5%,21,13.4%,9,-15.6%
NO,5-2,19,2.8%,19,2.9%,16,5.2%,26,-1.0%
GB,7-0,20,3.3%,20,3.4%,18,8.6%,24,-6.3%
PHI,2-4,21,4.1%,21,4.3%,14,3.0%,29,5.4%
OAK,4-3,22,4.6%,22,4.5%,20,12.7%,16,-8.2%
BUF,4-2,23,5.5%,23,5.3%,22,15.5%,22,-6.6%
TEN,3-3,24,7.4%,25,8.0%,27,22.5%,13,-8.9%
SD,4-2,25,7.9%,24,7.7%,19,12.3%,28,3.0%
TB,4-3,26,8.8%,26,8.3%,29,27.1%,10,-14.3%
MIA,0-6,27,12.9%,27,12.6%,31,29.1%,23,-6.6%
ARI,1-5,28,13.6%,28,13.7%,28,26.1%,25,-3.0%
CAR,2-5,29,14.1%,29,13.9%,26,20.2%,31,8.0%
NE,5-1,30,15.3%,30,15.2%,30,27.9%,21,-6.7%
STL,0-6,31,15.7%,31,15.8%,23,17.0%,32,14.2%
IND,0-7,32,21.0%,32,21.6%,32,36.6%,30,5.8%
