Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,12-4,1,-16.0%,5,-11.6%,1,-15.9%,7,-16.2%
NYJ,8-8,2,-14.9%,4,-12.2%,3,-11.7%,5,-18.4%
SF,13-3,3,-14.4%,3,-13.6%,8,-4.8%,1,-31.9%
CHI,8-8,4,-13.3%,2,-14.1%,7,-4.9%,2,-27.3%
ATL,10-6,5,-12.3%,1,-15.1%,6,-6.0%,3,-22.3%
DET,10-6,6,-11.0%,9,-9.5%,2,-13.4%,16,-7.1%
HOU,10-6,7,-10.6%,7,-10.7%,5,-6.8%,6,-16.4%
JAX,5-11,8,-9.9%,13,-8.1%,9,-2.9%,4,-18.9%
PIT,12-4,9,-8.8%,6,-11.3%,4,-8.6%,14,-9.1%
SEA,7-9,10,-6.3%,8,-10.2%,10,-2.3%,10,-11.7%
PHI,8-8,11,-3.1%,12,-8.3%,11,-0.8%,17,-6.2%
DAL,8-8,12,-2.4%,16,0.9%,16,4.4%,9,-13.0%
MIA,6-10,13,-2.3%,10,-8.9%,15,3.7%,12,-11.4%
KC,7-9,14,-2.3%,11,-8.5%,14,1.7%,18,-6.0%
ARI,8-8,15,-0.7%,14,-4.9%,13,1.1%,22,-3.2%
WAS,5-11,16,-0.4%,18,2.5%,17,6.5%,15,-8.3%
STL,2-14,17,0.7%,15,-1.0%,12,0.7%,24,0.6%
TEN,9-7,18,1.4%,19,3.3%,21,10.8%,13,-10.5%
CIN,9-7,19,2.3%,20,4.7%,19,8.6%,19,-5.8%
DEN,8-8,20,2.5%,17,2.1%,26,14.0%,11,-11.6%
NYG,9-7,21,3.3%,21,5.1%,20,9.8%,20,-5.7%
CLE,4-12,22,4.8%,22,5.3%,18,6.9%,27,2.8%
MIN,3-13,23,5.2%,24,6.4%,27,18.5%,8,-13.3%
NO,13-3,24,5.8%,23,5.5%,22,12.1%,21,-5.4%
BUF,6-10,25,8.7%,27,10.9%,23,13.0%,29,4.0%
GB,15-1,26,9.8%,29,13.2%,24,13.3%,28,4.0%
IND,2-14,27,10.4%,25,8.9%,28,19.6%,26,1.4%
OAK,8-8,28,10.4%,26,10.5%,25,13.5%,30,5.8%
SD,8-8,29,12.0%,28,13.0%,32,24.2%,23,-2.0%
NE,13-3,30,15.2%,30,15.7%,31,24.1%,25,0.9%
TB,4-12,31,15.4%,31,16.3%,30,23.9%,31,7.0%
CAR,6-10,32,16.3%,32,16.5%,29,21.2%,32,10.8%
