Team,W-L,DefenseDVOA Rank,DefenseDVOA,Defense WeightedDVOA Rank,Defense WeightedDVOA,PassDefense Rank,PassDefense,RushDefense Rank,RushDefense
BAL,9-3,1,-21.7%,1,-18.9%,1,-22.6%,4,-20.5%
NYJ,7-5,2,-15.8%,4,-14.6%,4,-13.6%,6,-18.1%
HOU,9-3,3,-15.4%,2,-18.3%,3,-16.6%,11,-13.5%
SF,10-2,4,-14.5%,7,-14.0%,8,-2.1%,1,-38.0%
DET,7-5,5,-14.0%,6,-14.2%,2,-18.1%,16,-7.9%
ATL,7-5,6,-13.4%,3,-15.8%,7,-2.7%,2,-29.0%
CHI,7-5,7,-11.8%,5,-14.3%,5,-7.3%,5,-19.8%
JAX,3-9,8,-10.0%,8,-10.1%,9,-1.1%,3,-20.7%
PIT,9-3,9,-7.1%,9,-8.5%,6,-5.7%,13,-9.2%
DAL,7-5,10,-3.8%,13,-2.1%,10,-1.0%,15,-8.0%
WAS,4-8,11,-2.7%,15,-1.3%,12,3.0%,14,-9.1%
SEA,5-7,12,-1.6%,11,-2.6%,16,6.2%,12,-13.1%
TEN,7-5,13,-0.7%,16,-0.1%,21,10.9%,7,-16.3%
KC,5-7,14,0.0%,10,-3.3%,15,4.9%,20,-4.8%
STL,2-10,15,0.4%,14,-1.6%,11,-0.2%,27,1.2%
MIA,4-8,16,1.1%,12,-2.2%,22,11.0%,10,-14.3%
DEN,7-5,17,1.6%,17,1.1%,25,14.7%,8,-16.0%
CIN,7-5,18,2.1%,19,3.9%,17,8.0%,18,-5.2%
NYG,6-6,19,2.4%,18,1.9%,18,9.7%,17,-7.5%
OAK,7-5,20,4.7%,21,4.8%,14,4.9%,28,4.5%
MIN,2-10,21,5.5%,23,6.0%,27,20.6%,9,-15.6%
CLE,4-8,22,5.6%,24,6.3%,13,4.4%,31,6.6%
NO,9-3,23,5.6%,22,5.5%,23,11.9%,21,-4.8%
ARI,5-7,24,6.2%,20,4.8%,20,10.8%,24,0.0%
PHI,4-8,25,7.7%,25,7.5%,24,13.5%,25,0.4%
GB,12-0,26,8.3%,26,9.6%,19,10.0%,29,5.0%
BUF,5-7,27,8.9%,28,10.9%,26,16.2%,26,0.7%
TB,4-8,28,10.9%,27,9.8%,29,22.0%,23,-1.2%
NE,9-3,29,12.1%,29,11.3%,30,22.1%,19,-5.1%
SD,5-7,30,12.5%,30,14.1%,31,26.6%,22,-1.4%
CAR,4-8,31,14.8%,31,14.3%,28,21.1%,32,8.2%
IND,0-12,32,16.3%,32,17.0%,32,28.1%,30,5.2%
